global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	a_comp_cor_85	a_comp_cor_86	a_comp_cor_87	a_comp_cor_88	a_comp_cor_89	a_comp_cor_90	a_comp_cor_91	a_comp_cor_92	a_comp_cor_93	a_comp_cor_94	a_comp_cor_95	a_comp_cor_96	a_comp_cor_97	a_comp_cor_98	a_comp_cor_99	a_comp_cor_100	a_comp_cor_101	a_comp_cor_102	a_comp_cor_103	a_comp_cor_104	a_comp_cor_105	a_comp_cor_106	a_comp_cor_107	a_comp_cor_108	a_comp_cor_109	a_comp_cor_110	a_comp_cor_111	a_comp_cor_112	a_comp_cor_113	a_comp_cor_114	a_comp_cor_115	a_comp_cor_116	a_comp_cor_117	a_comp_cor_118	a_comp_cor_119	a_comp_cor_120	a_comp_cor_121	a_comp_cor_122	a_comp_cor_123	a_comp_cor_124	a_comp_cor_125	a_comp_cor_126	a_comp_cor_127	a_comp_cor_128	a_comp_cor_129	a_comp_cor_130	a_comp_cor_131	a_comp_cor_132	a_comp_cor_133	a_comp_cor_134	a_comp_cor_135	a_comp_cor_136	a_comp_cor_137	a_comp_cor_138	a_comp_cor_139	a_comp_cor_140	a_comp_cor_141	a_comp_cor_142	a_comp_cor_143	a_comp_cor_144	a_comp_cor_145	a_comp_cor_146	a_comp_cor_147	a_comp_cor_148	a_comp_cor_149	a_comp_cor_150	a_comp_cor_151	a_comp_cor_152	a_comp_cor_153	a_comp_cor_154	a_comp_cor_155	a_comp_cor_156	a_comp_cor_157	a_comp_cor_158	a_comp_cor_159	a_comp_cor_160	a_comp_cor_161	a_comp_cor_162	a_comp_cor_163	a_comp_cor_164	a_comp_cor_165	a_comp_cor_166	a_comp_cor_167	a_comp_cor_168	a_comp_cor_169	a_comp_cor_170	a_comp_cor_171	a_comp_cor_172	a_comp_cor_173	a_comp_cor_174	a_comp_cor_175	a_comp_cor_176	a_comp_cor_177	a_comp_cor_178	a_comp_cor_179	a_comp_cor_180	a_comp_cor_181	a_comp_cor_182	a_comp_cor_183	a_comp_cor_184	a_comp_cor_185	a_comp_cor_186	a_comp_cor_187	a_comp_cor_188	a_comp_cor_189	a_comp_cor_190	a_comp_cor_191	a_comp_cor_192	a_comp_cor_193	a_comp_cor_194	a_comp_cor_195	a_comp_cor_196	a_comp_cor_197	a_comp_cor_198	a_comp_cor_199	a_comp_cor_200	a_comp_cor_201	a_comp_cor_202	a_comp_cor_203	a_comp_cor_204	a_comp_cor_205	a_comp_cor_206	a_comp_cor_207	a_comp_cor_208	a_comp_cor_209	a_comp_cor_210	a_comp_cor_211	a_comp_cor_212	a_comp_cor_213	a_comp_cor_214	a_comp_cor_215	a_comp_cor_216	a_comp_cor_217	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2
8974.69912807956	n/a	80545224.43955201	n/a	10296.376413037417	n/a	n/a	106015367.23895326	6413.386526684528	n/a	41131526.74065863	n/a	6908.380919565226	11450.462614000671	n/a	n/a	n/a	n/a	0.0314229268	-0.060875272	0.025579502900000002	-0.2051574535	0.1518382859	0.7926999112	-0.2555701264	0.0637776531	-0.1204657167	0.0393942581	-0.0732549587	0.0717134361	-0.0033016765	0.0005464233	-0.0191140862	0.0015217488000000001	-0.0275861383	0.07456955230000001	-0.0035706393	0.0028870581	-0.0114458268	0.0367740527	-0.0512196381	0.0131094023	-0.0085656213	-0.0569712571	0.0229482751	-0.0357524414	0.0426717804	-0.0115987685	0.023942196000000002	-0.0073748571	0.055024441699999996	-0.022983794300000002	0.0691930004	-0.015594808500000001	0.0047002777	-0.0438389973	0.0082553362	-0.0374756612	0.0142880844	-0.0195928654	0.0407749644	-0.024590890299999998	-0.0036419723	0.0097627546	0.021171677200000003	-0.039591597	0.0191332276	0.0066035177	-0.09065673519999999	-0.0093838619	0.0181045459	-0.0106190547	0.0426974655	0.0461511266	-0.0716893284	0.0154929979	-0.13628036570000002	0.060678080999999995	-0.0466376873	0.09462604529999999	-0.1209399367	0.0827020696	-0.0189049822	0.2126054804	-0.0109064297	-0.0170113924	0.0364241169	-0.113425863	0.0711488082	-0.030712521200000002	0.08763510640000001	-0.0663821274	0.015866293	-0.1001860545	0.0481634088	-0.070959297	0.0157055343	-0.046022908700000004	0.0151798985	-0.0432465358	0.0233431594	-0.0737622693	0.0034138631	0.0249084327	-0.0322492099	-0.0121039757	0.0681810831	-0.1276580751	-0.0281946296	0.0099852986	0.20428880289999998	-0.0336534878	-0.0577602827	0.09204364470000001	-0.0250442488	-0.09857402800000001	0.1154009216	0.0350415247	0.0631085703	0.08557178119999999	-0.0745077697	-0.0462271102	0.1527442845	-0.1554996192	-0.0209614264	-0.0556448303	0.0929625139	0.055041937400000004	0.006247516	0.0491707798	-0.009276742099999999	-0.101447984	0.0393809596	0.0994394176	0.0446137682	-0.0809953491	-0.0329081044	-0.0640831705	0.120633806	-0.0989925652	-0.0452324321	-0.0013456332999999998	-0.0681481182	-0.0940130786	0.043120846799999994	0.1097048244	-0.15305457039999998	-0.0512159379	-0.0502152466	-0.046050464400000005	-0.022534758999999998	0.0756828149	0.02716618	-0.0168204998	-0.0096658889	-0.044709588700000004	-0.056684425499999996	-0.0616560138	0.67538906	-0.157635111	-0.256382416	0.2066165875	-0.2467068049	0.1211622818	-0.0485554386	0.1238736549	-0.0302400644	0.058654075	-0.0880094089	0.060915750199999986	-0.012526446299999999	0.0495422809	-0.0366321603	0.026512542599999998	-0.027562526099999998	0.0647816791	-0.0890342019	0.0196021245	-0.001111454	0.050962073899999995	-0.038711079100000004	0.0087884218	-0.028808012400000006	0.029490802200000006	-0.055590493399999996	0.0780216733	-0.0681966079	0.0716443645	-0.035140367799999996	0.0135628613	-0.0524169846	-0.0035486777000000008	0.0203739819	0.030569934	-0.0276508246	-0.0732679122	0.037643494	-0.0248975029	-0.0153403669	0.0317303921	0.0253982427	0.0132709328	-0.061050324800000014	0.0430711437	0.004181602800000001	0.0379636921	-0.0142784307	-0.0021013451	-0.0045523364	0.0235242594	0.015294076100000003	0.0393657041	-0.034458562000000005	-0.0102298911	-0.0090389185	-0.0152966134	0.0789923852	-0.0387421374	-0.0245847987	0.0732499326	0.0440446785	0.042592684900000004	-0.042456403899999995	-0.0330194921	-0.0136581191	-0.0040398005	0.0444668638	0.0052534987	0.0121225828	0.0326247431	-0.0462641384	-0.08875691640000001	0.0582975744	0.041931874300000005	0.012958841899999999	-0.005354853299999999	-0.0314834125	-0.005478645600000001	-0.06124319230000001	0.0300318084	0.053277930700000004	0.0980552714	0.098046883	0.098032903	0.0	n/a	n/a	0.0	0.00647892	n/a	4.19764043664e-05	n/a	0.0413029	n/a	0.0017059295484099994	n/a	0.0	n/a	0.0	n/a	-0.0	n/a	n/a	0.0	0.0	n/a	n/a	0.0
8939.317371467125	-35.381756612434394	79911395.0678139	1251.8687009815455	9991.051933670347	-305.3244793670692	93223.03770077188	99821118.741298	6412.30902925	-1.077497434527686	41117707.08660108	1.1610007214137452	6864.295627856744	11358.072649736649	1.141827	40.429337	0.01539302	0.0110199	0.038819112999999995	-0.0345787091	0.0996298791	-0.1056535651	0.0845744073	0.3671387981	-0.1271922126	0.0658968358	0.0045111041	0.10688069300000001	0.0648070639	-0.0644407041	0.0113443932	0.09463044710000001	-0.019402910500000002	-0.0377863977	0.0077419402	-0.0328133392	-0.0066120513	0.0514642684	0.0461829213	-0.011168747199999999	0.0114341299	-0.048974391	-0.0240286406	0.1413603542	-0.021675214300000002	-0.05721379610000001	-0.1396427045	-0.0775592363	0.0314506226	0.0569645786	-0.0482438256	0.0709100844	-0.09286691050000001	0.053228126900000006	0.0159453612	0.051271461799999994	0.0506297382	0.0675602812	-0.022703539100000003	0.032019698900000004	-0.0369272063	0.0464968703	-0.025041043	0.0053639631999999994	-0.0369710302	0.0600325004	-0.013336565900000001	-0.0063637495	0.19194842690000002	0.0254451316	-0.099095994	0.0434743788	0.00018301580000000002	0.0275358078	0.060233030800000004	0.0155951878	-0.059428250599999996	0.1100990858	-0.053293335899999995	0.19092393359999998	-0.06945661410000001	0.142831373	-0.0209483041	0.09975788640000001	-0.0048757105	0.0769813596	0.0523470246	-0.0160436073	-0.060451710599999986	-0.030713049500000002	-0.0328599319	0.079342674	-0.0241932506	-0.019755635900000002	-0.0859112299	-0.11215659539999999	-0.0440257501	0.025368743500000002	-0.037194756600000003	0.0205537049	-0.262637803	0.10068301130000001	0.126969323	0.147453652	-0.055340582	-0.0849656176	-0.029695765	0.001484117	0.0694519588	0.0186879043	0.0513345887	-0.0502565607	0.0757102217	-0.0266557525	-0.0688044427	-0.0809052967	-0.0129294146	0.0716398746	0.0500048776	0.032702599900000004	-0.0275209467	-0.0687295297	-0.06455417570000001	0.044201457400000005	-0.024952726499999998	0.0130846369	-0.0065691740000000005	0.0219679167	-0.114855482	0.0379986959	0.0633704752	-0.0439191558	0.0720953684	0.040587592400000004	0.14651102789999998	0.0712172325	0.0137188874	0.1251611967	0.1401817979	-0.0184270507	0.034981371000000004	-0.010709925600000001	0.0330412801	-0.0732699192	0.0759702986	-0.1544990866	0.0406687782	-0.0721605059	0.0172139493	0.041268013900000004	0.0977983016	0.08309999950000001	0.0386639792	-0.08203572190000001	0.0027109792999999997	-0.1572714311	-0.0919129158	-0.0687786378	0.34112895109999997	-0.0574751405	-0.0779109054	0.1148467031	-0.20340780719999998	0.0011045354	0.029464595899999998	-0.1200630883	-0.0068452416	-0.025241780099999996	0.0350773929	-0.051735797	-0.011754015500000001	0.0621092593	-0.04630440809999999	-0.005416793499999999	0.0067307338	-0.0347027651	0.11123552199999999	-0.0305598839	-0.0048365362	-0.1000439934	0.16348092990000002	-0.0763989565	0.08114787820000001	-0.0053090757	0.036308104	-0.057708430199999994	0.0916722195	-0.1252330317	-0.009089622700000001	0.006753022900000001	-0.0257215619	-0.0773843016	0.0031167611	0.0058277439000000006	0.0191899253	0.1538891506	-0.0975035508	-0.0294261245	0.025415253500000002	-0.0610677949	-0.0452429922	-0.0430561942	0.06782727200000001	-0.03374441	-0.019867278500000002	-0.0335763256	-0.0189398688	-0.0164601123	0.0064930637	-0.11431794349999999	0.0145218243	-0.05939805860000001	-0.0074014563	0.018511806699999998	-0.07262842629999999	-0.0033111186	-0.1166734807	0.0796814788	0.0434706263	-0.042497197699999996	-0.0158141555	-0.05849487320000001	0.08304744480000001	0.017820480700000002	0.0189009466	0.0717445203	-0.0604390481	0.050183627599999996	-0.09416747730000001	-0.0919692367	0.0749159	0.1666284384	-0.0651506479	-0.0309692394	-0.0301449359	-0.041659778599999996	0.0953538421	0.0879414529	0.06737754929999999	-0.0260035533	-0.1235879944	0.098032903	0.09795742199999999	0.0978316635	0.0	0.0	0.0	0.0	0.0	-0.00647892	0.0	4.19764043664e-05	0.050217000000000005	0.008914100000000008	0.0025217470890000005	7.946117881000015e-05	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8930.091161627719	-9.226209839405783	79746528.15498151	85.12294800074808	9831.897323739151	-159.15460993119632	25330.18986235125	96666204.98454908	6417.844083183457	5.5350539334567666	41188722.676052906	30.63682204627521	6843.125762793791	11255.871852918495	1.10475	39.116524	0.025646849999999995	0.016585	0.021599870299999997	-0.050411865199999996	0.0905374342	-0.0366079432	0.14091247699999998	0.1544621985	-0.0322967159	0.11564969369999999	-0.0064392226	-0.0641229433	0.0478383963	-0.0955837678	0.0760618351	-0.10971795150000001	-0.05366939440000002	-0.0380132108	0.11233620039999999	-0.129607595	-0.005412104399999999	-0.0621015633	-0.0172534872	-0.0327950143	0.1603628979	0.0121136124	-0.049159159400000006	-0.0664295124	-0.0832449731	0.1172212841	0.09140559990000001	0.18726349420000002	-0.0373858175	-0.1495575674	-0.0827968457	-0.057705094400000004	-0.0170329799	-0.0360597876	0.0183845641	0.0461407558	-0.045933128600000005	-0.050477084900000004	-0.0275208442	0.0269825744	-0.0012026606	-0.0099281497	0.0386869144	-0.007960031	0.0204792424	0.036149147799999996	-0.0613521222	0.0411970821	0.0048980474	0.031876902799999995	0.12551282060000002	-0.0375967714	0.0196223059	-0.057708652699999995	0.0024091088	0.051647875999999995	-0.10682329759999999	-0.0555857082	-0.0356440173	0.0990060115	-0.0360441092	0.0634119064	-0.0031107902	0.0307020638	0.0769406145	-0.0184567398	-0.049491848	0.0909541548	0.0497278742	-0.07071919559999999	0.09582471279999999	0.0957764704	-0.0588701464	-0.05026647099999999	0.0706274547	-0.1284257506	-0.052023737199999996	-0.094284176	0.1431982696	-0.003960163	0.0073035294999999984	0.1513322972	-0.0448484589	-0.0827319235	-0.0579006513	0.0112459579	0.0778483437	0.0372767577	-0.10091043949999999	0.0045926657	0.1360001221	0.0258873545	0.006338332800000001	-0.1123232148	0.0307125888	-0.101948631	0.0123917405	-0.0070994488	0.060611115800000004	-0.06752042700000001	0.009340723399999999	-0.012666208799999999	-0.0034465789	-0.0154865656	0.0862584834	-0.0779852331	-0.1332734367	-0.0320417613	-0.0209743839	-0.0166372316	0.0292420111	-0.029895775	0.0829082206	-0.1806774807	-0.08547002599999999	0.0094268386	0.020823515600000002	0.0528979634	-0.0964873069	-0.0072323773	0.131690804	0.0311710912	-0.0494827504	-0.0779609986	-0.0583128281	0.1073870752	-0.0511655871	0.0146848265	0.0483244246	0.0580152168	-0.010555539	-0.009277455300000001	0.1263146685	0.1153983673	0.0129525045	0.0530910078	0.0018418163000000001	-0.024860782	0.18225034920000002	0.054567212999999996	-0.0257599558	0.023096971	-0.0053590674	0.0768891052	0.1096285918	-0.061514618300000004	-0.0691874865	-0.0602347756	0.06429952650000001	0.0341856365	-0.0398803404	-0.0636131234	0.05539917230000002	-0.0549249067	-0.18591661829999998	-0.06099683	0.06675790919999999	0.0032505963000000002	0.005225323400000001	-0.0013911791	-0.0082823994	0.0828333325	-0.07870064639999999	-0.023266841400000002	0.037922458	-0.09960239580000001	0.1275413808	0.0329698034	0.12817488	-0.08221696860000001	0.08347005980000001	0.1732691087	-0.08543732130000001	-0.0440140299	0.0344819164	-0.050744149	0.0088192064	0.0592444029	0.0134480174	-0.0436872363	0.040946468300000004	0.06187575400000001	0.0381541025	-0.0754175533	-0.0002471043	-0.024805991200000002	0.0520746535	-0.055124139100000004	0.012551171699999999	0.1394475584	-0.1026997266	-0.0740485569	0.07037685769999999	0.0515742929	0.0993653414	0.058775863899999996	-0.0312614914	-0.039987415299999995	-0.11495798859999999	-0.0535778196	-0.0414190156	0.0737585872	0.0378985944	0.0964879107	0.0660524225	-0.0499439858	-0.0827028356	0.0144070302	0.0427741076	0.054774497400000004	-0.0162674907	0.0486891508	-0.0314701233	-0.0162610074	-0.021289677200000003	0.083843657	-0.0493613931	-0.166466641	0.0358984801	-0.0345601708	0.0809102806	0.09798817119999999	0.0977785816	0.0974295977	0.0	0.0	0.0	0.0	0.004206100000000001	0.004206100000000001	1.7691277210000005e-05	1.7691277210000005e-05	0.0353629	-0.014854100000000004	0.0012505346964100002	0.00022064428681000005	-0.00013173299999999998	-0.00013173299999999998	1.7353583288999996e-08	1.7353583288999996e-08	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8935.554149751522	5.46298812380337	79844127.96314165	29.844239240816673	9765.896222087078	-66.00110165207298	4356.145419287271	95372729.02057466	6426.241718510115	8.397635326658019	41296582.62471984	70.52027907953473	6834.4877156283455	11183.918274763535	1.150007	40.718945	0.08942865	0.0665811	0.003936251500000001	-0.0890197879	-0.007571687	-0.0448340492	0.21429290760000005	0.0885215107	0.1363763868	-0.0074628981	0.0015213120000000001	0.0579676212	0.1001588048	0.0241739448	0.047034176	-0.0679243022	0.1450113001	0.043077873200000005	0.0188937844	-0.10625869449999999	0.0123727823	-0.0782203339	0.0113128462	-0.0429409125	0.014725086399999997	0.0497515826	0.24087080460000002	0.076539709	0.0031144445000000002	0.1360620007	-0.0705867345	0.09631275980000001	-0.0759673122	-0.057751010599999986	-0.054561867699999995	0.012685278999999999	-0.0216494129	-0.054727413499999995	-0.20575110219999998	0.025815758799999998	0.021374087799999997	0.148341446	0.0072963651000000004	-0.0081373764	-0.0961507928	0.0153506024	0.049662970199999996	-0.0631050147	-0.07058506269999999	0.0203129892	-0.0042462923	-0.088275818	-0.0008435930999999999	-0.08584728779999999	0.0030412538	-0.047997578099999993	0.051363142199999996	-0.1229605327	-0.1489116547	0.034761107400000005	-0.1286491089	0.0182090773	0.0276690981	0.0260818831	-0.07075980379999999	0.11976779230000001	0.014770585900000001	0.051769141799999994	-0.08663939890000001	-0.0935640372	0.0351202967	0.0086088874	-0.0640937157	0.0384536751	-0.0418631893	-0.0419397846	-0.0351548085	0.1103676701	0.0612828704	-0.0481735129	-0.036169600499999996	-0.2415557543	0.1231905414	-0.0108690907	-0.07529361820000001	0.0382046235	0.0580836038	-0.0267390389	0.0208935723	0.0502277888	-0.1321806136	0.0027892891	-0.13277983640000002	0.0382806255	-0.036751511	-0.0416787556	0.0197124524	-0.10153392630000001	-0.0114086329	0.07194666870000001	0.1256947476	-0.0499342276	-0.0275650417	-0.036899773999999996	0.1320458573	-0.1029256178	-0.15785629029999998	0.0024635465	0.07103165730000001	-0.1131796682	0.1382530605	0.036801895	-0.1002264561	-0.0547510426	-0.0617214827	0.0736278834	0.09257583400000001	0.0527971731	-0.07939410849999999	-0.0335073724	-0.075412705	-0.045473864	0.002160689	0.03110807	-0.0661801085	0.0187596263	0.0948436127	0.0725143426	0.0042035389000000005	-0.02444199	-0.0669714654	-0.0374746112	0.04725401059999999	-0.0095819317	0.0396458221	0.0342573073	-0.0102184092	-0.0715999871	3.69955e-05	0.09105707390000001	-0.0192424668	0.11252744529999999	0.0792378634	0.0781808046	-0.09766335289999999	-0.0741289158	-0.0215471243	-0.0706147384	0.14151229999999998	0.059670311	-0.1047610737	0.0377254313	0.09294755689999999	-0.0136972935	0.0332731702	0.0011798205	0.0370824065	-0.0073521442000000015	0.0735687993	-0.1148335403	0.1068476119	-0.1145795895	0.15759112949999998	-0.004791835	-0.072521367	-0.0961893384	-0.0623963677	-0.071416985	0.08813368220000001	-0.1104030663	-0.0950055393	0.1002632086	0.0386504698	-0.0544921871	0.1340858934	0.0299873305	0.08591137509999999	-0.0153051849	0.014118288	0.1405606578	-0.0311281096	0.1244490318	0.0280526844	0.1233936009	-0.015392226100000003	0.0341500367	0.10804556650000001	-0.032361554300000005	0.0390589244	-0.1665833109	0.0289637538	0.17732101960000002	-0.0114229962	0.0719767502	-0.0156594324	0.07113742320000001	-0.0759124078	-0.052383458499999994	0.1226352071	-0.1110125039	-0.012565478	0.07842717889999999	0.07818679440000001	-0.10693669619999999	0.04203049389999999	-0.0780001265	-0.026946840299999997	-0.0483275251	0.0577859654	-0.0832138341	0.025868702400000002	-0.08934560300000001	0.0813802759	-0.0320633979	0.0667908561	-0.0849124863	-0.046626731799999994	0.0018126320999999998	0.0689371655	-0.0556090183	-0.0648572694	0.04544295860000002	-0.057255873	0.0087940905	-0.0051874157	0.0979210862	0.097510525	0.0968275308	0.0	0.0	0.0	0.0	0.0686237	0.06441759999999999	0.00470921220169	0.004149627189759999	0.019059	-0.016303900000000003	0.000363245481	0.0002658171552100001	-0.000305876	-0.00017414300000000006	9.3560127376e-08	3.0325784449000016e-08	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8924.72696371605	-10.82718603547255	79650751.3768803	117.22795744673179	9728.10972556222	-37.786496524857284	1427.8193196230513	94636118.83257829	6425.082993521708	-1.1587249884069024	41281691.47364187	1.3426435987585759	6832.372967313835	11301.774486374328	1.027357	36.376213	0.05992735	0.049623900000000006	0.0110013641	-0.0189242077	-0.06104692110000001	-0.133092161	0.133830372	-0.0021943779000000003	-0.002657294	-0.0983724182	-0.0246693589	-0.0047715894	0.0264626748	-0.069857346	0.0774712143	-0.12330999289999996	0.2098630191	0.07913245740000001	0.162650636	-0.0522149584	0.0745494604	0.1025173495	-0.0346098009	-0.0098075249	0.0754718661	0.0625587712	0.0760459663	0.0785666716	-0.11530953630000006	0.1573107433	0.0939782908	0.0490408543	-0.0184639986	0.010251030999999999	0.0041469322999999995	0.0280010854	-0.0225783649	-0.0318291283	0.09937081130000001	0.0036594639000000003	-0.0675528287	-0.0110465567	-0.0496802913	-0.03045878	0.0388866266	-0.1714549527	-0.08788601019999999	-0.0051460994	-0.12441800119999999	0.029328398399999997	-0.18832129539999998	0.0461579687	-0.03414819	-0.0328409745	0.1632965754	0.0635725927	0.0186830792	0.0442464156	-0.0997730827	-0.027090080899999997	-0.1361057266	0.047236655999999995	0.07800668940000001	0.0032152298	-0.0894176811	0.0770391917	0.018966246200000002	0.1185291383	-0.0634627899	0.0054172689	-0.0062348427	0.06554485389999999	-0.0642910836	-0.0825905372	0.0209615891	-0.0588228425	0.0429347442	-0.0079086317	0.0754427413	0.0113024357	0.0137025226	-0.2025033834	-0.0040312195	0.1140701305	0.0479295724	-0.0835441204	-0.11757195039999999	0.0256946992	0.0415910175	-0.0408385946	0.0195887837	0.0370669416	0.0176806505	0.008449004100000001	0.0343598284	0.12926986880000002	0.0701824689	0.0414046308	-0.024272488300000002	-0.0949334078	-0.1004203173	-0.0387873325	-0.04899004480000002	-0.0706374347	0.0483326929	-0.0253590298	-0.0013488822	-0.0613105242	0.0387141502	0.08427571710000001	-0.0981062716	-0.039672714500000004	-0.0485120957	0.0701147395	-0.04559654900000002	-0.0473962162	-0.0869318076	0.0906902226	-0.0151555292	-0.0164412572	-0.0234445327	0.194345255	0.068953928	-0.0310835973	-0.11880085650000001	-0.010462869	0.0241758052	-0.1186498161	-0.0531729432	0.06745316309999999	0.10638713720000001	0.0428734698	0.0012846195	0.0176467618	-0.0291599331	-0.0693779353	-0.0037987003000000004	-0.0177716821	0.0197129629	-0.0323578488	0.0190759404	0.0579507104	0.0261255214	-0.06949375349999999	-0.0615682842	-0.021344278900000003	0.05181897	-0.1376609254	0.0666927993	0.07321747519999999	-0.13505588529999998	0.0508654825	0.0757385055	-0.1072891069	-0.0239971998	-0.11209659539999996	0.0584780499	0.003498012	0.10702501630000001	-0.038175524700000005	0.0639146948	0.0327461054	0.10047604550000001	0.1677733337	-0.0736426369	0.13888311279999999	-0.09569231369999999	0.0246443894	0.0803907382	0.025064810899999998	-0.1173503798	-0.0807689645	-0.0083594411	0.018122151	-0.016438367	-0.056260076	-0.057626072199999996	0.0178963954	0.0192689596	0.006612623000000001	0.0849676734	-0.027396427	0.0815675586	-0.08766511	-0.0105036423	0.021297134500000002	0.1121509415	0.010718409699999999	-0.0823327031	0.029475107200000007	-0.028665748900000006	-0.0918053675	-0.023648298300000002	0.051259355599999994	-0.055914877300000006	-0.029794810499999998	0.0929697059	0.0473230427	-0.0710003462	-0.0646014697	-0.0629043516	0.0079620945	0.055995116100000006	0.0016015723999999998	-0.0728496413	-0.0413435782	-0.016718133	0.1388278602	-0.1119303559	0.0966281802	0.0647535387	0.018834708999999998	-0.0851357311	0.1142023766	-0.10316258269999999	-0.056389053200000004	-0.0195316733	-0.1086189848	-0.1387092193	0.1145364583	0.0146224021	0.0633311451	0.1562159503	-0.070462478	-0.049530855199999994	0.0978316635	0.0971534967	0.09602669890000001	0.0	0.0	0.0	0.0	0.0198937	-0.04873	0.00039575929968999995	0.0023746129	0.0257535	0.0066945000000000025	0.0006632427622500001	4.481633025000004e-05	-0.000395933	-9.005700000000001e-05	1.5676294048900001e-07	8.110263249e-09	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
