global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	a_comp_cor_85	a_comp_cor_86	a_comp_cor_87	a_comp_cor_88	a_comp_cor_89	a_comp_cor_90	a_comp_cor_91	a_comp_cor_92	a_comp_cor_93	a_comp_cor_94	a_comp_cor_95	a_comp_cor_96	a_comp_cor_97	a_comp_cor_98	a_comp_cor_99	a_comp_cor_100	a_comp_cor_101	a_comp_cor_102	a_comp_cor_103	a_comp_cor_104	a_comp_cor_105	a_comp_cor_106	a_comp_cor_107	a_comp_cor_108	a_comp_cor_109	a_comp_cor_110	a_comp_cor_111	a_comp_cor_112	a_comp_cor_113	a_comp_cor_114	a_comp_cor_115	a_comp_cor_116	a_comp_cor_117	a_comp_cor_118	a_comp_cor_119	a_comp_cor_120	a_comp_cor_121	a_comp_cor_122	a_comp_cor_123	a_comp_cor_124	a_comp_cor_125	a_comp_cor_126	a_comp_cor_127	a_comp_cor_128	a_comp_cor_129	a_comp_cor_130	a_comp_cor_131	a_comp_cor_132	a_comp_cor_133	cosine00	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2
8832.14736510225	n/a	78006827.07888262	n/a	10418.19577940026	n/a	n/a	108538803.29791336	6439.663979308208	n/a	41469272.16639962	n/a	6951.276153736329	11240.640902405055	n/a	n/a	n/a	n/a	-0.0255877668	-0.12206046359999999	0.1134186361	-0.0452607733	0.0182471803	-0.8228216034	0.1992869203	-0.0233764398	0.1108935544	-0.09843378009999999	0.0251293165	-0.0413394987	0.035877889700000005	-0.0926428275	0.0457227267	-0.0279687243	0.0587730352	0.049325710300000006	-0.0313659539	0.0396074192	-0.045097053399999996	0.0294179481	-0.1045332016	0.060497246	-0.013372448899999998	0.1011633807	-0.0009311096	0.013849839499999999	-0.0002892495	-0.0165351843	0.026037809900000004	-0.0101159028	-0.023791540099999998	-0.0625330504	0.0702516627	-0.0885634316	-0.1197826501	0.0762963391	-0.013415296	0.0643520995	-0.0400543504	0.0298399295	0.06888121629999999	-0.029269542599999997	0.0246497045	-0.07779053150000001	0.060348957	-0.0662321063	0.0871542948	-0.0038881909000000004	0.064133732	-0.1560558133	0.1104248544	-0.0380221124	-0.0461119079	-0.1951144772	0.10925563279999999	-0.0521202608	-0.047158697199999995	0.0650287145	0.2142996892	-0.11707680890000001	-0.1238956175	0.1219169907	0.09474483689999999	-0.0395517367	-0.0633458244	-0.0063387213	0.0167711873	0.0358040692	0.04455686	0.055853220999999995	-0.042562980199999996	-0.0188086409	0.0883067444	0.0071859696	0.212547102	-0.0958104065	-0.1321029094	0.07417352940000001	0.081761205	0.0973200433	-0.0076655528	-0.0316718983	-0.0500343938	-0.0837901733	0.0971839032	0.0127253197	-0.8100878859999999	0.0629485474	-0.12004030630000001	0.16776305789999998	-0.1147264518	0.0988261583	-0.0089161986	0.1235010076	-0.0757993297	0.0227488582	-0.048372126900000006	0.0321727985	-0.015221678700000001	0.0056950385	-0.0040455447	0.0189725868	-0.0364101056	0.0516863586	-0.0552487901	0.0025141071	-0.0149356086	-0.0543519966	0.0102400374	-0.0308854282	-0.014112493	0.05775722730000001	-0.044395549400000005	-0.0139479656	-0.0345439684	0.1176929523	-0.0450960096	-0.0173256026	-0.0173671453	0.0064473837	0.0022557556	0.0044907593	0.0214285759	-0.046174678200000006	-0.0272593925	-0.0175130639	-0.0390615392	0.10069962210000001	-0.012590015500000001	-0.0399506188	-0.0007552284	-0.036600855099999996	0.062330126	0.0721779673	-0.0067458213000000005	-0.0120284981	-0.0804132472	0.12499058769999999	0.0	n/a	n/a	0.0	0.00343323	n/a	1.1787068232899996e-05	n/a	0.0483965	n/a	0.0023422212122499995	n/a	0.0	n/a	0.0	n/a	-0.0	n/a	n/a	0.0	0.0	n/a	n/a	0.0
8786.453113232583	-45.69425186966691	77201758.31103455	2087.964653928558	10075.758854986188	-342.43692441407075	117263.047202168	101520916.5038326	6437.371368222618	-2.292611085589669	41439750.13241234	5.256065589768643	6900.9858076920655	11175.588976478426	0.948392	34.244438	0.01667775	0.0136675	-0.0184488765	-0.1253018914	0.1406490249	-0.0074476857	-0.0049734069	-0.3807895806	0.0814167442	-0.0385200345	0.033073948	0.045470068499999995	-0.061628435499999995	-0.0041587405	-0.0577636565	-0.0060257437	0.0054066033	-0.0151452279	-0.05881324070000001	0.0083931662	0.033755760600000004	-0.0545610846	0.0693245261	0.0245877237	0.1302313733	-0.061429188600000004	-0.0288583761	-0.1476947883	-0.0371790024	-0.037089219900000005	0.0405714781	0.0755512428	-0.057563883499999996	-0.0867392567	-0.0507785022	-0.06624040070000001	0.08566197589999999	-0.10788035	-0.1357387334	0.020335266499999997	0.028625876	0.0074855862	-0.0083548783	0.0577542405	-0.052556773700000003	0.0702892972	0.0280483891	-0.043683898	-0.0220189608	-0.0439920558	-0.0637337395	0.1288373055	0.12325435470000001	0.0318550141	0.0964703333	-0.034967416	0.11373463	-0.0013685557	0.046123415099999995	0.12547403470000001	0.1021480839	0.0951802682	0.0997198753	0.04442894519999999	0.1673047618	-0.051913383099999995	-0.0100522945	-0.0991118125	-0.1086640838	-0.0959549477	-0.0316977773	0.0200630402	-0.003539064600000001	0.1266332458	0.0120347881	-0.0985364491	0.022293155099999996	0.0271204875	0.0260227108	-0.041167891899999996	-0.050837752300000004	-0.2405666287	0.0099437098	-0.17226745329999998	-0.0061882197	0.19644657899999998	0.0792768797	0.0014669151	-0.24812215399999998	0.0367452219	-0.3744059027	-0.0040223487	-0.10599141390000001	0.042279574	0.0213165107	-0.012530952	0.0471929817	0.0335456267	-0.0161082569	0.029988624300000002	0.0700416363	0.0020412117	0.026961867599999998	0.0396945006	0.048518282	-0.0196455261	0.0526439405	-0.0280727365	0.10348038150000001	0.0340960112	-0.0480099808	0.1047352899	-0.0679523403	-0.0175767794	-0.024013592599999998	-0.1125596306	0.1394807474	-0.0035360928	0.15333579890000001	-0.10223481029999999	0.0416654599	-0.0001329831	0.036213900800000004	-0.07283318379999999	0.0273609846	0.0226986783	-0.0533367853	0.0743480551	0.0339624856	0.0745897482	0.0214126889	-0.1470024328	0.051568784400000005	0.0226005444	-0.017995043999999998	-0.0101212774	-0.019907133400000002	-0.1381678559	-0.0487290036	-0.0375527644	0.0384884352	0.1249152981	0.0	0.0	0.0	0.0	0.0165052	0.013071970000000002	0.00027242162704	0.00017087639968090007	0.0481645	-0.0002319999999999961	0.00231981906025	5.3823999999998186e-08	6.74756e-05	6.74756e-05	4.5529565953599995e-09	4.5529565953599995e-09	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8751.976444568307	-34.47666866427608	76597091.6862785	1188.6406821862759	9924.639377782369	-151.11947720381974	22837.096390355804	98498466.7790284	6436.429431029601	-0.941937193017111	41427623.82062403	0.8872456755889542	6881.637981146696	11116.652548278264	0.988729	35.700916	0.02046408	0.0170225	0.067845988	-0.0568512597	0.10961877390000001	0.0117157604	-0.0362623742	-0.1560560903	0.1160563669	-0.009685376400000001	0.0082641473	0.1470950441	-0.0087666051	-0.0775437132	-0.09564850890000001	0.14981704769999998	-0.006869729000000001	0.0597214025	-0.0599764038	-0.1007575732	-0.0540883229	0.0419381895	-0.0541768107	-0.0959033388	0.0892447654	-0.12565133679999999	0.1017061465	-0.008648523100000001	0.04258514769999999	-0.0714656095	-0.018698725700000002	0.1139697123	0.0679322349	0.0625674276	0.036527830899999995	0.054613525	0.0461175553	-0.1354980197	-0.0482212594	0.0985108922	-0.0392319174	-0.1093132461	0.003090452	0.06702763980000001	-0.051048003700000004	-0.0321977444	-0.044790548799999996	0.0290540868	-0.1316856092	0.0592159328	0.026183280899999998	0.0677713503	-0.10382287039999999	-0.0822346335	-0.0592603182	-0.0038486725	0.036983225099999996	0.0090547605	-0.1561751647	-0.18018791280000002	0.0421534362	0.0331079305	0.17346640230000002	0.0371437705	0.1990252005	-0.0113988416	0.013213744199999999	-0.1148147766	-0.0043416869	-0.0832277478	0.021676110800000002	-0.0707350892	0.042384785999999994	0.007418859200000002	-0.044260886799999996	-0.1028032302	-0.0884571142	0.042691749400000006	0.0691215503	0.0256703202	-0.09187141630000001	0.0991742567	-0.17430581039999998	-0.0006742466000000001	0.0067166478	-0.0417894246	0.0796597171	-0.0664104944	-0.0276805081	-0.0464080512	-0.1709070678	0.00535519	-0.1502505782	0.023178605	0.11265270449999999	0.018579386200000002	-0.0543608122	-0.040025756	0.0010109731	-0.0427942885	0.0604788465	-0.0448214429	-0.0030786894	-0.13520562560000002	-0.0636039934	-0.011338453899999998	0.1174113319	-0.0843607826	-0.0352972742	-0.1533172717	0.1472724436	-0.041124410800000004	0.0363828864	0.0381403984	0.1022492109	0.0257955937	-0.0587632783	0.0670023859	-0.037558638	-0.2018162357	0.17860926929999998	0.0680646224	-0.0841257	0.13436242199999998	-0.028186369300000007	-0.0219280259	0.09703690359999999	0.032514378999999996	0.0024962608	0.0561672582	0.012065272	-0.09736333039999999	0.0075003785	0.0416649626	-0.047156992	0.0310324907	-0.1116283417	-0.023579498799999998	0.1059941227	0.042342549800000004	0.17032991739999995	0.1247647641	0.0	0.0	0.0	0.0	0.0	-0.0165052	0.0	0.00027242162704	0.0487496	0.0005850999999999981	0.0023765235001599995	3.423420099999978e-07	0.0	-6.74756e-05	0.0	4.5529565953599995e-09	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8725.499163184832	-26.477281383475198	76134335.64673921	701.0464294597224	9834.984210083165	-89.65516769920394	8038.049095172385	96726914.41258515	6429.916082746151	-6.513348283449887	41343820.83115761	42.42370586151958	6868.100198331888	11063.689542538566	0.998629	36.058414	0.0224602	0.0224602	0.1052989659	-0.0026545920000000003	0.0517144502	-0.0952658881	0.10495775210000001	-0.0422683598	0.1582026265	-0.0388708538	-0.159508912	-0.056548115999999995	-0.0920931832	0.0125930746	-0.0092987811	0.2033588651	-0.0686583542	0.108351564	0.1232102273	-0.1185649078	-0.042500145499999996	-0.0264612662	-0.0215179411	0.0375095744	0.0871836151	0.0493794833	0.0954047134	-0.1409332017	0.040143318	-0.063182111	0.0170567278	-0.2424917502	-0.13123494730000002	0.11015095800000001	0.09870414570000001	0.1090568428	0.114173869	-0.1100616605	-0.058285838300000004	-0.0442947533	-0.0926885153	0.1075545848	-0.09490032080000001	0.06367204929999999	-0.11140541779999999	-0.0896930267	-0.1148600198	0.1170167576	0.0230308602	0.047953780300000005	-0.046619045	0.0225905727	0.13391432080000001	-0.0977515841	-0.058017572	0.041660161099999996	0.1288674131	0.1865528638	-0.0367465792	-0.0627465145	0.038354791400000005	0.09992287109999999	-0.006472957	0.017097896499999998	-0.14280437880000002	-0.1189160132	0.0524403799	0.0734502009	-0.0416592322	-0.0552164521	-0.008310510600000001	-0.0299009607	0.0282691094	-0.038810048300000004	-0.006658708399999999	-0.0182406999	0.0038119914	-0.0354043551	0.06523120339999999	0.0734157623	-0.1056177416	-0.0938126391	-0.0021750202	0.1191085509	-0.034122001	-0.0671622885	-0.0844372416	-0.0441131945	0.0398490523	-0.1283680067	-0.1128421482	-0.0511055662	-0.007099198	-0.12655461880000002	-0.026360455	-0.0834676659	-0.0741902181	-0.0981973938	0.0657012805	-0.1380473225	0.0164860168	-0.1279716112	0.0167131653	0.0061203037	0.0035313607	-0.06808697429999999	-0.0220412247	-0.0975171172	0.1256304986	0.0477493987	-0.1102857822	0.062089419699999995	-0.0732137168	0.046309225	-0.0389158931	-0.1220672646	-0.1182896327	0.1350324713	-0.019452443700000002	-0.09601424089999999	-0.0107705019	-0.008821021	-0.0196875252	0.05847903240000001	-0.0108834953	0.0924641541	0.013515972099999999	0.1063413998	-0.0041270286	-0.0775036197	0.0822558335	0.055263208200000004	0.0077289544	-0.0017708238	0.0723253297	0.069624436	-0.05850607240000001	0.024270225299999997	0.0144271392	0.0828376717	0.1611879081	0.1245390765	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0262894	-0.0224602	0.0006911325523600001	0.0005044605840399998	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8722.308913005954	-3.1902501788772497	76078672.77390312	10.177696203826324	9797.918169080243	-37.066041002921345	1373.8913956302458	95999200.44799274	6440.395380710484	10.479297964332542	41478692.659876935	109.81568582526423	6862.2198396276635	10732.379959893029	1.214593	43.856411	0.12656176	0.0971772	-0.1147629698	-0.0238891205	0.0276064665	-0.12799664300000002	0.0414169836	-0.0465440338	-0.121040715	-0.0162177168	-0.12302639800000001	-0.042261338899999994	-0.11273779240000001	0.13010342589999999	0.043027509900000004	-0.08173015780000001	-0.1786092536	0.017479544099999998	0.0550275275	0.17540302600000002	0.0246501512	-0.0853757131	0.0974811858	0.0158938766	-0.0494398315	-0.1481930931	-0.0191584863	0.0539605996	0.07858099980000001	0.1876113811	-0.0781048904	-0.0428106461	-0.0320290859	3.53068e-05	-0.1011293966	-0.1037113341	0.0363212139	-0.0387265557	-0.017526147	-0.037789143	0.1112776872	0.2327962981	0.0008723981	-0.0510060466	0.0032224163	0.05720965400000001	-0.1887536645	0.101769526	0.0597513704	0.0030049820000000002	-0.0810291554	0.00038165940000000004	-0.0107371358	0.0530817024	-0.0957708696	0.0018557548	-0.049938605	-0.1658788362	0.0361468253	0.0772726433	0.0214680555	-0.1228827838	0.06521936190000001	-0.0348530754	0.09723872880000001	-0.006332359300000001	0.0499259409	0.063802252	0.0076723188	-0.0079888297	0.0691613356	-0.0286738117	0.0772497296	0.007748668	-0.0043684131	-0.0807938416	0.056345033499999995	0.0138144768	0.07738123179999999	0.1426338528	-0.042641064000000006	-0.095193457	0.0009338667999999999	-0.04311017809999999	-0.0347362999	-0.0292816609	-0.1392308398	0.15604492609999998	0.0551526864	0.0969751227	-0.030927249100000002	-0.0170637622	0.011087958799999999	-0.0784042406	-0.1322891477	-0.14920606960000002	0.1103494458	-0.0347597212	0.0371094698	-0.0845708641	-0.0801006801	0.1504589699	-0.0738727661	0.0645937474	-0.18528905280000002	-0.023824640600000002	-0.0178631457	0.0598816099	0.0199384944	0.1635633139	0.0987911225	-0.0763868198	0.0961039998	0.0979959287	-0.0091676605	-0.0362446165	0.0728176614	-0.0195981646	-0.0033847869	-0.11148200609999999	-0.0869849183	0.0102867876	-0.0028748773999999998	0.0350303369	-0.0020008336	0.055329156	-0.1111418591	-0.062196746500000004	-0.10104340769999999	-0.043879088200000006	0.0069887835	-0.0031840583	0.0150119528	0.14376610369999998	0.20096440899999998	-0.0202914831	-0.045648954299999996	-0.09653654099999999	-0.1742256863	-0.0033347023	-0.0366303609	0.12423837130000001	0.00216891	0.00216891	4.7041705881e-06	4.7041705881e-06	0.09449860000000003	0.09449860000000003	0.008929985401960003	0.008929985401960003	0.0308517	0.0045622999999999974	0.0009518273928900001	2.0814581289999985e-05	0.000326645	0.000326645	1.0669695602499997e-07	1.0669695602499997e-07	3.1400699999999997e-24	3.1400699999999997e-24	9.860039604899996e-48	9.860039604899996e-48	0.00017999400000000005	0.00017999400000000005	3.239784003600001e-08	3.239784003600001e-08
8758.842103467521	36.53319046156685	76717314.99347535	1334.6740053011188	9790.799427773894	-7.118741306348967	50.676477786718976	95859753.43489762	6448.072357725142	7.676977014658406	41577637.13045907	58.935976083593474	6863.889929378357	10904.76147859001	0.986034	35.60360700000001	0.08879247000969999	0.0491672	-0.0782790748	-0.0834966756	0.11481287960000001	-0.0070734785	-0.0673794804	-0.0158880821	-0.10029955060000001	-0.0203934244	-0.0225683665	0.0931535559	-0.0761713937	0.076982408	-0.1304747946	-0.08619605609999999	-0.0071506252	-0.1247258775	-0.0882642045	-0.061957369299999995	-0.030199208199999997	-0.0934588509	0.11729818759999999	-0.00017214599999999995	0.0130723049	-0.0014398281	-0.15244579800000002	0.0434472202	0.0757304149	-0.05221724	0.014412881	-0.1152315187	-0.08050742429999999	0.0368905409	-0.0109745102	-0.100121608	-0.0048864455	-0.1093109632	-0.0650672194	0.0297509698	0.1292581791	-0.0049312606	-0.006706690600000001	0.023962395499999997	0.0330728951	0.17574829329999994	-0.0171782172	-0.0415013957	-0.106668499	-0.0630491113	0.0344377354	-0.0295318252	-0.1080975885	0.135399447	-0.106072154	-0.0112169131	-0.09387230949999999	-0.0789634986	0.20289214600000002	0.0082139598	-0.24994439559999998	0.1256683643	-0.025613364	0.0316935409	0.032125311499999996	-0.1114037432	-0.12979909650000002	0.1432936276	-0.0734502725	-0.038823663599999995	-0.0863146174	-0.029425779300000007	0.0971478927	-0.0028511748	-0.0278005137	-0.0465482821	-0.0973458691	0.09466417279999999	-0.0472392341	0.0009571783	0.1002661774	0.1099921155	-0.12469595900000001	0.064744455	0.11006848289999999	-0.0102569592	-0.0461864817	-0.0567500613	-0.0702853038	0.10113077599999999	0.0303478566	-0.0006421802	-0.09629777310000001	-0.030503405299999998	0.0417848476	-0.1059119984	0.1311572348	0.0145062776	0.0896488906	0.1232383283	0.11078220039999999	0.14016467289999998	-0.0114640718	-0.007009785500000001	-0.0121806143	0.1144963625	0.0880395538	-0.0037335284000000004	0.050256113399999996	0.0897102441	0.14561407710000002	-0.0530669583	0.007174649	-0.1515281099	-0.051084758099999995	0.0360676319	0.0382255134	0.1582636473	-0.1890021613	0.0368100451	-0.16016251439999998	-0.1217700488	0.0094570783	-0.0774987026	0.10950941019999999	0.0301700417	-0.07490253870000001	-0.0308217013	0.011417543700000001	0.0258668052	-0.0657503752	-0.11797952939999999	-0.009518322099999999	0.10462978630000001	0.035188668	-0.06911377099999999	-0.05263705849999999	-0.0366017433	0.1399542277	0.1035988358	-0.047115794800000006	0.1238628294	-1.0009700000000002e-08	-0.0021689200097	4.704214008477049e-06	1.0019409409000003e-16	0.052808	-0.04169060000000002	0.002788684864	0.0017381061283600011	0.051534300000000005	0.02068260000000001	0.0026557840764900005	0.00042776994276000026	0.000631658	0.00030501300000000003	3.98991828964e-07	9.303293016900002e-08	-0.0	-3.1400699999999997e-24	9.860039604899996e-48	0.0	0.0	-0.00017999400000000005	3.239784003600001e-08	0.0
8760.234919044016	1.3928155764951953	76741715.83683813	1.9399352301276431	9808.898218019718	18.09879024582369	327.56620836232287	96214484.25147042	6447.516822944297	-0.5555347808449369	41570473.18214972	0.3086188927284321	6868.401837651929	11096.9290273737	1.118114	40.372753	0.0989841750097	0.0651164	0.07443217419999999	-0.0169947788	0.0883916875	0.0945910367	-0.0515109692	0.0296291789	0.082114909	0.0458497881	0.0544410884	0.1519441317	0.0922313582	0.002073638	-0.0771992657	-0.0269453298	-0.038313764199999996	0.1558665624	-0.12108881169999999	0.0784950982	-0.0798398152	-0.1302008866	-0.0239853143	-0.10299419380000001	0.0605168175	-0.055617844400000005	0.07802087049999999	-0.10241649470000001	-0.1688367919	0.0650326077	-0.16785193899999998	0.0626950765	0.0164754014	-0.0212273929	0.0967758933	0.0625225898	-0.0414823127	0.0301756163	0.058210249400000004	0.025056821200000003	0.13938247039999999	-0.0021038520000000002	0.0741026351	0.0494662091	-0.0184584189	-0.013257743300000001	0.0948467005	0.0098659545	-0.1242396572	0.0739178964	0.04336187389999999	-0.0172757677	-0.07000645429999999	0.061855583600000014	0.078935705	0.018930606399999998	0.12203575779999999	-0.0005336096	-0.0688670541	0.18482000980000002	0.1089876176	0.13581341	0.1748726435	-0.1353508425	0.049996800999999993	-0.08587224199999999	-0.0764524332	-0.0324125175	-0.0539968834	-0.0329608606	-0.1659832005	0.1378868016	0.1291493933	-0.16018977539999998	-0.0018639816	0.011958548400000001	-5.8836e-06	-0.043500376699999996	-0.046223213	-0.08119402769999999	-0.040070644700000005	0.022334907400000003	-0.1646688129	-0.103943862	0.0015707394	-0.1556507999	-0.1530597471	0.06888523740000001	0.1800254079	-0.0509166185	0.0617845921	0.055994365	-0.0899693166	0.074575821	0.0100591867	0.0792615953	0.1218549332	0.0323112234	0.0339690328	-0.0077365544	0.0363986657	-0.0041106341	0.0343496356	0.08343935150000001	0.08744154259999999	-0.1174272916	0.08350987730000001	-0.011628409199999998	0.1087132814	-0.08981739720000001	0.2138771471	0.2206891713	-0.0087457186	0.0623354371	0.11131256939999999	-0.042119866299999996	-0.07527448769999999	-0.0993373951	-0.0772116453	-0.0402437324	-0.0449345393	-0.15559286619999999	0.0661370667	0.062018153	-0.11786752199999999	0.027087575899999997	-0.09801774140000001	-0.1635545517	0.0610066765	-0.0055701247999999995	-0.0847994006	-0.0399903802	0.0778582137	-0.0674687999	0.09254584519999999	0.08719129880000001	-0.149699783	0.1116839826	-0.0411953506	0.1599452662	0.09062131970000001	0.12341267730000001	0.0	1.0009700000000002e-08	1.0019409409000003e-16	0.0	-0.00247011	-0.05527811	6.101443412100002e-06	0.0030556694451721	0.0358409	-0.015693400000000003	0.00128457011281	0.00024628280356000007	7.140489999999999e-05	-0.0005602531	5.0986597440099995e-09	3.1388353605960996e-07	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8729.032219117764	-31.20269992625253	76196003.48239599	973.60848268776	9778.824740393697	-30.07347762602149	904.4140565228148	95625413.30333585	6440.294246519448	-7.222576424848738	41477389.98175151	52.1656102127808	6864.368636233938	10978.822841787083	1.111931	40.14950200000001	0.055175475	0.0400668	-0.029009672400000002	-0.0179041574	-0.0332460721	0.0309134288	0.1112607134	0.0365087905	0.0295113456	0.028494975099999997	0.0269343588	-0.1339158658	0.1926051143	0.1982178443	-0.18646670140000002	0.14807907480000002	0.0439288589	0.0007208872999999999	0.018947731699999998	0.0117746605	-0.0727235041	-0.10559279490000001	0.0593016762	0.1421518756	0.1362429974	0.0705135364	-0.0460599999	0.06136707230000001	0.1294671617	0.0613483386	0.0692273775	0.18782558829999998	0.1592022504	0.09970426210000001	-0.10729146390000001	-0.033769871800000004	0.0033251695	0.0879065626	0.0582194542	-0.0541480168	0.1057066296	0.1446722107	0.0190862864	0.23123561809999998	0.0049019667	-0.0799520041	-0.030566848599999998	-0.11379424	-0.0982370058	0.005950678	-0.0568893854	0.1471775037	-0.1212071642	-0.1008099116	-0.011681571699999999	0.18359684280000002	0.1029741466	-0.1214952059	0.1801120294	-0.0006038397	-0.0203529747	-0.005720270600000001	0.0898226877	0.0021993257	-0.0072422403	-0.0083237113	-0.0978705388	0.0673861721	-0.044632125700000004	0.11378095449999999	-0.0562503084	-0.0495966879	-0.0725169534	-0.1440005189	0.033286967599999995	0.013337039299999999	0.0641640127	0.0068121898	0.0081837491	0.032079522400000005	0.1186514586	-0.0079618601	0.12449828060000001	0.1120912932	0.0978361433	0.050691303300000004	0.09138624109999999	-0.1532063436	0.0080329951	0.0102251182	0.0121023704	-0.0005403597	0.086980623	0.033833186099999996	-0.13063788029999998	0.1132923641	0.20479868350000002	-0.1694153131	0.1385744887	0.0393559785	0.023490837	-0.12694932650000001	0.0083015787	-0.144158042	0.1139609892	0.0840009291	-0.1150302707	-0.0416865426	-0.09224134630000001	0.14388357359999998	0.20901100960000002	0.06681198599999999	-0.0084845431	0.048231558099999995	-0.0142137276	-0.0002350714	-0.012517923799999999	0.0631076007	0.013631001499999998	0.0959171225	0.0084033457	-0.0095790738	0.0098949704	0.0885434539	-0.2184596989	0.0981587934	-0.1949743694	0.16882921050000002	-0.0343764257	0.12310406539999999	0.045366867400000004	0.0006785586	-0.1444542785	0.0312808248	-0.0259292637	-0.025532398199999997	0.0012516072	0.0731463619	0.0287476035	-0.1009354123	0.0183298245	0.1228881859	0.00228049	0.00228049	5.2006346401e-06	5.2006346401e-06	0.0364642	0.03893431	0.0013296378816400002	0.0015158804951761	0.0302987	-0.005542200000000001	0.00091801122169	3.071598084000001e-05	0.00016732799999999998	9.59231e-05	2.7998659583999996e-08	9.201241113609998e-09	-0.0	0.0	0.0	0.0	7.24464e-05	7.24464e-05	5.248480872960001e-09	5.248480872960001e-09
