global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	a_comp_cor_85	a_comp_cor_86	a_comp_cor_87	a_comp_cor_88	a_comp_cor_89	a_comp_cor_90	a_comp_cor_91	a_comp_cor_92	a_comp_cor_93	a_comp_cor_94	a_comp_cor_95	a_comp_cor_96	a_comp_cor_97	a_comp_cor_98	a_comp_cor_99	a_comp_cor_100	a_comp_cor_101	a_comp_cor_102	a_comp_cor_103	a_comp_cor_104	a_comp_cor_105	a_comp_cor_106	a_comp_cor_107	a_comp_cor_108	a_comp_cor_109	a_comp_cor_110	a_comp_cor_111	a_comp_cor_112	a_comp_cor_113	a_comp_cor_114	a_comp_cor_115	a_comp_cor_116	a_comp_cor_117	a_comp_cor_118	a_comp_cor_119	a_comp_cor_120	a_comp_cor_121	a_comp_cor_122	a_comp_cor_123	a_comp_cor_124	a_comp_cor_125	a_comp_cor_126	a_comp_cor_127	a_comp_cor_128	a_comp_cor_129	a_comp_cor_130	a_comp_cor_131	a_comp_cor_132	a_comp_cor_133	a_comp_cor_134	a_comp_cor_135	a_comp_cor_136	a_comp_cor_137	a_comp_cor_138	a_comp_cor_139	a_comp_cor_140	a_comp_cor_141	a_comp_cor_142	a_comp_cor_143	a_comp_cor_144	a_comp_cor_145	a_comp_cor_146	a_comp_cor_147	a_comp_cor_148	a_comp_cor_149	a_comp_cor_150	a_comp_cor_151	a_comp_cor_152	a_comp_cor_153	a_comp_cor_154	a_comp_cor_155	a_comp_cor_156	a_comp_cor_157	a_comp_cor_158	a_comp_cor_159	a_comp_cor_160	a_comp_cor_161	a_comp_cor_162	a_comp_cor_163	a_comp_cor_164	a_comp_cor_165	a_comp_cor_166	a_comp_cor_167	a_comp_cor_168	a_comp_cor_169	a_comp_cor_170	a_comp_cor_171	a_comp_cor_172	a_comp_cor_173	a_comp_cor_174	a_comp_cor_175	a_comp_cor_176	a_comp_cor_177	a_comp_cor_178	a_comp_cor_179	a_comp_cor_180	a_comp_cor_181	a_comp_cor_182	a_comp_cor_183	a_comp_cor_184	a_comp_cor_185	a_comp_cor_186	a_comp_cor_187	a_comp_cor_188	a_comp_cor_189	a_comp_cor_190	a_comp_cor_191	a_comp_cor_192	a_comp_cor_193	a_comp_cor_194	a_comp_cor_195	a_comp_cor_196	a_comp_cor_197	a_comp_cor_198	a_comp_cor_199	a_comp_cor_200	a_comp_cor_201	a_comp_cor_202	a_comp_cor_203	a_comp_cor_204	a_comp_cor_205	a_comp_cor_206	a_comp_cor_207	a_comp_cor_208	a_comp_cor_209	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10
8538.101531675571	n/a	72899177.76520073	n/a	11113.246980487222	n/a	123504258.44930837	n/a	6315.153491477287	n/a	n/a	39881163.620917775	6726.246012550643	11498.788040380727	n/a	n/a	n/a	n/a	-0.0559735767	0.0773196376	-0.0413410041	0.14183920519999998	-0.0467890171	-0.8252351481	0.0101875591	-0.033505611	-0.070108205	0.0465653743	-0.06918266690000001	0.0005803383	-0.0538525521	0.0819232891	-0.0034470215999999995	0.0237194797	-0.0246639611	0.0512783488	-0.0228374122	0.0745147804	-0.0792093762	0.08788710000000001	-0.0404273091	0.0760575642	-0.035156762	-0.0165601559	0.0730799009	-0.026428603999999998	0.0488742532	-0.0628415342	0.008960264	-0.0340036194	0.0410644958	-0.0572263685	0.0015607995	-0.05735011690000001	0.0032719609000000003	-0.0324145547	0.014063633300000001	-0.035416075400000004	0.0093183386	-0.0112380418	0.0360538478	-0.0274732367	0.026997236	-0.0179583627	-0.0385596121	0.0289475856	-0.0784089087	0.0813917675	0.0038696051	-0.0653423459	0.0788894251	-0.1006466526	0.034647353900000004	-0.11431575869999999	0.1034229024	-0.012437698300000001	-0.0785098255	0.012834084099999999	-0.021099124500000004	0.0454971807	-0.0727192328	0.052739637699999994	-0.0172144269	0.0396616362	-0.048174844800000005	0.05191419480000002	-0.012282920800000001	0.054497344	-0.0579951167	0.052165189199999996	-0.0329483315	0.0461720634	-0.0600764121	0.042448540300000004	-0.130525219	0.043590119299999994	-0.058706213300000004	0.0579051349	-0.030375880499999997	0.0027564327000000003	-0.0489936729	0.1200841949	-0.0228295069	0.0584542858	0.0065489458999999995	0.054199258099999995	-0.1443521975	0.0717029829	0.0314203315	-0.0560347437	0.0591028663	0.0119565549	-0.0098051655	-0.0261740022	0.0252461538	0.0467476842	0.09267402179999999	-0.009695027299999999	-0.0403911936	-0.053298589400000006	0.09096029609999999	0.0774698383	0.052717733200000005	-0.1974411197	-0.0732284588	0.09592481	0.0177570198	-0.11394797890000001	-0.0111812175	0.0336884379	0.0052514416	0.0135987946	0.053686697	-0.0553914417	-0.009798137	-0.0618437616	0.13343794	0.0597254824	-0.0266898741	-0.0019327119	-0.0088667043	-0.1361514447	0.0337464063	0.0292183419	0.0458706568	0.1875578258	-0.11456338279999999	-0.0180005205	-0.1520574364	0.1221445601	0.0760494292	-0.0788330716	-0.0234587211	0.1631329731	-0.4429232306000001	-0.5649107386	0.2007247275	-0.16788630059999998	0.039782868	-0.08948216869999999	0.1599341981	-0.0258144952	0.045376688	0.1627978048	-0.019009376499999998	0.0566210487	-0.1020016264	0.0264746813	-0.0273669467	0.0200517213	-0.045483211600000004	0.1060718517	0.07392717730000001	0.0141806075	-0.018001478	0.0422209676	-0.030425357599999998	0.0030791884	-0.0619961262	0.029786272599999997	-0.036430738500000004	0.04232309980000002	-0.09557690449999999	0.0635918543	-0.0329659937	0.013215672900000001	-0.0514844638	0.0003935139	0.0510943737	-0.0203840829	0.037569435299999995	-0.0404785658	-0.0133236849	-0.0056873932	0.07276005440000001	-0.024076497599999996	0.0306238421	0.0033872965000000003	0.0621345446	-0.0697900714	-0.0451500274	0.050887183200000005	0.0181663238	0.0276029577	-0.0805042283	-0.0496209351	0.066816019	0.0586155805	-0.0529827129	-0.028542758999999997	-0.0388807278	0.0300033822	0.0395852856	0.012005503	-0.044732885300000004	-0.0058153724	-0.07477347969999999	0.0288941979	0.022903605299999998	0.0043634408	-0.0144239694	-0.013841163600000001	-0.0228725291	0.086282166	0.0790717038	-0.0110373999	-0.0157986189	-0.014603628899999999	-0.0229049677	0.0207488145	0.026207249199999998	0.0044921338	0.0025059382999999998	0.0980552714	0.098046883	0.098032903	0.0	n/a	n/a	0.0	0.0533513	n/a	n/a	0.0028463612116900005	0.0	n/a	n/a	0.0	0.0	n/a	n/a	0.0	-0.0	n/a	0.0	n/a	0.0	n/a	0.0	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8471.828035810486	-66.27349586508535	71771870.26834455	4392.176254179485	10780.5643343745	-332.68264611272207	116220567.36758748	110677.74302456267	6311.647904565582	-3.505586911704995	12.289139595517366	39836899.27120711	6685.5081650293505	11097.769513260251	1.059991	43.734005	0.007896999999999994	0.007896979999999998	-0.0454016878	0.0189440505	-0.0185463335	0.1562752846	0.031054243	-0.404856021	0.0355683353	-0.0598698621	-0.013798295700000001	-0.0820064354	-0.0013652615	-0.0380872566	0.09214007839999999	-0.07219651099999999	0.0219036707	-0.012226482299999999	0.06208595860000001	-0.025063553199999998	-0.08542170539999999	-0.10162915939999999	0.0977193176	-0.1060434172	0.01677268	-0.11533342199999999	0.09490381279999999	0.0396038429	-0.0870227218	0.0363163329	-0.0041383752	0.0621249671	-0.050164575	0.0729938642	-0.0480364467	0.08708456070000001	0.0159044318	0.12280349869999999	0.029583644	0.0719532913	0.0004015126	0.0248481744	-0.0051414215999999995	-0.035238466600000004	-0.0234630002	0.0213943913	0.0062885331	-0.0017272476	0.0357426196	-0.016931120600000002	0.08900121960000001	-0.1338898533	-0.0057895575	-0.054367748	0.0819697014	-0.07381551459999999	-0.0629574958	-0.1283040234	0.1582111826	-0.0582724663	0.0196297649	-0.1268921874	0.0354051216	0.1592321377	-0.0270460606	-0.0194786101	0.0260564561	0.0339656894	-0.0309783667	0.0982495516	0.0047794749	-0.007311200699999998	0.0080636527	-0.1443886591	-0.0210608639	0.0889679106	-0.02601347	-0.0551800263	-0.1073180264	0.06518328059999999	-0.0027035286	-0.0339010597	-0.0448850962	0.059623940599999994	-0.1074233419	0.073379127	-0.013450011299999998	0.0488454425	-0.1144591091	0.059123095199999996	-0.0506036697	0.0211857348	-0.1070808502	-0.004141881599999999	0.0351881502	-0.12972069390000002	-0.0973151343	0.1143183575	0.0123123449	-0.0765637359	-0.022335007400000002	0.0810593319	-0.0262637836	-0.049683108	0.1683310178	0.0272629762	-0.059839612599999994	-0.059623162599999995	-0.026276632400000003	-0.0311674527	-0.17909297	0.0576568243	-0.0234526874	-0.0382068829	-0.0341824667	0.0751554628	0.0172133353	-0.0019776366	-0.1077328709	-0.052949188499999994	-0.0830790984	-0.0250447583	0.09154763240000001	-0.029037007599999998	-0.0362479871	0.051967544000000004	0.0801674924	0.0160801646	0.022211027	0.0008117367999999999	0.0778439725	-0.0753835637	-0.0074857415	-0.0464451794	0.0269672469	-0.08048916889999999	-0.0044141007000000005	0.13274192869999998	-0.2424463912	-0.2959318139	0.14331896119999998	-9.588979999999999e-05	-0.0055106738	0.018080793600000002	0.012485196200000001	0.085223584	-0.038610515	-0.026268415099999998	-0.06500057740000001	-0.0258748353	0.0243899301	-0.0402051058	-0.1210340175	-0.0107194601	0.0266036567	-0.0838457475	-0.0565474285	0.061065122699999995	0.0516583758	-0.0030740140000000003	0.0275108441	0.0172573102	0.0249184958	0.0070120853	0.042855759800000004	-0.0173033549	0.0629477817	-0.0111627377	-0.0573528628	0.0348793104	0.08657750019999999	-0.0085811989	-0.0763106705	0.0267929001	-0.0479894453	0.0326059714	0.0258881134	-0.0709391803	-0.0894091473	0.0414935949	-0.0440437426	-0.0913450394	-0.1236559944	0.1062987904	0.0623858046	-0.052347804000000005	0.0119614801	-0.0146387013	0.124870726	0.0644357734	-0.0744454279	-0.138713021	-0.0417506046	0.0013338118	0.074231903	-0.0090791962	-0.05732983730000001	0.032313181499999996	0.0663955051	0.0139029997	0.11848704199999999	0.0184795731	0.0358322046	0.028917667999999997	0.0525805962	0.0654819303	0.0785077205	-0.0537278819	-0.10549643189999999	0.0448217703	-0.0199684293	-0.0047288512	0.0615559315	-0.0144809182	-0.0896091934	0.0019759973000000003	-0.0336280998	0.098032903	0.09795742199999999	0.0978316635	0.0	0.0	0.0	0.0	0.0454543	-0.007897000000000001	6.236260900000003e-05	0.0020660933884900003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8443.610990138584	-28.21704567190136	71294566.55278909	796.2016664501672	10576.263628270981	-204.30070610351868	111857352.33468764	41738.77851439631	6315.832944146108	4.185039580525881	17.514556290568244	39889745.7783613	6669.3388204285375	10978.348530401094	0.986589	40.705528	0.0019724000000000057	0.00197241	-0.0515034177	0.0043634102	-0.0028471857	0.1794514418	-0.0876303408	-0.157306206	0.0102626181	-0.0375515614	-0.0069882639000000005	0.0786833775	0.0683402429	-0.037577211	0.014784240700000001	-0.0253342355	-0.0533661758	0.00020267200000000001	0.024649046600000002	-0.0522030796	-0.0095861857	-0.077598813	0.0118565298	0.022883564300000003	-0.0181366766	-0.0745430182	0.0290152146	-0.0082185777	0.0152543145	-0.012828148700000002	-0.1561355126	0.0218294516	-0.0352679712	0.0479267057	0.052816600899999996	-0.024405122400000003	0.0672034232	0.032637522	-0.0896285508	-0.049508405400000004	0.0059981952000000005	-0.0713717526	-0.0046260547	0.1162249449	-0.023652518799999998	0.030736099700000002	-0.0049208664000000004	-0.0001610495	0.056924227699999996	0.0136634727	0.0454718431	0.019553246399999998	-0.0173659813	-0.066746698	0.07469063599999999	-0.1044559769	0.0960545282	-0.0963396768	0.1002861267	0.0269574581	-0.0789678545	-0.0320767914	0.052856783600000005	0.0777528994	-0.0323947963	0.0690712393	-0.1362693378	0.0177710827	-0.014439629399999999	0.1285403276	-0.0268735507	0.0362042617	-0.022368887200000003	0.0395589738	0.04522652480000002	0.0214882717	0.036011938	-0.0730511471	0.0993417249	0.0537382846	-0.025917202099999998	-0.0776821568	-0.11947896820000001	-0.0579248278	-0.026997908199999997	-0.0406971975	-0.0142642846	-0.0884252792	0.0298257202	0.1078667901	-0.049538773200000004	-0.0909713351	0.036128702799999995	-0.0197662165	-0.022731042599999998	0.051378764900000005	0.0299032108	-0.0297439042	-0.033691234199999996	-0.0196691841	0.017964031999999998	0.1862244734	-0.031913623700000004	0.10556121140000001	-0.0172263706	-0.0253909913	0.0977816086	0.0226849781	0.0046799256	-0.0072952552000000006	-0.0505560616	-0.1790441348	-0.1462942682	-0.0294927274	-0.0756989436	-0.0435813648	-0.053158652300000005	0.0094472915	0.0196869798	0.10809293589999999	0.0348288842	-0.05341243440000002	-0.0309179744	0.003032141	-0.0204486478	0.059578623899999995	-0.0357507751	-0.0261013746	-0.0075035711	-0.0956278849	-0.0068342461	0.0625128434	-0.0475090842	0.0965425542	-0.0168709168	0.0971527819	0.0185643242	0.10907123640000001	-0.1455468574	-0.0962995416	0.0001289066	-0.09443162349999999	-0.0171560181	0.028123486099999997	-0.044427834400000005	-0.0692226774	-0.008550034100000001	-0.056083874299999996	0.017155194	-0.056174817800000006	0.09454444710000001	-0.044232019500000004	0.0409785568	-0.0701952163	0.028886527999999998	-0.0170853552	-0.0015713026	-0.0839618075	-0.0235116535	-0.0694487466	-0.0784341591	-0.0241616272	0.047748821500000004	-0.0743991821	-0.0040708533	-0.0782253975	0.14545485019999999	-0.0610596583	0.06847893299999999	-0.0833700223	-0.0054240241	0.14077246470000002	0.047650675	0.0768601258	0.0612039504	0.0066238233	-0.036198236099999996	0.0961165622	0.0005506546	0.0025787114999999998	-0.0108511763	0.05710916	-0.0387748318	0.0463805144	0.0189104304	-0.017672858700000002	-0.08994910810000001	-0.048943681399999994	0.0784560378	-0.032338630800000004	-0.0457831971	0.0604707922	0.2282241384	0.10992648640000001	-0.0841463136	-0.0472390726	-0.0504019537	-0.09552239550000001	-0.0159341781	0.0551672433	-0.0325148522	-0.10915017949999999	-0.056043006	-0.0682287486	-0.0196315979	-0.0347533975	-0.08317984490000001	-0.0731499798	0.0429243419	-0.0380505487	-0.0282881769	0.034950203900000004	0.009290606	0.021860923100000002	0.0131535955	-0.0237177077	0.1237795243	0.09798817119999999	0.0977785816	0.0974295977	0.0	0.0	0.0	0.0	0.0434819	-0.0019723999999999987	3.890361759999997e-06	0.0018906756276100003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8438.174961017468	-5.436029121116008	71202796.67274216	29.550412605621272	10489.06218628025	-87.20144199073002	110020425.54765424	7604.091485262653	6316.708605274936	0.8756611288281422	0.7667824125405758	39900807.60395443	6659.474751048531	10911.017639708796	0.951	39.237141	0.013048999999999995	0.013049000000000002	-0.049762691	0.0035500551	-7.36233e-05	0.1727310809	0.038060676200000004	-0.045302425199999996	0.0310302417	-0.0830391982	0.025472576400000002	-0.0756438296	0.062077004400000003	-0.0305967133	0.0717554855	-0.0846253385	-0.062104720999999995	-0.0332977735	0.1233777748	-0.053529231600000005	0.0073592241000000015	-0.143945309	0.0111534406	-0.0427457713	0.0264076185	-0.0042429660999999995	-0.0982145409	0.0468860708	-0.062058208899999995	-0.007005742099999999	-0.047176334	0.034475108399999996	0.0432099013	-0.058534650599999995	-0.0152845741	-0.008519171899999999	0.023711228100000002	0.015878586200000003	0.0297864807	0.0167414373	0.011803456200000001	0.17923713239999994	0.0754155238	-0.054494193200000006	0.0645520456	0.0687183681	-0.1256482275	0.0245648262	0.021003365899999998	-0.0453647703	0.1451572594	-0.0697236157	-0.0417954086	-0.0641114037	0.0833643458	-0.0822193949	-0.0540840642	-0.052710683499999994	0.1548476489	-0.013879609	-0.0195679798	-0.07492113730000001	-0.0125361955	0.0895179495	-0.013788255900000001	-0.001165414	-0.0596863029	0.0510718442	-0.0800039428	-0.010827735500000001	-0.0636778523	0.036481891600000003	-0.0416675189	-0.0272668517	-0.0994040992	0.13068736820000001	-0.049710120499999996	-0.0876077373	-0.031037807599999998	0.046521281399999996	-0.03546426	0.034940152599999996	-0.059201267099999996	-0.023050626	-0.1188776765	-0.1363230697	-0.1436953579	-0.11331196550000001	0.0494367377	-0.069068701	0.0206362967	-0.0488697039	-0.0626873461	-0.0620161819	-0.06524663650000001	-0.0750605291	-0.057134408399999996	-0.0964726494	-0.0195535706	-0.0135226442	0.0376319062	-0.0240190248	0.097199106	0.011516498500000001	0.0234981917	0.0006629639	-0.0302204719	0.07695404809999999	-0.0684876188	-0.038795030099999996	-0.0959924115	-0.0189796136	0.0178055284	0.060175264900000004	-0.0152442642	-0.0683881455	-0.0158291505	0.074464074	4.5029799999999994e-05	0.0424369437	-0.1049556094	-0.054569032	0.0530650925	0.105899122	-0.0278808342	-0.0444746718	0.1014551981	-0.0085535513	0.0190968252	-0.1117137994	-0.0258857572	-0.1130945912	-0.1234096135	-0.0883626595	0.0330528248	-0.0124484081	0.023648554	0.1107816139	-0.0816291329	-0.030298932799999997	0.0628914488	0.031313975099999995	-0.065963109	0.0240164836	-0.0901341195	0.0455517617	-0.0643332151	-0.1018340743	-0.020340554	-0.0410882416	0.0619275718	-0.0342071377	0.0489786174	0.0336197294	0.08681540060000001	-0.0316168075	-0.0052947438000000005	-0.0069716127	-0.009069774499999999	-0.0798510634	0.0764496122	0.0570370813	0.1687856335	-0.0718611737	-0.0470796828	-0.0733723815	0.1396328066	-0.122312119	0.0825595245	-0.1063530175	0.13524591119999999	0.0165876776	-0.0660943592	-0.0013362762	-0.070569408	-0.070739417	-0.0418358255	-0.0281087266	-0.0045950591	-0.0327647236	-0.0079098343	0.0931401851	-0.0743524688	-0.0280924298	0.0632561683	-0.0790642511	-0.0024902726999999998	0.0715167672	-0.0086621971	0.08941795699999999	-0.027995194900000003	-0.011066041100000002	0.10938327070000001	0.011327071299999998	0.0311794695	-0.0626148055	0.0246424219	0.0259218808	-0.0276447617	-0.06297338570000001	0.1109643892	0.0493987759	-0.0067393876	0.0355603847	0.0366903587	-0.0288006583	0.0446756017	0.0022511267000000002	0.0587761322	0.1295749356	0.10521020369999999	0.0001699759	-0.0093880209	-0.0366316999	0.0332847976	0.0018839708999999999	-0.0920523118	0.0979210862	0.097510525	0.0968275308	0.0	0.0	0.0	0.0	0.0304329	-0.013049000000000002	0.00017027640100000005	0.0009261614024100002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8436.80613242168	-1.3688285957887274	71179697.71606806	1.8736917246489395	10436.202050483293	-52.86013579695828	108914313.23851168	2794.193956472869	6312.8466309228015	-3.8619743521348937	14.914845896547732	39852032.58555336	6652.343093097201	11012.281122194205	0.941338	38.838505	0.0107126	0.0107126	-0.0550923653	0.0319912551	-0.0143979473	0.1625618327	-0.0753712179	0.0143149219	0.027191889500000004	-0.08548513869999999	0.0203981891	0.1154945766	0.0902537415	-0.0214103542	0.060388119500000004	-0.0670057437	-0.1089116881	-0.0073726149	-0.0098333893	-0.09114905699999999	-0.023990743399999997	-0.0927836298	0.049244625	-0.0678660555	0.0231197106	0.06305834519999999	-0.1255432917	0.051566643899999993	-0.0026183184	-0.06898046	-0.0660624743	0.054243765	0.0008787714999999999	-0.0962701733	0.030136248100000002	0.0017519422	0.060548810599999996	-0.1429379275	-0.0191433436	0.0073411675	-0.08144186490000001	0.0121103656	0.1168230715	-0.017679072	-0.0831474699	0.0131030899	0.0240680547	0.0089181987	0.0082805755	0.0050085215999999995	0.032536173599999996	0.0728600011	-0.0080685319	-0.0620926866	0.10570299429999999	-0.089574	0.048777422699999996	-0.07168192849999999	0.07078451690000001	-0.0274203596	-0.07476115679999999	-0.08677241109999999	0.036107673300000004	0.0812039949	-0.013198331399999999	0.12626870199999998	-0.0362013741	0.0653810217	-0.0353811704	0.0822259634	0.0314239594	0.0813262085	0.0602706166	-0.0362948867	-0.006685713100000001	0.105590733	-0.1235660869	0.148120429	0.0642064375	-0.0665706275	0.1356185248	-0.0802014501	0.0768712653	0.0147249358	0.0157940237	-0.11669085300000001	0.0168536051	-0.0955556294	0.0459482035	0.0638063367	0.0916040291	-0.050192043799999995	0.0093586863	-0.0334986025	0.0327314485	0.0284905981	0.036335379	-0.0202091524	0.0340956876	-0.0569720219	0.0113008318	-0.0110008933	0.021134384300000003	0.0186619506	-0.0909488351	-0.0060686531999999994	-0.058300190700000004	-0.09204574230000001	-0.028644237599999997	0.012504071200000001	0.0935089248	0.0339634039	-0.1558126223	-0.0328391232	0.0269082673	-0.0795756842	-0.032694454500000004	0.0114716524	-0.0186342246	0.00021811360000000002	-0.0195876799	-0.0438458021	0.006765538299999999	-0.07075812599999999	0.0327163639	-0.0909657743	0.1235349891	-0.0737118834	0.014648161000000003	-0.0386617173	-0.0415893964	0.0606917231	0.1149104391	-0.08996586470000001	0.0131960085	0.1001244924	0.0308793856	0.1354864451	-0.0513036422	0.018833092	-0.0345998006	-0.057745827	-0.012704246	0.0675776386	-0.1211303285	-0.0352561129	-0.0662902043	-0.1300734375	0.07664153580000001	-0.058353640199999994	4.35054e-05	-0.0728151095	0.050083295300000004	-0.0627968574	0.088071594	-0.0610289292	-0.074142031	-0.1054226672	-0.044003185599999994	-0.0039398128	0.19262832629999999	-0.1712765089	0.1379603568	-0.0297920569	0.08936626310000001	-0.011705512099999999	-0.050522599	-0.0595802455	0.06800613059999999	0.011409335500000001	-0.0512253916	-0.0144102616	-0.0241907246	-0.0363951483	-0.0805389458	0.0031024728000000005	-0.0818973283	0.0349994613	-0.0640708061	0.026393036	0.0717397664	-0.0104079682	0.043846265599999996	0.0305227968	-0.0089305896	0.0071679049	0.037601977599999996	-0.101208315	-0.026901346899999998	0.006836854399999999	-0.10116590380000001	0.0803851092	0.0683915317	-0.055064624699999995	-0.07721437889999999	-0.031916299100000003	-0.0067674703	-0.1366880785	0.006118390400000001	-0.1328730262	-0.0101382258	-0.09557147029999999	0.0416083531	0.0034927328000000004	0.0603929325	-0.0448696541	0.0001598534	-0.039155728	0.0549726525	-0.024295729199999998	0.0802995363	0.106973043	-0.0975586859	0.0206860433	0.0434179979	-0.056333483899999995	0.0610264119	0.0978316635	0.0971534967	0.09602669890000001	0.0	0.0	0.0	0.0	0.0197203	-0.010712600000000004	0.00011475979876000005	0.00038889023209	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
