global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	a_comp_cor_85	a_comp_cor_86	a_comp_cor_87	a_comp_cor_88	a_comp_cor_89	a_comp_cor_90	a_comp_cor_91	a_comp_cor_92	a_comp_cor_93	a_comp_cor_94	a_comp_cor_95	a_comp_cor_96	a_comp_cor_97	a_comp_cor_98	a_comp_cor_99	a_comp_cor_100	a_comp_cor_101	a_comp_cor_102	a_comp_cor_103	a_comp_cor_104	a_comp_cor_105	a_comp_cor_106	a_comp_cor_107	a_comp_cor_108	a_comp_cor_109	a_comp_cor_110	a_comp_cor_111	a_comp_cor_112	a_comp_cor_113	a_comp_cor_114	a_comp_cor_115	a_comp_cor_116	a_comp_cor_117	a_comp_cor_118	a_comp_cor_119	a_comp_cor_120	a_comp_cor_121	a_comp_cor_122	a_comp_cor_123	a_comp_cor_124	a_comp_cor_125	a_comp_cor_126	a_comp_cor_127	a_comp_cor_128	a_comp_cor_129	a_comp_cor_130	a_comp_cor_131	a_comp_cor_132	a_comp_cor_133	a_comp_cor_134	a_comp_cor_135	a_comp_cor_136	a_comp_cor_137	a_comp_cor_138	a_comp_cor_139	a_comp_cor_140	a_comp_cor_141	a_comp_cor_142	a_comp_cor_143	a_comp_cor_144	a_comp_cor_145	a_comp_cor_146	a_comp_cor_147	a_comp_cor_148	a_comp_cor_149	a_comp_cor_150	a_comp_cor_151	a_comp_cor_152	a_comp_cor_153	a_comp_cor_154	a_comp_cor_155	a_comp_cor_156	a_comp_cor_157	a_comp_cor_158	a_comp_cor_159	a_comp_cor_160	a_comp_cor_161	a_comp_cor_162	a_comp_cor_163	a_comp_cor_164	a_comp_cor_165	a_comp_cor_166	a_comp_cor_167	a_comp_cor_168	a_comp_cor_169	a_comp_cor_170	a_comp_cor_171	a_comp_cor_172	a_comp_cor_173	a_comp_cor_174	a_comp_cor_175	a_comp_cor_176	a_comp_cor_177	a_comp_cor_178	a_comp_cor_179	a_comp_cor_180	a_comp_cor_181	a_comp_cor_182	a_comp_cor_183	a_comp_cor_184	a_comp_cor_185	a_comp_cor_186	a_comp_cor_187	a_comp_cor_188	a_comp_cor_189	a_comp_cor_190	a_comp_cor_191	a_comp_cor_192	a_comp_cor_193	a_comp_cor_194	a_comp_cor_195	a_comp_cor_196	a_comp_cor_197	a_comp_cor_198	a_comp_cor_199	a_comp_cor_200	a_comp_cor_201	a_comp_cor_202	a_comp_cor_203	a_comp_cor_204	a_comp_cor_205	a_comp_cor_206	a_comp_cor_207	a_comp_cor_208	a_comp_cor_209	a_comp_cor_210	a_comp_cor_211	a_comp_cor_212	a_comp_cor_213	a_comp_cor_214	a_comp_cor_215	a_comp_cor_216	a_comp_cor_217	a_comp_cor_218	a_comp_cor_219	a_comp_cor_220	a_comp_cor_221	a_comp_cor_222	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08
9327.647905240972	n/a	n/a	87005015.44414629	10071.627203834301	n/a	n/a	101437674.53301516	6826.946720299302	n/a	n/a	46607201.5218054	7167.238993394628	13327.169017635406	n/a	n/a	n/a	n/a	-0.0616370174	-0.0036916982000000003	0.06673487110000001	0.5317836947	-0.6346548516	0.0748246917	0.046096142199999995	-0.031713804	0.048876471	-0.010614776000000001	0.0205859773	-0.0248367319	0.0439318551	-0.0518428564	0.0496879655	-0.0051036052	0.0035580774	-0.0006882646	0.0486618962	-0.0037498249	0.0031568629999999998	-0.1038658809	0.032670035699999996	-0.0654465707	0.0235640734	0.0161142513	-0.0200826277	0.041198146	-0.0270404257	0.0178603801	-0.0036568453000000002	0.0689769534	-0.0031423914	0.0346374109	-0.053434965300000005	0.0238694117	-0.045809488499999995	0.0283380937	-0.0296610422	0.001555204	0.0045356134	-0.0365419611	0.0054567638	0.034070973	-0.043620877300000006	0.0945628299	-0.0317717602	0.0006381819	0.0492405749	-0.0216748882	-0.0122381511	0.0552447282	0.0363290567	-0.0217868057	0.0227557103	-0.0178826698	0.0327363957	-0.0589044284	0.0414718008	-0.1182857634	0.0673483441	0.1114267041	-0.10761684070000001	0.0223275577	-0.024983815099999997	0.07209367030000001	-0.0234812136	0.027275024100000003	-0.0048705356	0.048861226900000006	-0.12421572380000001	0.0013377614000000002	-0.0363656002	0.0318281449	-0.2100505735	0.1071767318	-0.0187957833	0.0738047716	-0.017742926000000003	0.1556585325	-0.0109651451	0.0128159169	-0.0600388855	0.13681456050000002	-0.0077902735	-0.0051174340000000006	0.0576843118	-0.0230043145	-0.0085740073	0.0897886161	0.031658392599999995	0.0090226544	-0.18886337649999999	0.1212840085	0.0039149588	-0.0785795373	-0.043097627400000005	0.0341142355	0.0521841041	0.08328846919999999	-0.0637690012	-0.0848952375	0.0375483611	0.057525007300000014	-0.10915344310000001	-0.022911808	-0.0218133009	0.0199503618	0.037712475	0.0117001518	-0.0331061431	-0.081409414	-0.020729436599999998	-0.05893810190000001	0.1119874511	0.0163297007	0.0040471011	-0.1265749057	-0.1041812786	0.0682371456	0.0649247691	0.044569549900000005	-0.142664067	-0.0573544771	0.2182635908	0.0371620294	0.0144373659	0.028202908199999998	0.008864418	-0.0892510464	-0.007249166800000002	-0.0430661887	0.0802949689	0.0148496293	0.141360187	-0.0426127485	-0.0012764998	-0.024651636499999997	-0.0533096637	0.06895290030000001	0.0188913037	0.0042602608	-0.004406653	-0.7496528817	0.3245153032	-0.114458492	0.050991141100000005	-0.0643954513	0.0188333776	-0.0365798198	-0.020628895300000002	0.0228191152	-0.0121437378	0.0606336857	-0.0513586667	0.0038438294	-0.0578985843	0.0380874812	-0.0419289261	-0.0004885083999999999	0.0017147675	-0.041183823599999995	0.08264254230000001	-0.0099038828	0.0335426952	-0.0329460202	0.0166893699	-0.0270073064	0.06709857849999999	-0.0170250416	0.014086385900000001	-0.004281355	-0.0251569875	0.0416272637	-0.0477848668	0.0211957967	-0.0703548286	-0.0343415597	0.0700485125	-0.055507045199999994	0.0183744651	0.0027088458000000004	0.0334452888	-0.025999932799999997	-0.0005674349	0.0381251194	-0.06403574349999999	-0.0205149286	0.006235259	0.0135494736	0.0146594946	-0.049194431399999995	-0.0425064412	-0.0493686734	0.055043427199999995	0.0101875356	0.0075075354	-0.0594413705	-0.0308635044	-0.0300960919	0.0369587403	0.0143591237	0.0031003162	-0.0378902631	-0.013142106899999999	-0.035944892400000004	0.042662649500000004	0.0279396529	0.0100265271	-0.0274255838	-0.049546150899999995	0.0533506028	0.015665548999999997	0.0443830432	0.0301215019	-0.0153570158	-0.005490515	-0.0047577207	-0.0373185924	0.042075786100000005	0.0058329492000000005	0.0308639363	0.0276920506	-0.0615140375	-0.0058772539000000006	-0.0431734258	0.0980552714	0.098046883	0.098032903	0.0	n/a	n/a	0.0	0.0	n/a	n/a	0.0	-0.0550554	n/a	n/a	0.00303109706916	0.0	n/a	0.0	n/a	-0.0	n/a	n/a	0.0	0.0	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9292.153415375027	-35.49448986594507	1259.8588108436772	86344115.09486578	9742.145954735895	-329.4812490984059	108557.8935074458	94909407.80337696	6825.081230216212	-1.8654900830897527	3.4800532501062142	46581733.79904965	7123.737565130571	13279.360468178556	0.998512	44.283165	0.04212323999999999	0.0293954	-0.1086522418	-0.0071484624	-0.000401415	0.18143007239999998	-0.3342871218	-0.0125702495	-0.11053195019999999	-0.0012403159	0.0575241166	0.14739770060000001	0.0686545187	0.0373442865	-0.0044925261	0.0735593137	-0.026240826000000002	-0.0721178535	-0.039037563500000004	0.0374614166	-0.0726252285	0.0418851592	-0.0047768501000000005	0.0553756995	0.0457410401	0.09885198380000004	-0.046286151399999996	0.0085275231	-0.0428694675	-0.0751389665	0.0195418541	-0.0767047256	-0.015949458899999998	-0.0642050512	0.02889335	0.048682908399999995	0.08786439230000001	-0.0570538045	0.0484601912	0.0017483983999999999	0.0320622781	-0.030385392200000007	0.0294875445	0.0650219665	-0.0709515592	-0.012820838400000001	0.0337084903	-0.15641811630000002	-0.06767947740000001	0.0142842928	-0.0881182579	-0.034081489	0.042151974800000006	-0.0867455085	-0.040685842	0.0554270804	0.079232791	-0.0073996633	0.0193196944	-0.049711993200000006	0.1059244849	0.0813898988	0.060198805599999995	0.0018161626999999999	-0.09029717	0.09948103650000001	-0.116623991	0.0426957637	0.0044145056	-0.011741749099999999	0.00849413	0.0416747953	-0.0816645299	0.1147814869	-0.0736640552	-0.11542247970000001	-0.1046587865	0.0095978455	0.0315707375	0.0354449488	-0.0678725856	-0.004214055	0.0427310121	-0.0568214303	0.0741034206	-0.0698696356	0.0278267419	-0.0612156335	0.0323984666	-0.068913882	-0.1150702129	0.0914616064	0.1381439275	0.1112370917	-0.0554052566	-0.034201528700000004	0.0315457786	-0.0163787793	-0.008935943	-0.0714529632	-0.1252863985	0.037297616400000004	0.08474555240000001	-0.0853424588	0.013519591899999999	-0.1400985176	-0.09476358539999999	0.027279702000000003	-0.041851525	0.08536847119999999	-0.0974689447	-0.0495497207	-0.0798631899	0.0200885221	0.1324185683	-0.11909022789999996	0.1350244649	-0.0359969912	-0.0387803587	-0.0537809033	0.1342311501	0.10109729769999999	-0.0154091781	-0.0875554146	0.0025680113	-0.026050173700000002	-0.0149072428	-0.0203327253	0.0329956681	-0.0826484865	-0.0754989472	-0.035092980600000004	-0.0092496288	-0.062223067699999995	0.05744745160000001	-0.1019532274	-0.0223800229	0.0430515137	-0.002738267	-0.0622341167	0.0221291566	0.0957787692	-0.0383032981	0.0802260964	-0.0022180144	-0.33095552300000003	0.1607512676	-0.0823818231	-0.13335102710000002	-0.0960180317	0.0395032082	0.032786587400000004	0.0620719113	0.0140965533	0.017153780100000002	-0.0497795007	-0.0099595638	0.020561248799999998	0.0158010001	-0.0525357778	-0.0767492543	0.0430592728	0.0145470541	0.0341577754	0.022494200899999997	0.10040054179999999	-0.0598316033	0.0566634433	-0.0369308113	0.0638457365	-0.1016902849	0.0783702667	0.0468964722	0.0129773108	0.0173566694	-0.0290773526	0.044105234800000004	-0.0350202486	0.061050263	0.041087356299999996	-0.1112524692	0.0806502838	-0.057858123399999996	-7.3962e-05	-0.11207821429999999	0.0655025983	0.0293789671	-0.0275319313	0.0568017954	0.0970064001	0.059258198099999985	0.0090060621	-0.0048029208	0.0871841084	0.0570296593	-0.0056941177	-0.0758110879	0.0460857713	-0.04727549019999999	0.08866609660000001	-0.0310650263	0.1577154317	-0.0651986273	0.0199467953	0.0044750281	0.08884457400000001	0.07779328349999999	0.0445874038	-0.0646755041	-0.0927365143	0.0090739293	0.0183127127	0.1319944476	-0.0818549807	-0.09058953199999999	-0.0169416396	-0.0100658555	0.003803375	0.0593771538	0.0427165211	0.076367298	-0.0036605303999999996	-0.08471866800000001	0.0071874728000000014	-0.01715703	0.0455236033	0.007624019	0.0801627635	0.098032903	0.09795742199999999	0.0978316635	0.0	0.0	0.0	0.0	0.00619584	0.00619584	3.83884333056e-05	3.83884333056e-05	-0.0277905	0.0272649	0.0007433747720100001	0.0007723118902499997	-0.00017325	-0.00017325	3.0015562500000003e-08	3.0015562500000003e-08	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9279.422054774377	-12.73136060065008	162.0875427437851	86107673.67063312	9616.335331886252	-125.81062284964355	15828.31282181525	92473905.21528389	6835.31332062923	10.232090413017431	104.69567422016323	46721508.19117138	7116.7431609924415	13065.2004688489	1.089713	48.327835	0.03550429	0.0229858	-0.0012603959	0.042372401500000004	0.0958344085	0.12461482199999999	-0.1233314861	-0.0145247111	0.08465682109999999	-0.10839237789999999	-0.0469583582	-0.0412577966	0.0219165856	0.01049547	-0.011705066699999999	0.09064482410000001	0.0298937388	0.048704720599999994	-0.0643228696	0.1230718605	0.012396283400000001	0.0024799878	0.0483707082	0.1524000841	-0.0516982573	0.010061371099999999	-0.008413195	0.0288802206	0.0066319764000000005	0.0737325283	0.05012495559999999	-0.0006852258	-0.081894532	0.0021926369	0.015634036599999998	-0.1110309963	0.0551806775	-0.0282879038	0.007769799	-0.06549604469999999	-0.0119155104	-0.0409176977	-0.0701051814	0.0605070443	0.0019490631	-0.08080788230000001	0.0758437623	-0.1145730217	0.1748876946	-0.0810620807	-0.0360657129	0.0584762389	-0.0168796378	0.0003794129	-0.0458285407	0.0793407164	-0.01730409	-0.0650670468	-0.0485839327	0.062305889800000014	-0.0639209395	-0.0583259148	0.1110941577	0.1554637993	-0.09183649890000001	0.0819321149	-0.012288241100000001	0.1456840834	-0.1522777794	-0.058447209000000014	-0.0047008685	0.0453421085	-0.015565751499999999	0.028601281200000002	0.1067503681	-0.0410260769	-0.045805957800000005	0.0276821482	0.00038125660000000016	-0.1396479955	-0.0393042353	-0.0558523981	0.023913173399999998	-0.0231659752	-0.049375964	-0.0183608672	0.0090982114	0.1308114501	-0.0401331573	0.0767698249	0.005389923100000001	0.0323604648	0.09626009810000001	0.0419890624	-0.0584896241	-0.0377201816	0.0385718752	0.0122695109	-0.0097253182	0.1410959718	-0.0179505423	-0.037388930699999996	-0.0033902519	0.0771697246	0.0276606891	-0.0853779763	0.08101918450000001	-0.00025035709999999997	0.1011100732	0.042442549	-0.052553600199999995	-0.008493901600000001	0.0763444226	-0.11516147369999999	-0.0231546335	-0.0224907536	0.0009922525999999999	0.0010769587	0.0670447146	0.0771419318	0.0630930141	0.1063024414	0.0197551455	-0.0340047522	-0.0515043166	0.0888805387	0.030020390600000002	0.0576173241	0.0526336638	-0.008482721	-0.025005349399999998	0.0264769903	0.1110141075	-0.0488235019	0.0099295127	-0.043435958600000005	0.0127245294	0.0030213083	0.013309631799999999	0.0019541379	-0.0091839009	-0.0791686316	-0.023766279300000002	-0.021006800099999997	-0.0661708797	-0.177729385	0.0528143405	0.0534489783	0.0821510428	-0.0672227555	-0.09888027460000001	-0.06040140030000001	-0.06480063009999999	0.08232322110000001	0.023899896	-0.026772365	0.1305646655	-0.0248603406	0.0730842199	-0.058490577099999996	0.0309855288	-0.0566929111	-0.048443319699999994	-0.0174395495	-0.0680823424	-0.005992187800000001	-0.1138834116	0.0186245927	-0.024780569199999998	-0.0147774306	-0.064760563	-0.0040228257	-0.1394019005	0.0364799483	-0.0110161095	0.0500062421	0.0137122927	-0.09933558460000001	0.1641826322	0.0006010718	-0.1156774959	0.1073299992	0.0682547257	-0.021781885	0.0113118448	-0.05775074	-0.006349138900000001	-0.0690251201	-0.00471341	-0.1060439612	-0.0456347516	0.027955784700000003	0.0326731355	0.0349262561	0.0949193566	0.1151912665	-0.0655747177	-0.051682504299999994	0.039043036	0.025817967799999997	0.1006542242	-0.0944400592	-0.0142336408	-0.022817592299999998	0.0332498029	-0.0098914831	-0.08115320849999999	0.0188170757	-0.0356734937	-0.019098857099999998	-0.0183567157	0.0222224952	-0.0279877204	-0.042863077	0.0171683179	0.019391083	-0.054626639299999995	0.1217681463	-0.012369038700000001	-0.0212551999	-0.049379840300000005	-0.10868944259999999	0.0706104981	-0.0771805526	-0.051033363	0.0565795196	-0.0446509911	-0.0155969292	0.09798817119999999	0.0977785816	0.0974295977	0.0	0.0	0.0	0.0	0.0	-0.00619584	3.83884333056e-05	0.0	-0.00714455	0.02064595	0.00042625525140249984	5.1044594702500015e-05	0.0	0.00017325	0.0	3.0015562500000003e-08	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9251.249207568675	-28.172847205702052	793.7093196758342	85585611.90054004	9554.012562089145	-62.322769797106965	3884.127635183187	91279156.03655718	6845.6866761046585	10.37335547542898	107.60650381961241	46863426.06739685	7119.474575398139	13162.35437733568	1.035094	45.905552	0.0768352015	0.0474429	0.0153090432	-0.0914612048	0.035097765	0.07091380230000001	-0.0170299555	0.0788411252	-0.011175565	0.04916088019999999	-0.0157837251	-0.0079132137	-0.1104634286	0.055296910899999996	0.0348443265	-0.06401155139999999	0.045583396	0.0305495236	0.0019263960000000001	0.08750614529999999	0.08386227480000001	0.0620440293	0.0007340853999999999	0.007588364399999999	-0.0817157357	0.0834714531	-0.08743543210000003	-0.0808088563	0.0589147877	-0.0007967723	-0.008360446700000001	-0.021793411699999998	0.0499887804	-0.1286561611	0.028719241	-0.0469643094	-0.009258561700000001	0.0105022374	0.053026045599999995	-0.09379414189999999	-0.0507266542	-0.0010857202	0.0520965255	0.0637039749	-0.143093373	0.0052766676	0.0198856678	0.026917616800000002	0.0468101322	-0.0175696387	-0.012053780900000002	0.010854972	0.12370911550000001	0.0036721209000000004	-0.0435674886	-0.0690756003	-0.0255930979	0.1026653578	-0.0675124897	-0.0111265856	-0.10088426539999999	-0.0178343145	-0.0884610774	-0.0045719456	0.0923678024	0.0812834665	0.0642812493	-0.0249789139	0.020687183	-0.0167546275	0.0319703404	0.0183824467	-0.0130342578	-0.0225752334	-0.05018916440000002	0.0323153683	-0.0979472473	0.0021886958	0.14145186070000001	0.0440196854	0.0241430677	-0.060512239599999997	0.08738835119999999	0.0432942512	0.037064648	0.0091272687	0.0919750758	0.1074473795	0.1191215994	0.0366663203	0.08536896039999999	0.06165258110000001	0.0183387505	-0.0023182796	-0.1021890022	0.0023243185	-0.1267299	-0.028976855699999998	0.10097708359999999	0.0941377696	-0.1233138042	-0.028866291699999998	-0.03446768	0.0118609714	0.0102495136	0.044539382999999995	-0.0982640272	0.0248377012	0.0029768982	-0.0110149883	0.0048992489	0.10319953429999999	-0.0502726592	-0.0334825844	-0.0773787888	0.0707781301	0.0353481743	0.149673313	0.0828291134	-0.0784094079	0.0962432949	0.0244980885	-0.0573013263	0.0307182713	0.06297875160000001	0.0684834032	-0.0656485857	-0.020000761000000002	-0.1798980689	-0.0049218453	0.0051673093	-0.0074856327000000005	0.10468238070000001	-0.08942189210000001	-0.0860489284	0.07533732650000001	0.11979742560000001	-0.0190548938	-0.0681112587	-0.1287231803	0.0087881638	-0.0907594441	-0.0988106108	-0.0316497925	0.0980114761	-0.047649997199999995	0.0447274959	0.07672714809999999	0.0564793937	0.0186984275	0.1114208524	-0.0441331816	-0.011910458799999999	0.0738134738	-0.12148510859999999	0.0086231582	0.0257996833	0.0263630311	-0.13863198640000002	-0.0389751084	-0.0105782815	-0.07156718769999999	-0.07697475549999999	0.012887318600000001	0.0054817087	-0.0002335263	-0.061186047199999996	-0.1265383676	-0.0434698892	-0.058229208899999996	-0.08561509939999999	0.049733236900000005	-0.0429954068	-0.0016289928	0.0381145157	-0.135551079	0.052481220599999996	0.0232165998	0.0513189344	0.0018403139000000002	0.036533465	0.0159880118	0.0222054646	-0.0524253934	-0.0166494913	0.0992001239	0.0533991629	0.0155757849	0.1539176939	-0.0104562762	-0.04575875099999999	-0.0516315815	-0.0846391341	0.0187438515	-0.0825525226	0.090343835	-0.047620228099999995	-0.1276678977	0.0857254562	0.052903506100000004	-0.056814214	-0.0982937225	0.056387040199999995	-0.17188065309999995	-0.0776150029	0.0399930404	-0.0654457131	-0.0310311812	-0.0407734657	0.0799696654	0.0346227027	-0.0108982414	-0.0301480921	0.046950429800000006	0.0117482776	-0.1520835284	0.008876653	-0.0788593593	-0.1341283595	0.0350438927	0.047593400599999995	0.0421997203	0.0469298268	0.0134215784	-0.1165920388	0.0777514817	0.0326707746	-0.056131589	0.0979210862	0.097510525	0.0968275308	-1.31515e-05	-1.31515e-05	1.7296195225000004e-10	1.7296195225000004e-10	-0.0044506	-0.0044506	1.980784036e-05	1.980784036e-05	-0.045878	-0.03873345	0.0015002801489024994	0.0021047908839999995	-0.000524964	-0.000524964	2.755872012960001e-07	2.755872012960001e-07	-0.0	0.0	0.0	0.0	0.000147796	0.000147796	2.1843657616000003e-08	2.1843657616000003e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9195.952523878945	-55.29668368973034	3057.72322708209	84565542.82143553	9512.030399636544	-41.98216245260119	1762.5019641965966	90478722.32360974	6836.587008821294	-9.099667283364395	82.80394466793237	46738921.92918409	7104.785268408261	13018.15382054781	0.99724	44.226746	0.04598094099	0.0300017	-0.029636646800000006	0.0023329314	-0.060287002	-0.030236047999999998	-0.0310602266	-0.0469722014	-0.0772892877	0.0798508566	-0.0493639707	0.07124983879999999	-0.013628921399999999	-0.005025699099999999	-0.046298793	0.0355424785	0.0429705469	-0.018786843	0.0021209308	0.0460582988	0.0353757543	-0.11754576130000001	0.05510509	0.0165133316	-0.0469277224	0.0603858418	-0.0728444932	-0.0124511485	0.12886992	0.023873043700000002	0.0962372574	0.0635302022	0.0267714618	0.0359729824	-0.006294239599999999	-0.08897302259999999	-0.0297989979	0.13025026509999998	0.120071673	0.0098995478	-0.0103930335	0.103408776	-0.0744207016	-0.0413384495	0.0483556129	0.0439646865	0.0819549552	0.0960263222	-0.0333973825	-0.0182125235	-0.0933662571	0.0535332771	-0.21123954820000002	0.0257551411	-0.1002526094	-0.013904916000000002	0.0676291321	0.0218302668	-0.0236949829	0.06836544530000001	-0.042204211500000005	0.06375995799999999	-0.1391900751	-0.1386479309	0.0817054495	0.030125422599999997	-0.05019771519999999	-0.0807527921	0.09739584539999999	-0.0354605582	-0.0446792862	-0.0867666973	-0.0349525498	-0.0573759093	0.0086829889	-0.09176325800000001	0.08858757960000001	0.0704049115	0.0270360305	-0.0142882352	-0.0973877604	-0.0197133278	0.0069357762	-0.0262837888	0.0592358031	0.23241425710000002	0.0301677687	-0.037766045	0.0553037743	-0.037547557	-0.041231261400000004	0.0439399379	0.0002588281	0.0256690114	0.0524245517	0.20838538339999998	0.0245366594	-0.0146255459	-0.0620021308	0.0693907755	0.1042706462	-0.0771518165	0.0420567122	0.0449330448	-0.0677280444	-0.1369884064	0.0680259976	0.0653000342	-0.05686190150000001	0.0008409110000000001	-0.0273424457	-0.019974844199999998	0.0077212036	0.0323214066	-0.005912629599999999	0.032717933500000004	0.0036138901000000003	0.0279549496	-0.0973393175	0.1824603048	-0.101244674	0.0531066255	0.025438260299999998	0.0090575149	-0.0726552962	0.0305830644	0.11101595130000001	-0.001051288	-0.0045994448	0.0170062492	0.11192271699999999	0.0084111606	0.0269111986	-0.08539091789999999	-0.0308527082	-0.0140071134	-0.0237628343	-0.0465571391	-0.0800814319	0.0264726353	0.18576684059999998	-0.0665716819	-0.0759914533	0.05935732570000001	0.0070299211	-0.0084627656	-0.0399162646	0.06391205009999999	-0.026040381499999998	0.0239710892	0.1429588109	0.0693864135	0.0398618656	-0.046823385700000004	-0.0970826256	0.0440359663	0.0428468667	-0.0029247996000000003	-0.0715474204	-0.09889655369999999	-0.014800256299999997	0.0707090082	0.0941717393	-0.0626687165	0.0055105023	-0.0436277205	-0.030318384	-0.0738421104	0.0937135949	0.11000054320000001	-0.0759496145	-0.072835469	0.09027521570000001	-0.0106720032	-0.066241078	-0.1115707344	-0.0661370518	0.0665907157	-0.0631011538	0.0813469211	0.0403249595	0.011067895900000001	0.0343482925	0.0942899703	0.1096335183	-0.1910135625	-0.12018816310000001	-0.1327771576	0.0611728667	0.0225248219	-0.1013304049	0.0516447984	0.052368558600000004	0.0326929003	-0.0869085402	-0.0324219852	-0.059487620899999996	0.0001513078	-0.0199471846	0.025275903	0.1826565735	0.025651102599999996	-0.1327763691	0.0193388788	0.0028697805	-0.023546069300000003	0.014856876399999996	-0.07943953150000001	0.0317688211	-0.066234942	-0.0454367614	0.003933756	0.0588957145	0.0198910945	-0.0095544884	0.054650553899999996	-0.0955510936	0.0848622426	-0.09011548259999999	-0.1266329547	-0.0672266353	0.0902249771	-0.0661737555	0.0332826232	-0.0828227451	-0.0558604071	0.0816795614	-0.0579867938	0.0978316635	0.0971534967	0.09602669890000001	-1.91051e-06	1.1240989999999999e-05	1.263598561801e-10	3.650048460099999e-12	0.0224598	0.0269104	0.0007241696281599999	0.00050444261604	-0.0419781	0.003899899999999998	1.5209220009999984e-05	0.00176216087961	-0.00079792	-0.000272956	6.366763264000001e-07	7.450497793600001e-08	-0.0	0.0	0.0	0.0	0.000117564	-3.0232000000000005e-05	9.139738240000002e-10	1.3821294096e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
