global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	a_comp_cor_85	a_comp_cor_86	a_comp_cor_87	a_comp_cor_88	a_comp_cor_89	a_comp_cor_90	a_comp_cor_91	a_comp_cor_92	a_comp_cor_93	a_comp_cor_94	a_comp_cor_95	a_comp_cor_96	a_comp_cor_97	a_comp_cor_98	a_comp_cor_99	a_comp_cor_100	a_comp_cor_101	a_comp_cor_102	a_comp_cor_103	a_comp_cor_104	a_comp_cor_105	a_comp_cor_106	a_comp_cor_107	a_comp_cor_108	a_comp_cor_109	a_comp_cor_110	a_comp_cor_111	a_comp_cor_112	a_comp_cor_113	a_comp_cor_114	a_comp_cor_115	a_comp_cor_116	a_comp_cor_117	a_comp_cor_118	a_comp_cor_119	a_comp_cor_120	a_comp_cor_121	a_comp_cor_122	a_comp_cor_123	a_comp_cor_124	a_comp_cor_125	a_comp_cor_126	a_comp_cor_127	a_comp_cor_128	a_comp_cor_129	a_comp_cor_130	a_comp_cor_131	a_comp_cor_132	a_comp_cor_133	a_comp_cor_134	a_comp_cor_135	a_comp_cor_136	a_comp_cor_137	a_comp_cor_138	a_comp_cor_139	a_comp_cor_140	a_comp_cor_141	a_comp_cor_142	a_comp_cor_143	a_comp_cor_144	a_comp_cor_145	a_comp_cor_146	a_comp_cor_147	a_comp_cor_148	a_comp_cor_149	a_comp_cor_150	a_comp_cor_151	a_comp_cor_152	a_comp_cor_153	a_comp_cor_154	a_comp_cor_155	a_comp_cor_156	a_comp_cor_157	a_comp_cor_158	a_comp_cor_159	a_comp_cor_160	a_comp_cor_161	a_comp_cor_162	a_comp_cor_163	a_comp_cor_164	a_comp_cor_165	a_comp_cor_166	a_comp_cor_167	a_comp_cor_168	a_comp_cor_169	a_comp_cor_170	a_comp_cor_171	a_comp_cor_172	a_comp_cor_173	a_comp_cor_174	a_comp_cor_175	a_comp_cor_176	a_comp_cor_177	a_comp_cor_178	a_comp_cor_179	a_comp_cor_180	a_comp_cor_181	a_comp_cor_182	a_comp_cor_183	a_comp_cor_184	a_comp_cor_185	a_comp_cor_186	a_comp_cor_187	a_comp_cor_188	a_comp_cor_189	a_comp_cor_190	a_comp_cor_191	a_comp_cor_192	a_comp_cor_193	a_comp_cor_194	a_comp_cor_195	a_comp_cor_196	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02
9481.646568129656	n/a	n/a	89901621.64292488	11028.112574084738	n/a	n/a	121619266.94668593	6424.8873216221655	n/a	41279177.09554125	n/a	6623.738147389191	13264.799670201664	n/a	n/a	n/a	n/a	0.0853404692	-0.11833356939999999	0.1065430433	-0.0937834921	0.1023679724	0.6341861303	-0.11435345539999996	0.17202987879999998	-0.0884665332	0.033448026299999996	-0.2037728698	0.1144828798	-0.24605227940000002	0.006995556700000001	-0.1386496431	0.0029307909000000003	-0.0342972318	0.0537186651	-0.024731907	0.0278112025	-0.0936236486	0.0116909199	-0.0050361888	0.0156300856	-0.06232879230000001	0.0527001048	-0.0279299155	0.0469294012	-0.030505616	-0.0171471542	0.0484478441	-0.057461065599999986	0.0196387042	-0.011425369599999999	0.0747223036	-0.012778341100000002	0.10833880800000001	0.0733453238	-0.0094252423	0.0205690561	-0.0044275567	0.1591380783	-0.024248852799999998	0.1089776806	-0.0750059173	0.0489159697	-0.0224219091	0.0286271324	-0.0664970909	0.0771200204	-0.0194988716	0.0556438832	-0.039790793399999996	0.0273666041	0.0017259166	-0.056036824000000006	0.0841273332	-0.0023008631	0.11629903650000001	-0.0917749873	0.009080609	-0.04379436900000002	0.0029371302	-0.1346998408	0.0675913118	-0.011408393999999999	0.15881131310000002	-0.0470644028	0.0423441543	-0.1143350304	0.037182239900000004	0.0290981441	-0.0782617652	0.10598723869999999	0.08847601599999999	-0.010428697399999999	-0.0166037651	0.0713142401	0.0752163089	-0.0539616128	-0.0492316973	0.0850902317	0.0397587688	-0.0400498397	-0.0270542277	-0.011448577	-0.09327717599999999	0.09133286439999999	-0.0280921742	-0.026634575499999997	-0.0752583562	0.0353076435	0.1171114361	0.0946301298	-0.1183629978	-0.027484386200000002	-0.0277333383	0.051864985599999996	0.0161717143	0.0286717979	-0.05569457059999999	-0.030486590299999998	-0.026462049100000003	0.0760274483	0.0172677855	0.1318120018	-0.011933168000000001	-0.0637118837	-0.0535179383	-0.1928026116	0.0740068707	0.0112118867	-0.0566678635	-0.0010038180999999999	-0.0106800295	-0.1050478936	-0.02791344	0.06169424690000001	0.081528109	0.0306377152	-0.017915304099999998	0.1795458415	-0.0030312711	0.0923009794	0.1312487023	-0.23073903559999998	0.15306600210000001	-0.036199206	0.1229180677	-0.22983990350000005	0.22047991109999998	-0.2399787868	-0.347464851	0.21120805980000001	-0.049042297	0.1490571983	-0.08064712639999999	0.09147551050000001	-0.0659166502	0.0058669178	-0.0408630703	-0.055382401	0.062215450199999994	-0.004158827800000001	0.0331886096	-0.0097819989	0.0243772928	-0.13891858740000002	0.0557501633	-0.0051571871	0.048545653099999996	-0.1399644575	0.0791380819	-0.0595461909	0.0410048721	-0.0271933624	0.1289314609	-0.060996022699999985	0.0307006704	0.0348776694	-0.0584464312	0.0029379151	0.0297669606	0.0403095922	-0.0615669245	0.073109203	0.005541116800000001	0.083479565	-0.0120758661	-0.0348490779	-0.09014982630000001	0.08521658539999999	0.0834668286	-0.025673476400000003	-0.0780741512	0.0173472161	0.050394933200000006	0.0023013115	0.028077940899999997	-0.0454099796	-0.0668956002	0.0525151533	0.0145970774	0.0036630281	-0.077965665	-0.0154721923	-0.0188742625	0.1005449893	0.0209809317	-0.06542462809999999	-0.02770999	-0.0368717641	-0.0661977951	0.06759773549999999	0.017094857800000002	-0.08590838880000001	-0.040679993500000004	-0.015976085600000002	-0.0235952866	-0.1037293044	0.0124057257	0.037711495899999996	0.0980552714	0.098046883	0.098032903	0.0	n/a	n/a	0.0	0.08692310000000003	n/a	0.007555625313610003	n/a	0.046143800000000006	n/a	0.0021292502784400007	n/a	-0.00183701	n/a	3.3746057401e-06	n/a	-0.0	n/a	n/a	0.0	0.0	n/a	n/a	0.0	0.0	0.0	0.0
9413.621905323631	-68.02466280602493	4627.3547498733915	88616277.3763889	10738.856367487404	-289.2562065973343	83669.15305507975	115323036.08152476	6427.627353167348	2.7400315451823185	41314393.39118508	7.5077728685942065	6608.738345872695	13090.117278979646	1.042629	42.139198	0.02504690000000001	0.0237585	0.0958007709	-0.1262576709	0.10298094619999999	-0.0989389638	0.052649233899999995	0.3305396391	-0.0194999962	0.11140698439999999	-0.11827330679999999	-0.0967515115	-0.0713699352	0.0394838699	-0.0236939874	0.014849635900000003	-0.0014685473	-0.0296085518	-0.0097912454	-0.0710582265	0.05887546	0.0297051469	-0.0190909148	-0.0457826979	-0.0389199168	0.0910028202	0.0407490982	-0.0491862384	0.037126789900000005	0.0164836628	0.0603311153	-0.0810230229	-0.0602416166	0.0187517071	-0.0066093072	0.0211401211	0.057911238399999995	0.1426232996	-0.1063234741	0.0299633892	-0.0756455584	0.057931262000000004	-0.0697862683	0.133518408	0.0279319613	0.0427847287	0.0027320507	0.1193951582	-0.0612695112	-0.085113077	-0.030798792000000002	-0.0263078015	0.0553431193	-0.032369656600000005	-0.0564899824	0.052150825899999996	-0.0619273271	-0.040350291	0.0707898254	0.0593470554	0.0613597586	0.1005705959	-0.0083618073	0.10041135289999999	0.0586022721	0.0178094192	-0.0804426939	0.0104846049	0.11396133650000001	-0.0122010249	0.031190206600000006	-0.0190698674	-0.0086136923	-0.1575551158	-0.032376552	0.10414104449999999	-0.0288164936	0.0692322714	-0.0375780951	-0.0414838103	0.0331486025	-0.1104254661	-0.042132402699999995	-0.0947938936	-0.0143889155	0.1524001183	-0.0515459156	0.0657605392	0.0501090433	0.0256630135	0.0743409413	0.14013540130000002	-0.062067320599999996	0.1202354815	-0.0290014776	-0.055221502699999994	0.0396828092	0.017879945300000002	-0.0612106242	0.0061718977	0.0542399987	-0.0634735528	-0.0100187695	0.05112211059999999	-0.043624616	-0.0633118609	-0.041207938799999996	0.0349052854	-0.0350590563	0.090820896	0.0773276821	0.0490526018	0.0104121923	0.0793015772	-0.0210709155	0.050246413499999996	-0.0369856796	-0.0316902856	0.0632343734	0.11968250949999999	0.0666176684	0.1818153666	-0.038063730899999995	0.1333586622	-0.0762303874	0.1150699595	0.040886223	-0.1478528475	0.078014746	0.087807107	0.1025631628	-0.1243097884	0.11696494550000001	-0.025406991400000002	-0.1342710993	0.050783952599999994	0.060685768499999994	0.043664406399999994	-0.0757382362	0.0275049191	-0.0807148876	-0.0019529156	0.0909538683	-0.0796175242	0.060828941500000004	-0.0907982886	0.006091095899999999	0.1347323374	0.09930512890000001	-0.0286853756	-0.0224107759	-0.0057738244	-0.1291142403	0.0498109482	-0.0215825882	0.0379207907	0.0408885716	-0.0311902543	-0.0750619101	0.060742358600000004	0.0698137099	-0.0240194006	0.018466175	-0.0315830312	0.0232122517	-0.0916944808	0.009166828	-0.0190603478	-0.0022404004999999998	-0.0639816392	0.054771927000000005	-0.0694448739	-0.032412502200000005	0.0444374076	-0.1717597507	0.0821210122	-0.0139350217	-0.0554660902	-0.0403086503	-0.009475696700000001	0.0168231496	0.0572132813	0.0584437809	-0.102220274	0.031613086	-0.0456732249	0.024291242200000004	-0.0867482904	0.1501562403	-0.0609931189	-0.1047331451	0.049812910099999996	-0.0020179621	0.0565060285	0.0688172978	-0.0169688799	0.0695946449	0.0938583689	0.06131765700000001	0.1441879469	-0.17611054980000002	-0.10335621539999999	-0.0512474496	0.0030138641	0.098032903	0.09795742199999999	0.0978316635	0.0	0.0	0.0	0.0	0.0632015	-0.023721600000000027	0.003994429602249999	0.0005627143065600012	0.0448185	-0.0013253000000000086	0.00200869794225	1.7564200900000225e-06	-0.00183701	0.0	3.3746057401e-06	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9381.832392265344	-31.78951305828741	1010.573140483026	88018779.03655925	10578.685607551746	-160.17075993565774	25654.672338366112	111908589.18342246	6426.9265862263255	-0.7007669410222661	41305385.34474277	0.4910743056297042	6597.790979277804	12856.049294863626	1.048739	42.386154	0.0299098101645	0.0215064	0.11197452599999999	-0.11927764800000001	0.1356016065	-0.054169796299999996	0.0643221708	0.1378370258	0.0866317907	0.10973810710000001	-0.1076465223	0.0245265842	-0.06082694690000001	0.0130183928	0.0867401669	-0.040563126	-0.059356993499999997	0.0827799284	0.0183692775	-0.0745250565	-0.030550977799999997	0.1129608702	-0.0187212834	0.18353564579999998	-0.0575415099	0.0160017878	0.1490734627	0.10615324599999999	-0.0646062612	-0.0288234465	-0.0353268687	0.039089564	0.0412972996	0.1129574927	-0.0590565784	-0.0176638468	-0.0784871815	-0.105685376	0.1490693088	0.0128324535	-0.0709565978	0.0593167553	-0.0437782467	0.174381681	-0.027701599500000004	0.0391050684	-0.100308665	0.1216742801	-0.10601841210000001	0.06935563019999999	0.021019765299999996	-0.0114002694	-0.0052185245	-0.1202491497	-0.0395622407	-0.0411819145	0.08938483789999999	-0.0585547412	-0.055193987300000004	0.050373186699999996	0.0528781688	-0.0857243393	0.1498226567	0.0768481536	0.0978642348	-0.11516768210000004	-0.0659011731	-0.013499662800000001	-0.0497052806	-0.0351281554	-0.05824575780000001	0.142181884	-0.0416277184	-0.025449859	0.10780582050000001	-0.12159765130000001	-0.0077487542	0.099671732	-0.0247284314	-0.0611239432	-0.0048685725	0.0646409962	0.026033154	-0.07715809929999999	-0.0119145504	0.0321558683	0.1115252184	0.0475945492	0.1634928403	-0.0995872592	-0.0054751437	-0.006282085400000001	0.0092541685	0.12965640539999998	-0.056174061	-0.0008211073	-0.0605586933	-0.031126945099999997	0.0928706179	0.07178567940000001	0.023457269300000003	-0.0245963592	0.0448317249	0.0961397874	-0.1329044957	0.09037752060000001	-0.06278689700000001	-0.11356522320000001	0.0129975415	-0.08603750339999999	-0.0523027	0.0040838665	0.0538395149	0.010456869	0.005764533499999999	-0.0772905353	0.0413267817	-0.011678480900000001	0.0771931475	-0.052520724000000005	-0.0256793739	0.000319999	-0.0736281026	0.1055188477	-0.059208403300000004	0.0968065458	0.0250563932	-0.06421582599999999	0.1662506092	0.012304321299999999	0.0546493327	-0.07885194940000001	-0.1114547713	0.0108249492	-0.1229230853	0.045452096500000004	0.035097226	0.0373651599	-0.0220709488	-0.017116538100000002	0.11344788539999999	0.1127739451	0.0350579832	-0.02434095	-0.0633543478	-0.0452103525	0.0732042217	0.0566281662	-0.1664116414	0.0233029416	-0.0769403743	0.0550872925	-0.0511749822	0.0802992163	-0.1473400804	0.028035981499999998	0.0033280006	0.081535585	-0.0933795134	0.04881515980000002	0.0170079294	-0.0721168816	0.1830892568	-0.0087953665	-0.0286309781	0.037561715	0.0417479419	-0.0637872251	0.1734245278	-0.1249976602	0.0722792125	-0.0061238092	0.0443816892	-0.1158994944	0.08754083289999999	0.0315785685	0.0544673433	-0.0067569363	-0.0284621221	-0.0980443159	-0.0172772623	-0.023883684500000002	-0.0605274108	-0.0068721228	-0.122579102	0.048927194400000006	-0.0256778091	0.09566564300000001	-0.0418844223	-0.1136350373	0.0632105909	-0.0137512498	0.0683204392	0.0999740006	0.0842796079	0.0105151401	0.0411892572	0.0719553117	0.0346272881	-0.0044056684	0.1215554417	-0.0252494788	0.033182148	0.0833368449	0.09798817119999999	0.0977785816	0.0974295977	1.01645e-08	1.01645e-08	1.0331706025000001e-16	1.0331706025000001e-16	0.0833036	0.020102100000000008	0.006939489772960001	0.0004040944244100005	0.0420043	-0.0028141999999999963	0.0017643612184899998	7.919721639999977e-06	-0.00197688	-0.00013986999999999984	3.9080545344e-06	1.9563616899999955e-08	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9442.056914351668	60.224522086324214	3626.993060526153	89152438.77385613	10524.14260114628	-54.543006405467175	2974.9395477468324	110757577.48926196	6451.896498561848	24.96991233552217	41626968.42815463	623.4965220436621	6615.4306936265575	12910.440434961029	1.0261129999999998	41.47171	0.07667691352709999	0.056158800000000016	0.1036637692	-0.091687669	0.1335836144	-0.0511402482	0.0901795299	0.1374648664	0.0278858878	0.1274921414	0.0410489588	0.0627857384	-0.0063712013	-0.08050989	0.068261298	0.05439755860000002	0.0214567641	0.0251763547	0.0249051304	0.080145606	0.0487773363	-0.0476062283	-0.013152146100000001	-0.0526515113	-0.0706455546	0.0914077875	-0.0546067582	-0.046528474699999996	0.0457274274	0.0192124121	-0.0375502012	0.0258596883	-0.0212835773	0.039352602599999995	0.0219845473	0.0146553924	-0.0093351004	0.026382282799999997	-0.0247271508	0.0133078175	-0.044540008	-0.0441121286	-0.0376671297	0.11317929339999999	0.0169489071	0.0700755178	-0.1094154199	0.012780324099999999	-0.0521102228	-0.09138446800000001	-0.08059164740000001	-0.0329145704	-0.0409822247	0.0074857345999999984	-0.0109201699	0.0784379904	0.0090132357	-0.10800475890000001	0.025536772599999997	0.0141824868	0.1200741211	0.0035790596999999997	0.023287339700000003	-0.0365636438	0.0948114946	-0.0112132676	-0.055782500199999994	-0.07293355879999999	0.060652925199999985	0.022604848700000003	-0.1114253451	-0.1086624496	0.025953967799999998	0.0156933639	-0.1268794885	-0.1218935875	0.0334133022	0.1313051581	-0.1345109928	-0.1796635316	0.10269385800000001	0.0518111067	0.0348923525	-0.031001987400000007	0.06347861269999999	-0.0039828064	-0.1479008278	-0.052484341100000005	-0.06238260480000001	-0.0143515993	0.0869735567	-0.0738355654	-0.0440855009	0.0329496831	-0.08683372789999999	-0.0703797559	0.0870341826	0.005078223	0.0609374376	0.1313938148	-0.013952908899999998	0.0450046389	-0.0051987885999999995	-0.1249663883	0.0062369871	0.0292091308	0.0683848738	-0.0736591475	0.1222980481	0.09824442609999999	-0.060420549000000004	-0.022217210499999997	-0.0353787041	0.1057193622	0.0460944958	0.010828233500000001	0.0097350431	-0.0416355699	-0.0399832852	-0.0412369634	-0.0151507842	-0.1169311257	0.052121626	0.088364742	-0.0226871781	0.061264158099999994	0.1050783175	-0.07829161009999999	0.040544893	-0.079621175	0.0143699477	-0.1413626452	0.0972670854	0.0264004326	-0.026822625200000002	-0.0090738449	0.040539461299999996	-0.0048943271	0.0046973011	0.0334256489	-0.0140613387	-0.006572358299999999	0.0780708601	0.0035846685	-0.044852431799999995	0.031910121	-0.0536786521	0.0592580886	-0.018571699	0.056996734800000004	0.0363243987	-0.0697004878	0.031582661	0.0053224391000000005	0.0104819163	-0.0834943426	-0.0170207061	-0.1317981637	-0.1144079293	-0.020632271100000002	-0.0750338925	-0.0508583258	0.0866324226	0.0171638145	-0.13253891880000002	-0.018725055600000002	-0.0687267321	-0.0792551289	-0.1556883613	0.0077213994	-0.0413450048	0.0796451847	0.0097013481	-0.0674565222	-0.0099780609	-0.1164660003	0.1899411896	0.07919771639999999	-0.0385835452	0.022021918199999997	0.0175633749	0.054755447699999994	0.0810106553	0.0349509349	-0.0372048979	0.0943481383	0.041589918999999996	0.0316621598	-0.0327339225	-0.0702520767	0.007049643	0.2361019743	0.0098910729	-0.0049735856	-0.0218312029	0.0359341829	-0.0365604397	-0.0485366141	-0.0655869902	0.0609559104	0.088324184	0.0650525269	0.04472224599999999	-0.0966110825	0.0979210862	0.097510525	0.0968275308	2.36916e-08	1.3527099999999996e-08	1.8298243440999998e-16	5.6129191056e-16	0.133177	0.049873399999999984	0.017736113329	0.0024873560275599986	0.042993300000000005	0.0009890000000000038	0.0018484238448900005	9.781210000000074e-07	-0.00249317	-0.00051629	6.2158966488999985e-06	2.665553641e-07	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9464.661721312526	22.604806960858692	510.9772977376857	89579821.49887858	10531.29829689669	7.155695750410813	51.203981672447384	110908243.81821913	6460.3458336062085	8.44933504436085	41736068.289793104	71.39126269186437	6619.207697526224	13143.776875343086	0.991003	40.052685	0.10125203628739997	0.0688449	0.0516402274	-0.08461128119999999	0.1159088527	-0.07890322129999999	0.0568124222	0.1021495536	0.0152360003	0.051833110099999996	-0.0132806534	-0.0857608633	0.042844915	-0.0875581425	0.1287321225	0.0442812411	-0.0303353594	0.0308743033	-0.0240305993	-0.0329607218	-0.059347110599999996	0.015381499299999999	-0.055792480199999994	0.0270253243	0.035993554500000004	-0.044727456500000005	0.0135799254	-0.1270271226	0.0096391919	-0.0193608524	0.0726634814	-0.0498892354	0.0184135293	-0.0334412577	-0.08961295	0.1689994757	-0.0043201815	-0.0357474513	-0.10438834179999999	-0.0204777945	-0.1117443469	-0.0320690029	-0.0507758379	0.1212096638	0.04670856599999999	0.050145623099999995	0.0607047429	0.024264607	-0.0740691438	-0.06577177349999999	0.0032028681	0.0417793502	0.0050657055999999995	0.049703067999999996	-0.0658677228	-0.10207116890000001	-0.0350760838	0.0090217775	-0.0028116322999999998	0.0401901215	-0.009244054	0.0239801885	-0.05450868	-0.0434928508	0.0569436284	0.0009967945	-0.055602571100000005	-0.0266812365	0.0552352179	0.0846975195	-0.056956036900000014	0.1088722994	0.045164951200000004	-0.0821033667	-0.0201172055	-0.0692413588	-0.0980128777	0.0563884632	0.040135049900000004	0.0445943268	0.1002446708	-0.055531120700000006	0.010397591099999999	-0.0244108515	-0.0410103321	-0.2431337017	-0.1048786318	0.10380850609999999	-0.0064502644999999996	0.0147726068	-0.0852307305	-0.062052255099999995	0.0034279977	0.0472314951	-0.035058149	-0.0423177178	0.09626273130000004	0.0479073435	-0.1079316089	-0.0482831308	0.14243531140000001	0.0810310757	-0.0875398701	-0.0229856791	-0.05801432240000001	0.0231045279	-0.000441831	0.0889962026	-0.0969609199	-0.028431141099999998	-0.10806633980000001	0.0023291447	-0.0721298566	0.1064994367	-0.0040830486	0.11346869220000001	0.0058458377	0.0543751378	-0.1190016638	-0.06508754259999999	-0.0010453342	-0.0236814925	0.0735134554	0.0755124135	-0.10003981769999999	0.0618067676	0.06730392589999999	-0.0405844163	-0.0171292286	0.0950574276	-0.0161769124	-0.07929209570000001	-0.0312860165	0.0835943463	0.018883517	-0.017426335600000002	-0.0689790637	0.025641203799999998	-0.0426498836	0.0552877291	-0.0045551085	0.0647759482	0.0019213059	0.0022398495	0.061373062699999995	-0.0012373217999999998	0.0032640728	-0.036612391200000004	0.0484966208	0.0214580244	-0.0529401688	-0.07183479400000001	0.0707582719	0.0363139479	-0.0495136847	0.010542351200000001	-0.0367929183	-0.046963936399999996	-0.0605144079	0.10231811910000001	0.0028580645	0.023360711	0.0129598693	0.11803336560000001	-0.1507183354	0.018273402299999998	0.0474868321	0.279450889	0.1264190844	-0.06415617679999999	-0.045290460899999996	0.0077613268	0.0806254223	0.0198621014	-0.0319203798	0.010283668499999999	0.021315679	0.0397023755	-0.0034266434	0.0149899209	-0.0516083325	0.0222669857	0.1488864084	0.0434501637	0.0802390479	-0.0065230327000000005	-0.0349378688	0.0191317346	0.10731591039999999	-0.0891594108	-0.0391909351	0.0554709617	0.0865970445	0.0247104894	-0.0690573546	0.0222155909	0.0577446603	-0.038054021699999996	0.11005880009999999	0.0028744763	-0.03507113	0.1867451037	0.04553959849999999	-0.1022570644	0.0978316635	0.0971534967	0.09602669890000001	-1.25958e-08	-3.62874e-08	1.31677539876e-15	1.5865417764e-16	0.07629719999999998	-0.056879800000000015	0.005821262727839997	0.0032353116480400013	0.0371101	-0.005883200000000005	0.00137715952201	3.461204224000006e-05	-0.00172339	0.0007697799999999999	2.9700730921e-06	5.925612483999997e-07	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
