global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	a_comp_cor_85	a_comp_cor_86	a_comp_cor_87	a_comp_cor_88	a_comp_cor_89	a_comp_cor_90	a_comp_cor_91	a_comp_cor_92	a_comp_cor_93	a_comp_cor_94	a_comp_cor_95	a_comp_cor_96	a_comp_cor_97	a_comp_cor_98	a_comp_cor_99	a_comp_cor_100	a_comp_cor_101	a_comp_cor_102	a_comp_cor_103	a_comp_cor_104	a_comp_cor_105	a_comp_cor_106	a_comp_cor_107	a_comp_cor_108	a_comp_cor_109	a_comp_cor_110	a_comp_cor_111	a_comp_cor_112	a_comp_cor_113	a_comp_cor_114	a_comp_cor_115	a_comp_cor_116	a_comp_cor_117	a_comp_cor_118	a_comp_cor_119	a_comp_cor_120	a_comp_cor_121	a_comp_cor_122	a_comp_cor_123	a_comp_cor_124	a_comp_cor_125	a_comp_cor_126	a_comp_cor_127	a_comp_cor_128	a_comp_cor_129	a_comp_cor_130	a_comp_cor_131	a_comp_cor_132	a_comp_cor_133	a_comp_cor_134	a_comp_cor_135	a_comp_cor_136	a_comp_cor_137	a_comp_cor_138	a_comp_cor_139	a_comp_cor_140	a_comp_cor_141	a_comp_cor_142	a_comp_cor_143	a_comp_cor_144	a_comp_cor_145	a_comp_cor_146	a_comp_cor_147	a_comp_cor_148	a_comp_cor_149	a_comp_cor_150	a_comp_cor_151	a_comp_cor_152	a_comp_cor_153	a_comp_cor_154	a_comp_cor_155	a_comp_cor_156	a_comp_cor_157	a_comp_cor_158	a_comp_cor_159	a_comp_cor_160	a_comp_cor_161	a_comp_cor_162	a_comp_cor_163	a_comp_cor_164	a_comp_cor_165	a_comp_cor_166	a_comp_cor_167	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13
8716.987186295797	n/a	n/a	75985865.60604511	11424.20980881239	n/a	130512569.7557652	n/a	6280.772777056201	n/a	n/a	39448106.67701027	6389.951896217149	11221.625257272404	n/a	n/a	n/a	n/a	-0.039111732	0.0446305984	-0.1315205249	0.1038234024	0.4607200838	-0.1489376077	0.0413433686	-0.0092159308	0.09312289689999999	-0.0070226815	0.0706208245	-0.0426852703	0.2662796639	-0.0433729176	0.0535217194	-0.014257470900000001	0.1599336758	-0.0009070517	-0.0044009367	0.025423039100000003	0.026328894199999998	-0.1174643256	0.045513784	-0.09267573949999999	0.028858074900000006	-0.0283805215	0.1648236391	-0.1056643709	0.0406274004	0.0168894951	-0.2001524877	0.0495501879	-0.1092518517	0.0722637523	-0.0145856907	0.0611932297	-0.0048194286	0.0189268519	-0.09335950859999999	0.0131876101	-0.0705962504	0.20994186550000002	-0.0912711052	0.0593643606	-0.0132932822	0.0159310007	-0.0534687484	0.035937427	-0.0318311041	0.17768155149999998	-0.036235929	0.033456575499999995	-0.0190157305	0.1287974237	-0.1266898131	0.0757482808	-0.0332921498	0.017761363	0.0696012044	-0.05173885860000002	0.0560657325	0.0825114921	-0.009520939	-0.036120811	0.0486812832	-0.1014374514	-0.00462268	-0.0110533969	0.0786663027	0.0029488287	0.0034907048999999997	0.0363386654	-0.0179370462	-0.0277818919	-0.147749165	0.09294456640000001	0.0422690607	-0.0770667694	-0.0551297129	-0.0446610907	-0.0331959411	0.1167874617	0.1117215924	-0.1482967234	-0.0977956542	0.1097947006	0.058832299500000004	0.025761152000000002	0.1572980437	-0.074277621	-0.0169367311	-0.097632771	0.064207572	0.10634155949999999	0.0659270335	-0.0254006866	-0.11561393199999999	0.0760418323	-0.1632894512	0.06351100900000001	-0.2515323103	0.1312456454	-0.11108652050000001	0.1193814113	-0.142983849	0.2493778665	-0.0984076944	0.23803819920000002	-0.0639606108	0.0202036307	-0.0413680273	0.027646232200000002	-0.1124248322	0.1226809424	-0.0473079663	0.1478130449	-0.1382957923	0.1215425105	-0.0862026241	0.0018861307999999998	0.0850660335	-0.194765413	0.0085690759	-0.0674675554	0.0118679082	-0.035015326299999996	0.12846522929999998	-0.0304751188	0.1433214527	-0.014127296499999999	0.050324095	-0.082143653	0.0693109242	-0.0351976626	0.0889342647	-0.0979746233	0.06181962730000001	-0.0366306982	-0.0385056411	0.037257220699999996	0.0328855367	0.0110565499	-0.0316705875	-0.08407621970000001	0.071541404	0.0036596669	-0.031305420099999995	-0.0359767115	0.1067474224	0.160681388	-0.09153108880000001	-0.034103697	-0.0457432713	0.0607005334	0.1500968047	-0.023768296600000002	-0.0118075093	-0.013504376799999999	-0.0804968108	-0.0643096798	0.1591338876	-0.0626681225	-0.0903160838	-0.0135208657	-0.1321623528	0.0901770422	0.01652022	0.0576701362	-0.0723063169	-0.0184605679	-0.0121272345	0.0481449122	0.0980552714	0.098046883	0.098032903	-0.000455963	n/a	2.0790225736900004e-07	n/a	-0.00383782	n/a	n/a	1.47288623524e-05	0.07446799999999999	n/a	0.005545483023999999	n/a	0.000191127	n/a	n/a	3.6529530129e-08	0.000396457	n/a	n/a	1.5717815284899994e-07	-1.3234899999999996e-23	n/a	1.751625780099999e-46	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8669.84581698504	-47.141369310757	2222.3087004931813	75166226.49029301	11094.291330731436	-329.91847808095366	123083300.13114268	108846.20217925274	6276.195774634283	-4.577002421918223	20.94895117024528	39390633.40153723	6369.228338598223	10950.66067280908	1.015592	39.964233	0.044334272999999993	0.0218026	-0.0277965225	0.07853590889999999	-0.09828752130000001	0.0229374016	0.2211164186	-0.0499523646	0.1515194059	-0.0300201654	0.044126438600000005	0.0187259774	0.0368843584	0.010526540400000001	0.2160571814	-0.048022168399999995	0.027031735699999997	-0.0433699161	0.07486164320000001	0.031284901600000005	0.033717534	-0.0398414862	0.0210399288	-0.0990050619	0.0551492429	-0.0709902177	0.0188879721	-0.03636549	0.09512649810000001	-0.033419488	-0.052800935	-0.025075999300000002	-0.1441517017	0.0638393085	-0.1081992978	0.09613719650000001	-0.0007634817	0.1390874049	-0.023497941600000002	-0.0371959485	-0.0468758168	0.1155181567	-0.0654832777	0.0781191222	-0.0301517918	0.0003592856	0.0843499482	0.07282838230000001	0.0511932896	0.1882430307	-0.079437397	0.0531531812	-0.13480192	0.0171358818	-0.0439399528	-0.0404875099	0.003841858	-0.0342416169	-0.1118529712	0.06207755650000001	-0.0772808744	0.0163567902	-0.0196463033	0.06652027070000001	0.0045213783	-0.037803977	0.1054546905	0.07939522519999999	0.1014565319	0.054523402699999994	-0.1995831156	-0.0387230364	0.0961999518	0.0548191985	-0.048105636900000005	-0.0172361773	0.0907039769	0.12176746	0.0109660321	0.0749821549	0.0963409457	0.1098366658	-0.016387538899999998	0.05707148860000001	-0.0296453675	-0.0163327263	-0.0326298635	0.016924393899999998	-0.0178080647	-0.0037977476	0.056080871799999994	-0.0105721448	-0.0648253994	0.037364789700000005	-0.027190064700000002	-0.0614371596	-0.059838117300000014	0.0017102828	0.0122071754	0.045913000700000005	-0.119827121	0.0657178778	-0.1198856848	0.007480064200000002	0.0106376804	0.0799695714	-0.0913171002	0.2115270357	-0.0386065569	0.17386773190000002	-0.0673806198	-0.0001734204	-0.051626857400000004	-0.0160367465	-0.0898477452	0.0950097966	-0.0351500759	0.12043009619999999	-0.0156751048	-0.054872140599999994	0.0242720219	0.049397079100000005	0.012170490400000001	-0.09528848289999996	0.0254391056	-0.0299291029	-0.09523897419999999	0.1277317272	0.043693025499999996	0.0771128496	0.0035033959	0.0540438434	-0.0104767584	-0.0072732411	-0.1373805088	0.0571330524	-0.0342159728	-0.060890557699999986	-0.0183365827	0.0361622888	0.013989013	0.0682915748	-0.0580454519	0.0149690342	0.0681697589	0.051434950599999994	-0.0065002768	0.0544827922	0.022002643	0.0922457116	-0.0958130867	-0.0303130959	-0.14329405039999998	0.0400423446	-0.13928964130000002	-0.033640166	-0.1229048721	0.049515593	0.0226240913	-0.057926605199999995	0.1481142081	-0.0028878929	-0.1657199519	-0.0114838306	-0.0027024847999999996	-0.0478952319	0.0229261629	-0.020612003700000003	0.0247523797	-0.0773396204	0.0150639758	0.009892679100000001	-0.0321992853	-0.0405028079	0.098032903	0.09795742199999999	0.0978316635	0.00369183	0.004147793	1.36296087489e-05	1.7204186770849004e-05	-0.012897	-0.00905918	8.20687422724e-05	0.00016633260900000005	0.0903982	0.015930200000000002	0.008171834563239999	0.0002537712720400002	0.000435573	0.00024444600000000005	5.975384691600003e-08	1.89723838329e-07	0.000336961	-5.9495999999999974e-05	3.5397740159999967e-09	1.13542715521e-07	0.0	1.3234899999999996e-23	0.0	1.751625780099999e-46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8663.411027655085	-6.434789329954582	41.40651372089735	75054690.63409574	10911.028968715336	-183.26236201609936	119050553.15614526	33585.093331719865	6282.223794895024	6.028020260740958	36.3370282639035	39466335.80914524	6365.1081584491585	10884.799558293842	0.930453	36.613949	0.02032672800000001	0.00919467	-0.021537535	0.0761763232	-0.0899361142	-0.0742113917	0.1100832928	0.0339303845	0.1387781599	0.0843069092	0.0138548778	0.0029947319	0.0043802971000000005	0.0523580663	0.1802527928	0.0034614369	-0.013056709	-0.0285902967	0.09579500789999999	0.1416003416	-0.0291302035	-0.0212465348	0.0338151068	-0.0811076049	0.050983675199999995	-0.0578103982	0.0342619365	-0.0368478835	0.0107771947	-0.0960776017	-0.1540601928	0.0367224561	-0.08131766879999999	0.0089101007	-0.138343978	0.10014286929999999	0.0158874671	0.0402198554	0.0496467707	-0.10277479029999999	-0.012120338500000001	0.0308282827	-0.09812126939999999	0.14686400789999998	-0.0178309099	0.0549125883	-0.0489466141	-0.0051725277	-0.0800466233	-0.012939889199999999	0.06464768580000001	-0.14671081619999998	0.055877033300000004	0.0379123939	0.10269855550000001	-0.0891377853	-0.16827703440000005	0.14969424480000001	0.034019891000000003	-0.162247057	-0.0447856991	-0.1335251022	0.0543695626	-0.14720342109999998	-0.0630391077	0.034968168	-0.0733753734	0.1070027719	-0.0944048715	0.1509692067	0.006787653	0.0340050658	0.0290077431	-0.1320092998	0.0307866569	0.0672512726	0.0033151914	0.0037955681	0.150061966	-0.0856011191	-0.0070179774	0.0477020541	0.0304056327	0.025909498399999998	-0.11883636880000001	-0.028267018900000006	0.0478449696	-0.0383941406	-0.0568114621	-0.16813386100000002	-0.0787102929	-0.0864622768	0.1436393604	-0.0087268273	-0.011266891499999999	-0.023871456200000002	-0.0272304167	-0.0351772175	0.0134984525	0.0449792104	-0.09734618980000001	0.0419022452	0.008683218000000001	-0.05371139849999999	-0.0104282239	0.1030506855	-0.037312499	0.20764330609999998	-0.0773337918	0.08945620130000001	-0.0514982513	-0.037487488	0.0041700473	-0.027868872200000002	0.031856001200000005	0.0487620566	-0.09959280960000001	0.059052752	-0.0719379812	-0.012567504299999999	0.023599013999999998	-0.096450599	0.0717824051	0.0311563419	-0.046674068799999996	0.0298443004	0.0993729545	0.0026876135	-0.1225101451	-0.1018368059	-0.0678183745	-0.0589132345	0.006744260500000001	-0.1133010998	0.11548172359999999	0.0291788656	-0.1711535062	0.20727390710000002	0.0012841778	0.08491267460000003	-0.024272192999999997	0.0362478127	0.063722503	-0.0764661772	0.0362595659	0.0992821076	-0.013066153300000001	-0.1044335791	-0.1651321814	0.0086161565	0.0013664808999999999	-0.09779484640000001	0.060201109100000004	-0.09192452640000001	0.18579396539999998	-0.060965995700000004	-0.1021843319	0.056713292199999994	-0.1117664229	0.0429421562	-0.1444783188	-0.048024139699999996	-0.0314868632	0.20146909079999997	-0.0669509907	-0.0399774532	0.0240941912	0.0347659909	-0.0721912487	0.0577584751	0.095862332	0.07384134349999999	-0.0126678454	0.052370241	0.09798817119999999	0.0977785816	0.0974295977	-0.00032857800000000005	-0.0040204080000000005	1.0796350208400004e-07	1.6163680486464006e-05	-0.00925118	0.0036458200000000006	1.3292003472400008e-05	8.558433139239997e-05	0.0949905	0.004592299999999994	0.009023195090249998	2.108921928999994e-05	0.000539898	0.000104325	1.0883705625e-08	2.9148985040400005e-07	0.000279922	-5.7039e-05	3.2534475209999988e-09	7.8356326084e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8669.640287574482	6.229259919397008	38.803679143406036	75162662.71593456	10874.860871150358	-36.16809756497786	118262598.96687712	1308.131281469758	6291.484375354275	9.260580459250377	85.75835044224993	39582775.64532697	6373.156559822689	10893.313358748821	0.951069	37.425217	0.03127318799999998	0.020197	-0.006784017	0.0572061642	-0.0838706143	0.005461365500000001	0.0727539848	-0.0521383013	0.006113790799999999	0.1401021438	-0.0060325016	-0.026954196099999998	-0.0138751591	0.0357954744	0.1112460197	0.0267253534	-0.005115682	-0.0839595283	0.0909384381	0.0749535667	0.0268286617	-0.013183563300000001	0.0467780287	-0.0852305427	0.038073831600000003	-0.041209975	-0.0009135152999999999	0.011611449499999999	0.0204342477	-0.1370120983	0.0231856979	-0.034952747799999996	-0.1468063996	0.0001356768	-0.1439787336	0.0509998493	-0.0865893232	0.0810408235	0.003762648	-0.015205271499999999	-0.2229269004	0.1700264337	-0.1204476901	-0.058794799	-0.0053811588	-0.0980057727	-0.027920677999999997	-0.0177715204	0.021625422400000004	-0.044548519800000005	-0.051764381500000005	0.0671917836	-0.0711175825	0.069153718	-0.07440421679999999	0.030681825	0.2292815014	-0.1519996254	0.0727663806	-0.06549715440000001	0.0830999914	0.13244616480000002	-0.037768323199999995	-0.0087771686	-0.043005361299999996	0.0452751113	0.0709386843	0.1189830763	-0.033817771	-0.0446350516	0.0932572408	-0.08031624400000001	-0.12242936880000001	-0.0018297417000000002	0.1299531451	0.0859328026	0.0419249702	-0.0556331991	0.0078625372	-0.0875613789	0.0665821328	0.0682046767	-0.017327678899999997	0.0178555101	0.0865285707	-0.020866708	-0.1402883941	-0.022296778399999998	-0.0040122841	-0.030909411600000002	0.0013399444	0.0757057238	-0.0072969065	-0.0811128678	0.036676117	-0.0880636841	-0.0143493933	0.1156164695	0.025264912999999996	0.0549310816	-0.1072499267	0.0052205312	-0.0009307677999999999	0.0370671225	-0.1163413542	0.06215408240000001	-0.025857913	0.1355616052	-0.0705236896	0.1321601933	0.0295723208	0.005372998299999999	-0.0242091647	0.022167762200000003	-0.0181221333	0.0878462292	-0.0321362622	-0.0663007698	-0.013038838	-0.1177661683	0.22982029620000002	0.0793818037	0.0274356308	0.0649749647	0.0360200275	0.1078467874	-0.0380826182	-0.0505009737	0.0347563997	0.0303713718	0.044879266200000004	0.062477800099999994	0.0117598091	0.1884116622	-0.23267177100000005	-0.0377876917	0.08899625439999999	0.1503522398	-0.0345344246	-0.0606578059	0.08683358779999999	0.051960029299999995	0.0065009740000000005	0.0330188525	-0.0961754133	-0.1097108778	-0.0007051930999999999	-0.1301914527	0.0897340457	-0.1536472036	0.030363101200000006	0.0251595287	0.15991081570000001	0.0634967803	0.011760336000000001	-0.028463042799999998	0.0043063034	0.032403463	-0.013613826899999999	0.0864303059	0.0426071438	-0.021974449700000002	0.0014963214000000002	-0.0979880798	-0.0350597456	0.033230498500000004	-0.0307862938	-0.134992736	0.028397188900000002	0.0181412307	0.015050657700000001	0.0069576759	0.016671173100000002	0.042272572800000005	0.0979210862	0.097510525	0.0968275308	0.00218279	0.002511368	4.7645721841e-06	6.306969231424e-06	-0.0122587	-0.0030075200000000014	9.045176550400007e-06	0.00015027572569000002	0.101542	0.006551500000000003	0.010310777764	4.2922152250000015e-05	0.000920428	0.00038053	1.448030809e-07	8.471877031840001e-07	0.000283448	3.526000000000006e-06	1.2432676000000045e-11	8.0342768704e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8666.035203896769	-3.605083677713991	12.996628323319845	75100166.15517808	10854.263403299934	-20.597467850424444	117815034.02821627	424.25568184926834	6292.684879342613	1.2005039883388235	1.4412098260174222	39597882.99070716	6374.155510874311	10883.559497561817	1.123222	44.199539	0.10769058367289	0.065229	0.006869659100000001	0.0247289602	-0.05666063320000001	0.06729015719999999	0.0175141193	-0.0681421022	0.0919976556	-0.044682492000000004	-0.0258106212	-0.0381277764	-0.0049869264	-0.0443403949	0.1237866795	-0.0086844016	-0.10392356720000001	0.0146779416	0.1009015114	0.06364781259999999	0.057443796799999995	-0.0024038755	0.04631871110000002	-0.08739153779999999	0.0481619728	-0.021367732900000002	0.1248560707	0.0100670157	0.1161456736	-0.0325453377	0.0015325779000000001	0.1070114623	0.0191124874	-0.0270523379	-0.1087505251	0.09422642619999999	-0.0129275421	0.11186342199999999	0.17902200350000005	-0.0782291899	-0.0975773525	-0.0053308929	0.0609569051	-0.1190637249	-0.11170667810000001	0.0106992357	0.1388316453	-0.0187887705	0.1197938529	-0.028465980099999996	0.0577634257	-0.1482367403	-0.1413773398	-0.0444528175	0.1600216387	0.028929001099999997	0.16781326649999995	0.0080111356	0.0197926886	0.07698530769999999	-0.0043909292	-0.08062880780000001	0.06229450490000001	0.0064051733	0.0061513157	0.0705524785	0.05014691190000002	0.0516823689	-0.1397552226	-0.004178783	0.0433237035	0.070693862	-0.0647850262	-0.0437096792	-0.006265909599999999	-0.048687416399999996	0.028571733199999998	0.06380891679999999	-0.038458674	0.0860656998	-0.051185184	0.0168728521	0.1043515194	-0.053518251100000004	-0.0447942888	-0.0391433105	0.0458283253	-0.0974309362	0.0118586888	0.043965354400000003	-0.08679201689999999	-0.0869946047	0.016771548	-0.0075757722999999985	-0.0602584863	0.1712753483	0.042090311500000005	0.0329125756	0.049450250999999994	0.048764743099999994	-0.094535384	0.0419015353	-0.0757864084	0.0881091623	0.053917376100000004	0.0507340437	0.052048395	0.10188961769999999	-0.11362045109999999	-0.0433930183	-0.070819205	-0.039328138900000004	0.08213545400000001	-0.0706668853	-0.0510422998	0.059244695099999994	-0.0872351816	-0.13049233789999998	-0.061018585800000004	-0.1218106318	-0.0029066621999999996	0.0769639703	-0.1744728741	0.0697259573	0.0775912604	0.2265545421	-0.051202478899999994	0.038524779700000004	-0.21789498559999998	-0.0995980168	-0.0398416823	-0.07658545509999999	-0.0554499212	0.11318355320000001	-0.1019541261	0.115682279	-0.0006332691	-0.012175618000000001	0.025627875499999998	0.0546054194	0.0016780411	-0.0692029372	0.0865384454	-0.0534432693	0.017966092	-0.021882780600000002	0.0170459127	0.017020074	-0.055513596	0.0714200243	-0.0051882411	-0.0603232146	0.0922654113	0.0040139989	-0.0929872276	-0.0077973687	0.0195716007	-0.12085511970000001	0.0840111914	-0.0363751626	-0.0691542709	0.1187738071	-0.0890850573	-0.0050759628	-0.0408338521	0.08686298070000001	0.0524372466	0.0632352441	-0.0411654943	-0.0525009201	-0.0426962462	0.0008872900999999998	0.024132503	0.0972356526	0.0978316635	0.0971534967	0.09602669890000001	6.327109999999999e-09	-0.00218278367289	4.0032320952099987e-17	4.764544562635158e-06	-0.0123995	-0.00014079999999999995	1.9824639999999988e-08	0.00015374760025000002	0.155305	0.053763000000000005	0.024119643025	0.002890460169000001	0.00166906	0.0007486319999999999	5.604498714239998e-07	2.7857612836e-06	-0.0	-0.000283448	8.0342768704e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8643.541616517312	-22.49358737945659	505.96147319724855	74710811.6764667	10772.071697318963	-82.19170598097115	116037528.65218024	6755.476532062411	6281.8648213360275	-10.820058006585896	117.07365526588354	39461825.63353912	6359.4147666954395	10727.474183255668	1.158326	45.580898	0.18104361661661	0.109269	0.0400824715	-0.0007152001	0.0160782695	-0.1110984839	-0.0158901251	0.0732596176	0.0562926532	0.0073047205	-0.054636349	-0.07088655049999999	-0.0596465453	-0.0308317697	0.0453964949	-0.0484700817	-0.0879636807	0.1330390819	0.0356695091	-0.0122852111	-0.043888275899999996	-0.010893695600000001	0.026317861499999998	-0.012228628899999998	0.0082505124	0.026761507400000002	0.077626538	-0.007084675600000001	-0.0739390012	0.0018168055999999999	-0.0653633317	0.0601298589	0.1052824062	-0.052720038	-0.0726249055	0.0316374323	0.0041695233	0.0772225623	0.002419414	-0.0963500918	-0.1164939501	-0.0410903271	0.1056090044	-0.0008299416	0.0764403835	-0.0748023534	0.046033726500000004	-0.1693832342	0.1638121481	-0.0006507415	0.0466689718	0.11826315039999999	-0.0772927011	0.0749678515	-0.0386863854	0.08930705189999999	-0.0370766463	0.20346208149999997	0.0586142179	0.0630442277	0.0550172098	0.0184722408	0.1076538859	-0.043987453899999994	0.0526063564	0.0194648752	-0.0493819676	-0.0789266896	-0.0096494441	0.0406897067	-0.0979233283	-0.0831676333	0.0793840378	0.0119117834	0.0016577564000000002	0.0806208312	0.1265920837	-0.042497937	-0.1602247801	0.033283690299999995	-0.067103408	-0.1028006667	-0.0672704597	-0.029009077299999998	-0.06430524650000001	-0.0484049842	-0.059758803099999994	0.1140386473	-0.09246546550000001	0.08896528769999999	-0.0096016608	0.0467905726	0.1341371579	-0.053680953600000005	0.0740079211	-0.06394848389999999	0.0796526772	0.11939707289999996	0.0157488194	0.025312067799999997	-0.0120750821	0.011739625900000002	0.051100696699999996	0.0080894665	0.045206082800000005	0.08083934450000001	0.014071649299999999	-0.0034557631	0.0054419143000000005	-0.0362398241	-0.09779474939999999	-0.0738754348	0.13382513669999999	-0.0384433567	0.0206936379	0.1005813113	-0.0500836375	-0.1336827074	-0.0203738449	-0.0788010358	-0.0050477607	-0.1134869068	0.0037901482	-0.0638708586	0.0871625589	0.0910753073	-0.1742126928	-0.1528127172	0.0580885772	-0.0294714077	0.0689308557	-0.0367323523	0.0755670631	0.059075556200000004	0.11651783380000001	-0.078630143	0.0064479640000000005	-0.0219532074	-0.0284443664	0.0846380543	0.0807475165	-0.0564503554	0.1009991933	0.0041719342	0.08841437960000001	-0.0754458589	-0.0058535768	0.1570607531	0.011206659499999999	-0.038843564	-0.078206412	0.011759819	-0.0456752624	-0.1442905398	-0.0711380831	-0.06443633780000001	0.08809541789999999	0.0600494733	-0.0218643664	0.0166462406	0.1813668803	-0.14120022289999998	-0.0086964898	0.0398012873	0.08773453070000001	0.0124556752	0.1077734207	-0.050109210999999994	-0.1396547388	0.0066623186	0.033966611	-0.050827418099999994	0.09546933519999999	-0.080046134	0.0977199233	0.09670782259999999	0.0950287458	-1.02895e-08	-1.661661e-08	1.0587381025000002e-16	2.7611172789209996e-16	0.0193251	0.0317246	0.0010064502451599998	0.00037345949000999984	0.233834	0.07852900000000003	0.05467833955600001	0.0061668038410000025	0.00308486	0.0014158	2.0044896399999997e-06	9.5163612196e-06	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
