global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	t_comp_cor_06	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	a_comp_cor_85	a_comp_cor_86	a_comp_cor_87	a_comp_cor_88	a_comp_cor_89	a_comp_cor_90	a_comp_cor_91	a_comp_cor_92	a_comp_cor_93	a_comp_cor_94	a_comp_cor_95	a_comp_cor_96	a_comp_cor_97	a_comp_cor_98	a_comp_cor_99	a_comp_cor_100	a_comp_cor_101	a_comp_cor_102	a_comp_cor_103	a_comp_cor_104	a_comp_cor_105	a_comp_cor_106	a_comp_cor_107	a_comp_cor_108	a_comp_cor_109	a_comp_cor_110	a_comp_cor_111	a_comp_cor_112	a_comp_cor_113	a_comp_cor_114	a_comp_cor_115	a_comp_cor_116	a_comp_cor_117	a_comp_cor_118	a_comp_cor_119	a_comp_cor_120	a_comp_cor_121	a_comp_cor_122	a_comp_cor_123	a_comp_cor_124	a_comp_cor_125	a_comp_cor_126	a_comp_cor_127	a_comp_cor_128	a_comp_cor_129	a_comp_cor_130	a_comp_cor_131	a_comp_cor_132	a_comp_cor_133	a_comp_cor_134	a_comp_cor_135	a_comp_cor_136	a_comp_cor_137	a_comp_cor_138	a_comp_cor_139	a_comp_cor_140	a_comp_cor_141	a_comp_cor_142	a_comp_cor_143	a_comp_cor_144	a_comp_cor_145	a_comp_cor_146	a_comp_cor_147	a_comp_cor_148	a_comp_cor_149	a_comp_cor_150	a_comp_cor_151	a_comp_cor_152	a_comp_cor_153	a_comp_cor_154	a_comp_cor_155	a_comp_cor_156	a_comp_cor_157	a_comp_cor_158	a_comp_cor_159	a_comp_cor_160	a_comp_cor_161	a_comp_cor_162	a_comp_cor_163	a_comp_cor_164	a_comp_cor_165	a_comp_cor_166	a_comp_cor_167	a_comp_cor_168	a_comp_cor_169	a_comp_cor_170	a_comp_cor_171	a_comp_cor_172	a_comp_cor_173	a_comp_cor_174	a_comp_cor_175	a_comp_cor_176	a_comp_cor_177	a_comp_cor_178	a_comp_cor_179	a_comp_cor_180	a_comp_cor_181	a_comp_cor_182	a_comp_cor_183	a_comp_cor_184	a_comp_cor_185	a_comp_cor_186	a_comp_cor_187	a_comp_cor_188	a_comp_cor_189	a_comp_cor_190	a_comp_cor_191	a_comp_cor_192	a_comp_cor_193	a_comp_cor_194	a_comp_cor_195	a_comp_cor_196	a_comp_cor_197	a_comp_cor_198	a_comp_cor_199	a_comp_cor_200	a_comp_cor_201	a_comp_cor_202	a_comp_cor_203	a_comp_cor_204	a_comp_cor_205	a_comp_cor_206	a_comp_cor_207	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18
8716.212827160089	n/a	75972366.04835007	n/a	11192.321586177915	n/a	125268062.48842412	n/a	6353.300445234135	n/a	n/a	40364426.547412254	6788.266397769452	10525.698559632048	n/a	n/a	n/a	n/a	0.056419832999999996	-0.0741316461	0.0018341471	-0.0708843271	0.11570516630000001	-0.14077885939999998	0.0108989998	-0.7849736071	0.16602410539999998	0.054977526900000004	-0.0785214518	0.0172311783	-0.061320865599999996	0.1113841676	-0.047288174599999996	0.032442319500000004	-0.0510609304	-0.0364962337	0.036509326099999996	-0.060958397000000004	0.0541614104	-0.0503081186	0.0409183782	-9.91561e-05	0.08926952939999999	-0.0997423001	0.0672444266	-0.0017312966	-0.0039618221	0.0600615199	-0.043565301900000006	-0.051062747	0.031751686099999996	-0.0047620254	0.0187039146	-0.0015728729	0.0257227617	-0.0112853474	0.0173924851	-0.0674218514	0.0265164452	-0.0722665379	0.0344386858	-0.05773059360000001	0.0184263645	-0.08552567119999999	0.0681041428	-0.056213518	0.0190053261	-0.0476938496	0.0066341627000000005	0.0008786414	0.064767626	0.0116331667	-0.049641917800000004	-0.0724960677	0.006087776800000001	-0.0759454985	0.013376556699999998	-0.1004032235	0.0214849992	-0.07599714240000001	0.0647179077	-0.1199975409	0.0139228548	-0.0643154838	0.080846155	-0.0534703535	0.012544533899999998	-0.1561930926	0.0503092819	-0.1179003089	-0.065062388	0.059554965599999996	-0.0506937081	0.0694592661	-0.0597742185	0.0169415619	-0.0695166866	0.09572595	-0.0009959145	0.0233344345	-0.0109916264	0.0147239275	-0.0840347607	0.1041457967	-0.0470612169	0.0853965711	-0.13527886039999998	0.1520114183	0.0515948678	-0.0494819732	0.1107518651	0.0922231938	-0.0620681396	-0.0166544223	0.0288691508	0.0138030557	0.1068737247	-0.0591284202	-0.0667392566	0.08275161389999999	-0.0652820128	-0.005058369	-0.012015866299999999	-0.16182998369999999	0.0432869659	0.028557544	0.1019570103	-0.0307830196	-0.050373818499999994	-0.0630794916	0.0367884709	0.0299983505	-0.1146736149	-0.0485859763	-0.0755421447	0.0543030125	0.0148845456	0.011464435700000001	0.029372263399999998	-0.0951934577	-0.099143435	0.0652974642	0.0364903631	0.0075912324	0.10229354550000001	-0.1177000841	-0.0134553396	0.1425343299	0.0008192583	0.0220790475	0.053221207699999995	0.0689367539	-0.050378168499999994	0.19658453809999998	-0.0037717562	0.22223725030000002	-0.609462765	0.2633718178	-0.2649356116	0.029068965	-0.0217744256	0.0459064212	-0.1513373415	-0.10315157800000001	0.0007347564	-0.022565453500000002	0.0227450506	-0.1545548458	0.0022791947	-0.051384644199999996	0.0178120922	-0.1615007098	0.0021121692	-0.0007693166	-0.0247809848	0.0713509042	-0.0941330734	0.07304656450000001	-0.0117251218	0.0516532116	-0.1037517586	0.017843356499999997	-0.0816492955	0.049663333	-0.0303636145	0.030958040299999996	-0.0744368745	0.0308083231	-0.0566322887	0.022564579300000002	-0.0026769218	0.0663844579	0.0022108215	-0.0437322579	0.043204012400000005	-0.1008001541	-0.0019950396	0.046096887999999996	0.0415563436	-0.0034781581	-0.075715638	0.0331161859	-0.0832125479	-0.0256617217	-0.025284337200000003	0.061189319900000004	0.030834614700000002	-0.09884931849999999	-0.0178035611	0.013240781100000001	0.0068010542	0.0021877288	0.0176972029	-0.080736715	-0.0577424934	0.0193741068	0.027829979900000003	0.0104611346	0.007660206899999998	-0.0671691934	-0.0322195587	-0.0286056477	-0.0322374397	0.0022919818	0.0463003693	0.0181611515	-0.0074605712	-0.0529325721	-0.0615733575	0.0036300157	0.022843655499999997	0.055071975	0.0234365013	0.0980552714	0.098046883	0.098032903	0.0	n/a	n/a	0.0	0.064081	n/a	0.004106374561	n/a	0.0936329	n/a	0.008767119962409997	n/a	0.000242584	n/a	n/a	5.8846997055999995e-08	-0.0	n/a	0.0	n/a	0.0	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8631.602781248672	-84.61004591141682	74504566.5732598	7158.859869132062	10836.130654914146	-356.190931263769	117421727.5703701	126871.97951455106	6356.917819688518	3.617374454383025	13.08539794322289	40410404.166273415	6757.241754002878	10131.563693839731	1.136756	52.252239	0.06470220999999997	0.0598728	0.04227513980000002	0.0311877327	0.0509233986	-0.081264684	0.0697154142	-0.2362998685	0.1007437534	-0.3841029237	0.0364796185	-0.0861287599	0.029654618100000002	-0.0796829894	0.024351718199999997	0.0592942197	0.0010672289999999998	0.06248466530000001	-0.1136478161	0.035511976699999996	-0.028282649700000002	0.0644510746	0.019573296	0.0542444398	-0.025344057799999996	0.0321720721	0.029750262799999996	0.055701743399999996	0.0348454457	0.0268745927	0.0266397329	-0.1313605814	0.0060409159	0.0393039904	-0.0676414358	0.0080698536	-0.0829090206	-0.019791295900000002	0.0194279955	-0.0194247701	-0.0949690692	0.0344438877	-0.0063766558	0.08803367179999999	0.012221299	0.05807570240000001	0.030133385899999997	0.0918825692	-0.0783327502	0.090399282	0.07237338780000001	0.1304103275	-0.0692397869	-0.0365195221	-0.1026809768	-0.0714013801	0.012914446000000001	-0.04923604980000002	0.10252094910000001	0.006825117800000001	0.0135825038	-0.138280764	-0.0526521384	-0.0351668142	-0.0178831068	-0.1457021592	-0.014757048500000003	-0.0400994313	0.1549646377	0.0033520785	-0.030612192799999997	-0.139927973	-0.12907753660000001	-0.0237909848	0.0060418442	0.0142228615	-0.0226883765	-0.0320566952	0.0657060047	0.0055233601	-0.0791245733	0.0790448467	-0.014006671000000002	-0.0504944992	0.08982044869999999	0.051102665199999994	0.1402229337	-0.061896360899999996	-0.0571547152	-0.011597070800000001	-0.0768143042	0.0888662268	-0.059942919299999994	0.004641977	-0.1006254627	-0.042755618499999995	-0.0401697639	-0.11939200220000001	0.0008508578	0.0808429391	-0.1524040768	-0.029130227999999998	0.0720084213	-0.0220842397	-0.0608900202	-0.038336268199999995	-0.0387333359	0.0779520467	-0.029668551	-0.0400161912	-0.0025558859	0.0074194686	-0.1290757932	-0.011763961000000002	0.0207729764	-0.12269126080000001	0.1108811669	-0.0260876713	-0.0595235278	0.039177560699999996	-0.0301075308	0.0102571868	0.0091311144	0.11774517220000001	-0.06729208519999999	0.1394190562	0.0138406114	0.1308867225	-0.12685637449999998	0.0012390235	0.0362664072	-0.0088374957	0.0014434157	-0.0645536435	-0.0436988611	-0.11851733269999999	-0.0780089024	0.1883188114	0.0558141364	0.1203959786	-0.2772287243	0.20543444940000002	-0.0623104723	0.008243998399999999	-0.0470207396	0.014520813999999996	-0.011052468999999999	0.045635084000000006	0.0147345978	0.025078793199999998	0.028195319	0.0687647037	0.045772735700000004	0.0003261897	0.026581046400000002	0.0398909224	-0.046996494800000004	-0.0504677968	0.053641095599999994	-0.0427642451	-0.10475830289999999	0.0139772881	-0.0576660768	-0.0603509963	0.08951572449999999	-0.0134073208	0.0650476932	-0.024474320299999998	-0.0414462009	0.032644189	0.0535335671	-0.0214690042	0.0043910909	0.0410992196	-0.040917174300000005	-0.1603111606	-0.08437341150000001	0.009855479200000001	-0.0734083462	0.0810138143	0.0110438872	-0.0640294032	-0.0029069191999999996	0.0670954658	0.084063289	-0.008308119499999999	0.0982553017	0.0023473981	0.0707012017	-0.0675982591	0.0213257561	0.1323854652	0.0119777438	0.0704224812	-0.0235208699	-0.0474395601	-0.0516015836	0.12778223460000002	0.1067934958	-0.0789916763	-0.091522666	-0.0659542937	-0.0090439143	0.032486605099999996	0.0166502983	0.11692604109999999	0.0622562052	-0.0335503473	-0.0402236094	-0.1261144503	0.1002906975	0.0947810325	0.1485287901	-0.0504730628	-0.0418765487	-0.1083529884	0.0567808766	0.098032903	0.09795742199999999	0.0978316635	0.0	0.0	0.0	0.0	0.00441044	-0.05967056	1.94519809936e-05	0.0035605757307136	0.0981396	0.004506700000000015	0.00963138108816	2.0310344890000145e-05	0.000232085	-1.0498999999999997e-05	1.1022900099999994e-10	5.386344722500001e-08	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8618.089683290753	-13.513097957918944	74271469.7892425	182.60381642031314	10666.475139647202	-169.65551526694438	113773691.9047118	28782.99386049239	6349.196895155849	-7.720924532668505	59.61267563916237	40312301.21345668	6724.800056776466	9865.146930605926	1.099952	50.560516	0.21829546	0.179865	0.0515539625	0.0537765169	0.1168882264	0.007871466	0.0797508213	-0.0345085448	0.0459229395	-0.1728670882	0.0948986251	0.0325583269	0.1475319034	-0.0335314553	0.0065683999	0.0249277114	0.0487023905	-0.08336829230000001	-0.0162771547	-0.0038547519	-0.10265014130000001	0.0989728108	-0.0337814165	0.018112022	-0.0336722749	-0.0147027824	-0.16334280269999998	0.065421169	-0.030230535899999997	-0.0718712504	0.0459320884	0.0045561684	0.0152408529	-0.049270375199999994	0.1655424899	-0.0084347722	0.0191509994	-0.0130366947	-0.0577605246	0.02996047	-0.044381738	0.0030470233000000004	-0.1252184468	0.0499524363	-0.144786022	0.042522758499999994	-0.0152366847	0.11743060699999999	-0.0377113726	0.0603656392	-0.0669429017	-0.011373058	-0.0421229599	0.0808239266	-0.0792960726	0.0328933129	-0.004465137100000001	-0.0642535989	-0.0333778457	0.0655773835	-0.0182245519	-0.1108408224	-0.047387367	0.0324965648	-0.0212732872	0.0031784377000000003	-0.09195786619999999	-0.0273891548	0.0799937071	0.022820957599999997	0.08020667769999999	-0.12156260140000001	-0.09850226570000001	-0.053892229699999995	-0.033017237000000005	-0.0825175839	-0.0752797341	-0.0828933199	0.0676902584	-0.0468855525	-0.17009444280000002	0.1359338627	-0.0066511372	-0.1329428073	-0.0329427	-0.1375376958	-0.047675247000000004	-0.0023748579	-0.0243736406	-0.0081585724	0.0209061302	-0.0543116793	0.2545124318	0.1418491341	-0.0084656042	-0.0546360212	-0.047557014800000005	-0.059388125099999994	-0.0025408438	0.0010612229	-0.071762475	0.0007923706	-0.0120579195	-0.09284871609999999	-0.021682595	-0.0089802819	-0.043340245199999995	0.0156798782	0.0026233476	0.055114076100000006	-0.08259944059999999	-0.0136330238	-0.0541188055	0.1016934534	-0.13303184769999998	-0.0665165674	-0.041357784700000004	0.0638871267	0.10873864050000001	-0.11152228089999999	-0.0795490245	0.1079870142	0.0737979636	-0.0541599026	0.012091432	0.0682700866	-0.092767986	-0.13477364949999998	-0.0027703321999999996	0.050681766600000004	0.0069124055000000005	-0.0983515643	0.0365303367	0.0031912165000000004	-0.035924600200000004	-0.1138091831	-0.1111150643	0.0195562973	0.018646992	0.11939692789999999	-0.19839439399999997	0.0104549383	-0.0355574695	-0.1035303134	-0.057428198	0.0095803473	-0.0091834392	0.0783926919	-0.0304093506	-0.0574066075	-0.014764519299999999	0.017247696599999997	-0.0892201379	-0.0418206144	-0.038032087	0.14041201220000002	-0.031047590400000002	-0.0010070803	0.004809125300000001	-0.0325504198	0.051018654299999994	-0.1290960794	0.0925038307	0.06733331969999999	0.0642533253	-0.0630232951	0.0558861346	0.0195298742	0.10926155300000001	-0.1213181904	0.033674852000000005	-0.0640196633	0.12234273710000006	-0.0972187414	0.0771391983	-0.014501506899999999	-0.0034202351000000002	0.1447241919	0.029201487	0.1554994986	-0.0032514468	-0.0320500381	0.0171067864	-0.0300944214	0.1379300043	-0.0276175877	0.1003812717	-0.0550030504	-0.0158417665	-0.0188497329	0.014779802199999999	0.0826643417	0.1485671112	-0.1334278802	-0.0232130772	0.0783871886	0.0790580497	-0.0911514647	-0.1150334667	0.0709943395	0.0171296061	0.0120106898	-0.024126405400000002	0.032188518199999995	0.0715083661	0.0483175072	-0.0045644885	-0.0338850779	0.047670047400000005	0.1417121935	-0.0236964917	-0.034601235	0.0031888995	-0.010632892	-0.0058002363	-0.007053662	-0.1447630251	0.09798817119999999	0.0977785816	0.0974295977	0.0	0.0	0.0	0.0	0.181422	0.17701156	0.032913942083999996	0.0313330923736336	0.0648898	-0.03324980000000001	0.00421068614404	0.0011055492000400006	7.140300000000001e-05	-0.00016068200000000002	2.5818705124000002e-08	5.0983884090000015e-09	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8626.274794214905	8.185110924152466	74412616.82530741	66.99604084068008	10604.232794777834	-62.24234486936802	112449753.16584171	3874.109494837344	6352.1351631859925	2.9382680301432633	8.63341901696197	40349621.13138393	6714.679585659698	9883.122902653975	0.8984530000000001	41.298409	0.0458337	0.0313016	0.054954877	0.0104847047	0.1002557756	0.0287915439	0.0563773195	0.0166150153	0.00137566	-0.0717795762	0.07614552969999999	0.0734489577	0.0445531791	0.0645385625	0.0482662034	0.0044350945	-0.01138159	-0.08154421099999999	0.007169731400000001	0.057723878	-0.0483028892	0.0865437891	0.0387618208	-0.0573720934	0.0386235184	0.0644776879	-0.12079278	-0.010943843899999998	-0.12099809369999999	0.0170631603	-0.027933755299999998	-0.06539436929999999	0.0931330207	0.055741932800000005	-0.0741068978	0.0718334657	-0.029519563399999997	0.0136747044	-0.0240374581	-0.0318166695	0.0093641564	0.0543272208	-0.0084286616	0.08545899039999999	-0.001169078	-0.1531716665	-0.0035872712	0.0031897581	-0.0648523872	-0.0044389636	-0.0729193395	-0.0740467119	0.0766858307	-0.042270620599999996	0.06260670269999999	0.069010933	-0.0201909683	-0.058456781	-0.10720447	0.0067727468999999995	-0.0286323256	0.0026864338	-0.092682839	0.0231950973	0.0549219492	0.0106205628	0.027366219700000003	-0.0738999865	-0.00021818720000000002	-0.0836092105	0.11271756990000001	-0.16912450539999999	-0.060298261299999996	-0.0651316149	0.029155898599999997	-0.0466620237	-0.17445779879999998	-0.0775882033	-0.024001534300000002	0.0611001111	0.0379599177	0.0833194875	0.055229081500000006	0.0330262106	0.0258063729	-0.14609733460000002	0.0163406984	-0.0856879659	0.16340203080000001	0.1263805419	0.0320707838	-0.007125635	-0.0188564812	-0.0455265946	-0.0846210066	0.130688925	-0.0011093301	-0.0634371021	0.1926634981	-0.0067203095	0.0466017393	-0.0732573832	-0.0501677166	0.1263109092	-0.025746619199999998	0.0926585175	0.0792573837	0.0059463906	-0.0351867066	0.1141055458	-0.1383039927	0.0609922632	-0.0465307141	-0.0637553836	0.1053500014	0.0822698966	0.11934069970000001	0.08881271269999999	-0.0711955836	-0.0193971743	-0.0542532141	0.0753024064	0.0317089198	-0.12139822759999999	-0.0451882692	-0.0809019705	0.025743636299999997	-0.1249127784	-0.01085302	-0.0980277133	0.0656033395	-0.1314828455	0.10602010220000001	-0.1075956566	0.0716971713	0.06145557860000001	0.0338006344	-0.0508943143	-0.0142880352	0.0907153447	-0.1021837493	-0.0456547349	-0.050984767199999996	-0.034804147	0.012164926699999998	-0.0675068987	-0.0452669575	0.0441395294	-0.061609453099999996	0.0032841355	0.058974490199999986	-0.0781368605	-0.032501531800000004	0.0429922921	0.06597265969999999	0.0992165209	-0.106801737	0.0433376508	-0.0666675958	-0.0299077003	0.1457661965	-0.12181823480000001	0.1635819832	-0.07449228599999999	-0.0436892362	-0.1043287638	-0.0438331481	-0.0395780927	0.0583855844	0.0548387787	0.1023585543	-0.054996768499999994	-0.0390796801	-0.0518930617	-0.017376728799999998	-6.03458e-05	-0.014889868	-0.0444172177	-0.0262226974	0.0732691326	-0.0878194287	0.0340268125	-0.1447498056	0.0196438888	-0.0409851133	0.08705792650000001	-0.050958414	0.1107748994	-0.0558714122	-0.0664020174	-0.1099764109	0.029782943500000002	-0.1520159825	-0.1559564843	0.019194363	-0.048649179699999996	0.012241898400000001	0.1065992159	0.0978478346	0.0064341334	-0.09056892949999999	0.043551371900000004	0.0601205953	0.0989053805	-0.0366754263	-0.0094712438	-0.06063562240000001	0.0022414948	-0.0048986834	0.0039075919	-0.1556108937	0.08043912639999999	-0.1404672242	0.1182116882	0.0477112046	0.032774729	-0.0834469382	0.0979210862	0.097510525	0.0968275308	0.0	0.0	0.0	0.0	0.209404	0.02798200000000001	0.043850035216000005	0.0007829923240000004	0.07585460000000001	0.010964800000000009	0.0057539203411600005	0.00012022683904000025	0.000209141	0.000137738	1.8971756644e-08	4.373995788099999e-08	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8604.053362694309	-22.221431520596525	74029734.26809125	493.7920188245608	10548.870230970226	-55.36256380760824	111278663.14984982	3065.013471351493	6362.87203703565	10.73687384965706	115.28046006344957	40486140.55969021	6724.031981762017	9915.938324594492	1.060088	48.728127	0.25471425000000003	0.194093	0.056995118	0.0260954963	0.019033436299999998	-0.0270935779	0.0361346779	-0.10307371550000001	0.0679937112	-0.0058195361	-0.0751317033	-0.0536255195	-0.0706042686	-0.059178503	0.0152458023	0.07702281400000001	-0.0065893102	0.010356834	-0.0016178401000000002	0.022139344300000002	0.0495572867	0.0130544316	0.023221045699999998	-0.1111032473	0.0008412447999999999	0.1641318728	-0.0804668102	0.0786507856	-0.1409485184	-0.0193802136	-0.0028604622	-0.1605028275	0.0146065302	0.0707266017	-0.0375863619	0.10644128630000001	-0.055450959400000006	-0.0463816296	0.0257848377	-0.0012186178	0.0320509067	-0.0051676694	0.0073389989	0.0524455911	-0.032015331699999997	0.0784422717	-0.2444457768	-0.1153259185	0.0977252381	-0.09127450150000001	0.075976461	0.033204164700000004	0.005408123199999999	-0.0393623184	-0.0427238683	-0.025201221800000003	0.0048023161	-0.0534849797	0.08976159449999999	-0.10100542470000001	0.0490548741	0.007350118599999999	0.0329943864	-0.007583617	0.0056972616000000005	-0.0964081117	0.1367985922	0.09773263119999999	0.035485212	-0.1502342061	0.0774980476	-0.0913250963	-0.0273118505	-0.0204583203	0.0038898709000000004	0.0812553174	-0.10080582310000001	0.0060958968	-0.0844149609	0.0176180722	-0.0965081635	-0.0212640609	-0.0405615365	0.014124181000000001	0.0048003849	-0.059461635	0.0743669601	-0.0173821811	0.1431097506	-0.0373012994	-0.0282247839	-0.0076064444	0.0397641357	0.22105141690000002	-0.1424833082	-0.0064196636	0.1112112886	-0.0056206786	-0.0725717083	-0.021066818199999997	0.0749795042	-0.0329588093	0.034936370099999996	-0.0628718351	-0.06885479900000001	-0.0936966634	-0.0399071333	0.10518604990000001	0.030389710099999998	0.020762181100000002	-0.1708326415	-0.0006771895	0.0625035053	-0.061598806799999996	0.1268810138	0.0691295457	0.08163161299999999	0.1174896876	0.07019156309999999	-0.0387860636	0.1107653838	-0.0700138627	0.0569947117	0.1238776226	0.08659075640000001	-0.09364383970000001	0.0758091425	0.12841766599999999	0.0319186936	0.0510475827	-0.0620848336	-0.0334080451	-0.0641901354	0.0495447669	0.061626293099999986	0.053000241	0.059508191399999986	0.0308078845	0.0071777248	0.0418977341	0.0391716013	0.09210949789999999	-0.0013947064999999999	0.0909951753	0.0693257562	-0.0066554903000000006	-0.022358093199999998	-0.085003019	-0.0313901179	0.0904919272	-0.1184684793	0.0762900846	0.0117104605	0.0531306074	0.010334032	0.0729198092	-0.06660194030000001	-0.0844554265	-0.1569334242	-0.026878188799999998	0.2155097448	0.0068670389000000005	0.051303519400000004	-0.100457146	-0.038098282000000004	-0.11221258390000001	0.0854140966	-0.027743652599999998	-0.0040324029999999995	-0.021694252799999997	0.0030525610999999997	-0.15628102630000001	0.0106389355	0.0286139905	0.0469203654	-0.0579985686	0.1479548654	0.1074636351	-0.1226206886	0.0641317704	0.1206557742	-0.0396242203	-0.019484361000000002	-0.086951418	-0.0874309529	0.0516949661	0.0131758877	0.0022103737	0.06629089440000001	0.033745048	0.0208824645	0.08887053519999999	-0.024320216800000002	-0.0446060936	0.08344291940000001	-0.1520403374	-0.105790132	0.06361934820000001	0.035146481	-0.1660535233	0.0628336138	0.11466104949999999	-0.0173292136	-0.0275990724	0.036361361099999996	-0.0602736577	-0.0309223155	0.0711156309	-0.1371721249	0.0604292958	-0.0114970474	0.0254839231	-0.08705099710000001	-0.0263720273	0.05261488	0.09304283619999999	-0.0208574793	0.0978316635	0.0971534967	0.09602669890000001	0.0	0.0	0.0	0.0	0.0258752	-0.1835288	0.0006695259750399999	0.03368282042944	0.13658299999999998	0.06072839999999996	0.018654915889	0.003687938566559997	0.0	-0.000209141	4.373995788099999e-08	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
