global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	a_comp_cor_85	a_comp_cor_86	a_comp_cor_87	a_comp_cor_88	a_comp_cor_89	a_comp_cor_90	a_comp_cor_91	a_comp_cor_92	a_comp_cor_93	a_comp_cor_94	a_comp_cor_95	a_comp_cor_96	a_comp_cor_97	a_comp_cor_98	a_comp_cor_99	a_comp_cor_100	a_comp_cor_101	a_comp_cor_102	a_comp_cor_103	a_comp_cor_104	a_comp_cor_105	a_comp_cor_106	a_comp_cor_107	a_comp_cor_108	a_comp_cor_109	a_comp_cor_110	a_comp_cor_111	a_comp_cor_112	a_comp_cor_113	a_comp_cor_114	a_comp_cor_115	a_comp_cor_116	a_comp_cor_117	a_comp_cor_118	a_comp_cor_119	a_comp_cor_120	a_comp_cor_121	a_comp_cor_122	a_comp_cor_123	a_comp_cor_124	a_comp_cor_125	a_comp_cor_126	a_comp_cor_127	a_comp_cor_128	a_comp_cor_129	a_comp_cor_130	a_comp_cor_131	a_comp_cor_132	a_comp_cor_133	a_comp_cor_134	a_comp_cor_135	a_comp_cor_136	a_comp_cor_137	a_comp_cor_138	a_comp_cor_139	a_comp_cor_140	a_comp_cor_141	a_comp_cor_142	a_comp_cor_143	a_comp_cor_144	a_comp_cor_145	a_comp_cor_146	a_comp_cor_147	a_comp_cor_148	a_comp_cor_149	a_comp_cor_150	a_comp_cor_151	a_comp_cor_152	a_comp_cor_153	a_comp_cor_154	a_comp_cor_155	a_comp_cor_156	a_comp_cor_157	a_comp_cor_158	a_comp_cor_159	a_comp_cor_160	a_comp_cor_161	a_comp_cor_162	a_comp_cor_163	a_comp_cor_164	a_comp_cor_165	a_comp_cor_166	a_comp_cor_167	a_comp_cor_168	a_comp_cor_169	a_comp_cor_170	a_comp_cor_171	a_comp_cor_172	a_comp_cor_173	a_comp_cor_174	a_comp_cor_175	a_comp_cor_176	a_comp_cor_177	a_comp_cor_178	a_comp_cor_179	a_comp_cor_180	a_comp_cor_181	a_comp_cor_182	a_comp_cor_183	a_comp_cor_184	a_comp_cor_185	a_comp_cor_186	a_comp_cor_187	a_comp_cor_188	a_comp_cor_189	a_comp_cor_190	a_comp_cor_191	a_comp_cor_192	a_comp_cor_193	a_comp_cor_194	a_comp_cor_195	a_comp_cor_196	a_comp_cor_197	a_comp_cor_198	a_comp_cor_199	a_comp_cor_200	a_comp_cor_201	a_comp_cor_202	a_comp_cor_203	a_comp_cor_204	a_comp_cor_205	a_comp_cor_206	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13
9001.189110929008	n/a	n/a	81021405.41070695	10862.423394490224	n/a	n/a	117992242.00116852	6460.0796090579615	n/a	n/a	41732628.555366464	6827.146392689946	10921.41345382657	n/a	n/a	n/a	n/a	0.025774405299999997	-0.011628739099999999	0.014524326899999999	-0.0365026386	0.7927808654999999	-0.0562099716	0.1496949845	-0.0759334162	0.08762272199999999	-0.1384528111	0.0059477476	-0.0344406218	0.028175532000000007	-0.0651976001	-0.0177502776	0.038640085	-0.0696594717	0.0380306918	-0.0271374803	0.046214688399999995	-0.058090177	0.0296842752	-0.0223420187	0.0595687596	-0.0021023454	-0.0250137901	0.0206010612	0.052510437300000004	-0.053402263600000006	0.0215663057	-0.030789346800000002	0.015025079299999999	-0.0062029342	0.0937543924	-0.0142802272	0.023857526299999997	-0.0480371054	0.0217404273	-0.018272311399999998	0.0032800053000000004	-0.0373940661	0.0197737082	-0.0333951787	-0.0256513276	0.0244346281	-0.03232115	0.013137963999999999	0.0203947598	-0.0246917866	-0.0005151139	0.0784852407	-0.052255406799999994	-0.0405584362	0.0933185388	-0.056357495999999986	0.0382624898	-0.0319102107	0.0123485407	-0.043759743200000006	0.0738458092	-0.1240128364	0.05450695690000002	-0.1370892195	0.0388453985	-0.010396987	0.0546569839	0.0056282460999999995	-0.0470339362	0.1286458402	-0.0026161324	0.024959394300000003	-0.0008511173	0.0606716117	-0.1000122567	0.0468369908	-0.1099433315	0.10126144449999999	-0.0094565767	0.0289759832	-0.0253920168	0.0401679544	-0.032762706	0.15306968880000002	0.0405533565	-0.0873005166	0.0703102496	-0.0627379579	-0.0002106446	-0.0139437754	-0.0234789346	0.1035605101	-0.1841409704	-0.005035103	-0.055285780199999995	0.10424508519999999	0.078280776	-0.0996962323	-0.10769028259999999	0.1313958216	0.1239806295	-0.038608494199999996	-0.09009784380000001	0.0265482056	0.1491698152	-0.0334705435	-0.0039006564000000003	-0.0466664003	0.0516155954	0.0264634306	0.0473763475	-0.16095252300000001	-0.0542043681	-0.0077918675	0.0299789593	0.0820662354	0.09470553359999999	-0.0524676926	-0.12485057460000001	0.0545078882	0.013206671599999999	0.1023863085	-0.13259662	-0.08179405049999999	-0.0192531871	-0.0089429522	-0.0810206703	0.073563728	0.086859503	-0.060999017300000014	-0.0306893417	-0.0050687143	0.013803231499999999	-0.0497507652	0.022611288700000003	-0.5768758516	0.5071574121	-0.052365693399999996	0.048531486500000005	-0.2538808455	0.09370315929999999	-0.050548847599999995	0.0123783873	0.06827103009999999	-0.0810174828	0.0161527129	-0.0530778772	0.0513343194	-0.1388086445	0.0052241108	-0.0660610132	0.0443550437	-0.0640923407	0.0858213597	-0.0044771937	0.04500699019999999	-0.045789228200000004	0.0117647177	-0.0005306406	0.08072191969999999	-0.019705565300000002	0.024985258599999997	-0.0220675808	0.0317981387	-0.015854694	0.0293805277	-0.0635200046	0.0229738737	-0.0455766138	0.011173510900000001	0.0197510386	-0.059804729699999996	-0.0139325163	0.0097683952	0.0028553808	0.0217247753	-0.0254886016	0.0692035605	0.0375653158	-0.0029924492	-0.0361079546	-0.0181647699	0.08659729199999999	-0.0263956691	-0.0261635901	-0.0059583314	0.0130906524	0.0414332256	-0.0180321332	-0.0184071671	-0.0204903547	-0.022955262	0.0047495538	0.0421917452	0.050939249299999996	-0.0374076705	-0.0246516592	0.054407579500000004	0.0189145017	0.0110057595	-0.021256426499999998	-0.0050423315	-0.0081922513	-0.0127107832	-0.0182983432	0.0227355931	0.025767093900000003	0.0155291209	-0.0229404626	-0.0027161125	-0.0392344703	0.022379063799999998	0.0980552714	0.098046883	0.098032903	0.0	n/a	0.0	n/a	0.063288	n/a	0.004005370944	n/a	0.0345202	n/a	0.0011916442080399999	n/a	0.000414994	n/a	n/a	1.7222002003600002e-07	-0.0	n/a	n/a	0.0	0.0	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8946.42146574521	-54.76764518379787	2999.4949589783782	80038457.04274668	10533.683547957024	-328.7398465332008	108069.8866986724	110958489.08850048	6462.6396947452195	2.5600856872579243	6.554038726102879	41765711.82409658	6793.909088964189	10614.060571172446	1.114368	46.431393	0.12872201	0.08060069999999997	0.0625936644	-0.0416288348	-0.012233731599999999	0.061937599800000014	0.3672784281	-0.0619742613	0.009115529	-0.0082563199	0.0854349494	0.0199056475	-0.0028922581	0.029501404199999998	0.037071649	-0.1022128616	-0.0278946535	-0.0702680011	-0.0251570517	-0.0460275069	0.0130916211	-0.0385301741	0.1038067944	-0.0133632519	-0.041894525099999996	0.026945380699999997	0.0186165097	-0.0224768373	0.0465926792	0.0428547522	0.1739854891	-0.0378253844	0.0596371806	0.0371216495	-0.0126370886	-0.1494524073	0.0261926086	0.065572246	0.0810913839	-0.0143582775	-0.0842570729	0.09114992710000001	-0.011496383999999998	-0.0535225966	-0.012278735800000001	0.0559998625	0.063950567	0.0099639897	-0.0592948333	-0.0607681784	0.0083235469	0.0571162454	-0.00309183	-0.056572547	0.0077006653	-0.0507494434	0.0687664922	0.0813822208	-0.1284401776	0.0369724125	-0.0294139142	0.0324226821	-0.0084891698	0.04909410980000002	-0.197219179	0.0965400584	0.045495597199999994	-0.014144351699999997	0.0821419607	-0.0887804949	0.0019218485999999999	0.11444984220000001	-0.024279660699999997	-0.043847358600000004	-0.013190906200000001	0.07513996860000001	-0.07968452820000001	-0.0286600322	-0.018554493000000002	0.023428718900000003	-0.0369963441	-0.1659601246	-0.044929122599999996	0.0187059185	-0.0538045447	-0.060588508	-0.1270845867	0.0320509891	0.0048564820000000005	-0.007561007299999999	-0.0004223414	0.1104629723	-0.0135663964	-0.028815665	0.031245757599999997	0.0841703966	0.040903442400000004	-0.0406784862	0.0375924551	-0.0375674189	-0.0608400916	0.0156856472	-0.0396568704	0.0265857451	0.0144869042	-0.0056042919999999994	-0.041055240699999995	-0.0551108875	-0.0714819026	0.0374082505	-0.0453130234	-0.0026407828	-0.0290181106	-0.0638179765	-0.0124403307	0.10601357039999999	0.08683375550000001	0.0349632894	0.1163411842	0.0884582074	-0.0221656045	0.0631241085	0.062089226799999994	-0.0714186526	0.0501717859	0.0171945479	-0.09754639470000001	0.0423421	-0.0751072324	0.0227023513	0.0618547843	0.017734271	0.06253650690000001	0.0747250644	0.021541812400000002	-0.0213419213	-0.2370628154	0.2581773384	0.13280593300000001	0.0100141683	-0.090734535	0.0206107362	-0.044964076900000004	-0.0560826971	0.003999767899999999	-0.09201535029999999	-0.011999727	-0.053918822000000005	0.0101979345	0.1148792497	0.0331213148	-0.0027980576000000003	-0.0673859067	0.0867494726	-0.049221254000000006	-0.0088846817	-0.08272785519999999	0.0337480706	0.08757809609999999	0.0117630954	-0.09314217400000001	-0.0055264541000000006	0.0101372998	0.0156211577	0.0513490363	-0.08530506560000001	0.0421777021	-0.0115545304	0.0252182495	0.0928972598	-0.045754324000000006	-0.0007643165	0.10342385	-0.00047829489999999997	-0.024755522599999996	-0.0319094605	0.0257972829	0.012127971299999998	-0.054537474800000006	0.0410189989	-0.040546984	0.0367994394	-0.0183422039	-0.1033831787	-0.0045478765999999995	-0.0085754792	-0.100100762	0.0547551243	-0.0923217373	0.0476841375	0.0440947829	-0.0044535367999999995	0.0661222311	0.0034018582	-0.062556961	-0.0327988934	0.046380782300000006	-0.0310883258	-0.0788957398	0.027685402999999997	-0.0303355094	0.029268162	0.110029722	-0.013475628100000001	0.0975941409	0.033683703100000004	-0.0579803266	0.0140154719	-0.041313940099999995	0.054859125300000006	0.0762003186	0.026239357	-0.0679224171	0.098032903	0.09795742199999999	0.0978316635	0.0	0.0	0.0	0.0	0.0049623	-0.0583257	2.4624421290000007e-05	0.0034018872804899994	0.0876768	0.053156600000000005	0.00768722125824	0.00282562412356	7.01998e-05	-0.0003447942	1.1888304035364001e-07	4.9280119200400005e-09	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8939.297732859588	-7.123732885622302	50.747570225696656	79911043.95670857	10397.787736238863	-135.89581171816099	18467.671642537858	108113989.8078793	6473.807014299524	11.167319554304411	124.70902602794972	41910177.25839371	6789.259718604721	10484.047896122347	1.018273	42.427475	0.0324463	0.0259819	0.046424364100000004	-0.0595213349	-0.0123594798	0.0864233753	0.1856763495	-0.0459055142	-0.020360795600000002	0.0212126521	0.0248865496	0.0637752391	-0.0047198972	-0.053384464900000005	-0.11340766769999999	-0.0261599335	-0.0251671638	0.07377422110000001	0.0091261828	0.0369615692	-0.016390356000000002	-0.0045189983	0.026585494900000003	0.005770295	0.0821469507	-0.0288698163	-0.0350538772	-0.0036909012	-0.062737766	-0.0831216708	0.0033189528000000003	0.0170566628	-0.0203714328	-0.0137711128	0.1667732489	0.0162315302	-0.046644847	-0.0463511063	-0.0088130009	-0.08642017269999999	0.0418204236	-0.058328187300000015	0.129013756	-0.0036594059999999996	0.13339241529999998	0.0135951526	0.013256312099999999	0.0519316221	0.04603967849999999	-0.1206692727	0.0688551055	0.0603821344	-0.047124291299999996	-0.052392558799999996	-0.0096105609	-0.027077919300000003	0.0010525789999999999	0.0433557101	0.0866043794	-0.1070401217	-0.0031618543	0.036307249900000005	-0.0695122802	0.0254544342	-0.13334803380000002	0.1015158589	0.0258763411	-0.08954180789999999	-0.008987888199999999	0.039151512400000005	-0.1923716189	0.005176911	-0.038683166899999996	-0.038849003300000004	-0.0434321605	0.0079923312	0.0322353666	-0.0088233894	0.024074771800000002	0.0770494087	0.026759911	0.055398759299999996	-0.140379151	-0.09275758140000001	-0.1160110067	0.087999819	-0.0013944607999999998	0.0042026935	-0.1415791513	-0.0091127046	-0.07883380570000001	0.0102469275	-0.004529218	0.0449479957	0.1511373065	-0.0506444667	-0.029678032200000006	0.0015749281	-0.1757424088	-0.1416464725	0.13606656150000002	-0.0412744156	0.1612744871	0.0133278202	0.011653779099999999	0.041974117699999994	-0.050635487699999995	0.1516257091	-0.0547167492	-0.0301214152	0.0780148477	-0.08175694389999999	0.1347614148	-0.021042971	-0.0449777781	-0.0690041961	-0.0959006522	-0.046034383	0.00665855	-0.11206017050000001	0.08496060109999999	0.0010148239999999999	-0.0432525042	-0.006614634	0.0274409417	-0.0018645298999999998	0.0080988011	-0.096091356	-0.0488906246	0.0436286654	0.08073161179999999	-0.0649433803	0.0896980765	0.0674337844	0.0548299954	-0.0168080397	-0.1219726944	0.0915345463	-0.0097147248	0.027412972400000003	-0.0099137748	0.15294451	-0.10369508460000001	0.005732172099999999	0.031943872400000003	0.0484244333	0.0179585192	-0.0206622768	-0.071273522	0.011173161000000001	0.0340775298	0.0342425845	0.049818878600000005	-0.0017665225	-0.162734189	-0.0033279439	-0.0428723922	-0.0013679573999999999	0.0001850091	-0.0860039584	-0.0518485763	-0.0226338598	-0.0724225691	0.0904660276	-0.0639205966	0.12433887380000001	0.0129865113	0.1189354892	-0.0116871844	-0.0336307047	0.1120458371	0.039001306	0.0147649197	0.0844884057	0.016839841799999998	0.10032956289999999	-0.0322562309	0.154343734	-0.08843919039999999	-0.1405656575	-0.022304138799999998	-0.1224762231	0.0513145659	-0.1432961664	0.09725851869999999	0.0662639278	0.1709823014	-0.1081029782	0.0535133884	-0.037364967400000004	-0.0711957125	0.1364116072	0.0401958388	-0.04975341690000002	0.0102030998	-0.1493228209	0.053620895999999994	0.1423333032	0.08754657060000001	-0.0559419575	0.007328507	0.0090646684	-0.0025878964000000003	-0.0563698932	-0.024927997200000003	0.042308817199999994	-0.0298725694	0.035606216499999996	0.1188287052	0.0663464546	0.0327734149	0.0158656901	0.0681791419	0.09798817119999999	0.0977785816	0.0974295977	0.0	0.0	0.0	0.0	0.00861171	0.00364941	7.41615491241e-05	1.3318193348099995e-05	0.0623899	-0.025286900000000005	0.00389249962201	0.0006394273116100001	0.0	-7.01998e-05	4.9280119200400005e-09	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8942.412183535369	3.114450675780972	9.699803011872556	79966735.66024181	10276.693227572725	-121.0945086661377	14663.880029093298	105610423.69363911	6467.682601126772	-6.1244131727517015	37.50843671057456	41830918.22891797	6769.807115194492	10636.640280467118	1.21968	50.819317	0.31800589	0.272947	-0.06047314400000001	-0.06616922139999999	-0.012405608	-0.047981800199999994	0.0447055487	0.08178075900000001	0.029744954100000002	-0.0472698876	-0.0500192181	-0.0735366982	-0.0005384054	-0.0844146214	0.041469914	0.0540974225	-0.0312592218	-0.0104693693	0.0587364733	0.0007069219	0.0021635286	-0.0896798716	0.0630063305	0.0175107101	0.07699965339999999	-0.0408167271	-0.0404621844	-0.0674269201	-0.0389440316	-0.1387650389	-0.0764797807	0.11124538769999999	0.0168518469	0.0268553834	-0.0325825257	0.0609703787	0.0039856032	0.0807300453	-0.055426902400000005	0.0467107418	0.041208369700000004	0.054379471900000004	0.11251913820000001	0.0914984733	0.018173839299999998	0.022976822	-0.059184607	0.0265238779	0.040794759	0.09856870820000001	0.0307927613	-0.0777980416	-0.0072584984	-0.0363716151	-0.0894414092	0.0798667877	0.000114965	0.0181218252	-0.03979241	0.0372805723	0.0159810705	0.0193610622	-0.0562196018	-0.0405548135	-0.0839918286	0.08999195539999999	0.1387194617	0.0208463323	0.1342631483	-0.0809447538	0.0122589827	-0.032515339500000004	-0.1314319207	0.0871345121	-0.0729136699	-0.015370643400000003	0.0009781364	0.0123022992	0.0028947602	0.046201310599999997	-0.0532091078	-0.1452070048	-0.15919627779999998	-0.08237252980000001	0.0897892247	0.0343442195	0.1263066691	0.033234255	0.0042592013	0.0513315492	-0.0570330795	0.049232179	0.029979932200000007	0.010504468999999999	0.0544374554	0.0979325463	-0.023499351600000003	0.0834972707	-0.0320040682	-0.0214435181	-0.10927673339999999	-0.0006142809	-0.0945193814	-0.0912648502	0.023927028599999997	-0.0766515481	0.0479316176	-0.1012028653	0.0780273882	0.0159373763	-0.1599544185	0.0302552825	0.0186531965	0.048135971900000005	-0.0328241519	-0.0959380269	-0.1018611819	-0.0173771054	-0.14591279640000002	-0.0876918345	0.029580127400000007	0.1053181984	-0.052271302	-0.10119963800000001	-0.040922500099999995	-0.0551419933	-0.0135251632	-0.0589641446	0.0665092238	-0.034103230400000004	0.09968044640000001	-0.0177474884	-0.0043565379	-0.0813460354	0.0173470361	-0.023237017599999996	-0.09726722480000001	0.0009159532	-0.0646893702	0.0041217666	-0.0082933948	-0.0286507402	0.0021567649	-0.0098204003	-0.0365214783	0.0360620526	0.021854880400000002	0.0070200625	0.0030060549	0.0797741065	-0.19414052440000001	-0.0030986778999999996	-0.005676660300000001	0.0136029242	-0.1144739166	-0.112411371	-0.0884539959	0.0456320542	0.0221498703	0.0271206292	-0.14297212410000001	0.0125699227	-0.1302994504	-0.0151949682	-0.11842404769999999	0.0712045582	-0.0997084924	0.0294299946	-0.10997830509999999	-0.0115932971	0.045419711200000004	-0.0414136425	-0.021215109300000003	-0.0192085293	-0.038327215	-0.0653968486	-0.14310470460000002	-0.060858194299999994	0.024325689700000003	-0.0407234663	0.20314413609999998	0.0714970789	-0.0941194013	-0.1382339899	-0.0539361875	0.043236988899999995	-0.027679457200000004	0.0043960246	-0.053935890599999994	0.0079830006	0.037005754700000004	-0.11052778210000001	0.0533267907	-0.055967128600000006	0.20217401289999998	0.0965675151	0.0141608864	0.066855405	-0.0346268375	-0.0461829104	-0.0396639325	0.0041119552000000005	0.11552253330000001	0.0681966021	-0.1787574932	-0.1122801924	0.0275090396	-0.0831271193	0.0999622824	-0.10164645550000001	-0.1556036658	0.0202601977	-0.0274389602	0.0979210862	0.097510525	0.0968275308	0.0	0.0	0.0	0.0	0.278326	0.26971429	0.07746536227600001	0.0727457982302041	0.0434293	-0.018960599999999998	0.0018861040984900004	0.00035950435235999976	0.00058662	0.00058662	3.4412302440000003e-07	3.4412302440000003e-07	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8909.557445248849	-32.854738286519925	1079.4338278757186	79380213.8701892	10272.826261489194	-3.866966083531224	14.953426691180812	105530959.39874204	6466.3315660769895	-1.3510350497826948	1.8252957057413288	41813443.92244369	6770.844858658745	10693.903696429015	0.98716	41.131115	0.06462801230000004	0.0518704	-0.030192921299999998	-0.053065443399999995	0.0029704428999999997	-0.08597545289999999	0.0134099988	0.0252818543	0.040388864100000005	-0.0991107985	-0.0263420252	0.0518054367	0.1535284075	-0.0489560417	0.047436124	0.0370739315	0.0253649463	0.0004960812000000001	0.0877514916	-0.0567711042	0.0021299756	-0.0301194652	-0.0509163285	0.026737947	-0.0747983207	-0.0686482854	0.0392894378	0.0386622848	-0.0021167658	-0.026429652	0.0834047213	0.1455184778	-0.10591739160000001	-0.0678626932	0.1200546277	-0.0199272729	0.0198606403	-0.0646217624	0.045739729699999995	-0.0292736257	0.053845055999999995	-0.117084204	0.044968670999999995	-0.0991075684	-0.0320952849	-0.0923986728	-0.1454037615	0.0145438175	0.0233758545	-6.50011e-05	-0.010412045600000001	-0.0751289182	0.0371237048	-0.051383084800000006	-0.0508561708	0.0215695429	0.0476051683	0.087853995	0.0793647787	0.016683281799999998	-0.0097057077	0.037183736099999996	-0.0068764925	0.0011210085000000001	-0.0469870159	-0.0025083462	0.0509233565	0.0219955808	-0.0434294783	0.047267425599999996	0.035255382200000004	-0.0656242403	-0.035462697200000004	0.0194747874	0.1304711631	-0.0249715769	-0.1222830843	-0.0821045889	0.0397607566	0.057565562800000004	0.0547316799	0.0025878948999999997	-0.0362648667	-0.09813809230000001	-0.016533656299999998	-0.1274156173	0.044415634100000004	0.0298033094	0.0390833512	0.094700409	-0.0741086367	0.025367884	-0.0449962075	-0.0677752438	-0.034082617999999995	0.0680639052	-0.0323983468	0.0147724691	-0.0125146205	-0.0155219668	-0.05470010980000002	0.0406833171	0.0023367832	0.06328577980000001	0.0384247195	0.0078697961	-0.0584639976	-0.0015697088	-0.0116332239	-0.0241360778	0.0334841732	0.018748474299999998	0.0193361017	0.08495041390000001	-0.032965153399999995	0.0146694076	0.0444236183	0.1325666992	-0.0072978409999999985	0.0720764326	-0.2703570227	0.0575794906	-0.0006960438000000001	0.026553771299999997	0.035949263700000005	0.0077467295	0.0698553392	-0.0085674811	-0.0816121422	-0.0624319877	-0.0536766702	-0.1088578118	0.0715888799	-0.0743238424	-0.0256282934	-0.0514399552	-0.0613008934	0.0209796943	0.0099410826	0.0390586969	0.09323713060000001	0.0669940832	0.067120369	0.025051399300000003	-0.033635484900000005	0.0201049662	-0.0002167066	-0.0179822465	-0.0015977727	0.0271078316	-0.1053816202	0.0268983352	-0.0061836431	-0.0125417419	0.0290312194	-0.0057918347	0.1197643484	-0.0751091805	0.08603392779999999	0.0532553022	0.0543934036	0.06972090780000001	-0.0591491945	0.0195146237	-0.025276277599999997	0.049084896100000004	-0.1004885886	0.041271935600000004	0.0244937314	0.0868713436	-0.0688226384	3.76584e-05	0.0872207302	-0.10636332970000001	-0.0206862807	0.040747689100000005	0.04940559	0.0284750408	0.0575496718	-0.0566476804	0.0778837595	0.0563580234	0.0544513133	-0.026750111099999998	0.052668686299999996	0.0528814714	-0.008571160500000001	0.0214503843	-0.1035918233	-0.0404984226	0.0487532034	0.0437394801	0.02087169	0.0127098101	-0.14996277789999998	-0.0325209952	0.0331451342	0.0144127553	-0.08960113119999999	-0.0020123809	0.0027677517	-0.193523433	0.0170442671	0.12538934599999998	-0.035177430499999995	-0.0307163102	0.020587090500000002	-0.0113076709	-0.0552389562	0.012293999299999999	-0.124771696	0.054362432599999996	-0.1372581791	0.0978316635	0.0971534967	0.09602669890000001	-1.23e-08	-1.23e-08	1.5129e-16	1.5129e-16	0.227174	-0.05115200000000003	0.051608026276	0.002616527104000003	0.0480688	0.004639499999999998	0.00231060953344	2.1524960249999977e-05	0.00076335	0.00017672999999999994	3.123349289999998e-08	5.827032224999999e-07	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
