global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	a_comp_cor_85	a_comp_cor_86	a_comp_cor_87	a_comp_cor_88	a_comp_cor_89	a_comp_cor_90	a_comp_cor_91	a_comp_cor_92	a_comp_cor_93	a_comp_cor_94	a_comp_cor_95	a_comp_cor_96	a_comp_cor_97	a_comp_cor_98	a_comp_cor_99	a_comp_cor_100	a_comp_cor_101	a_comp_cor_102	a_comp_cor_103	a_comp_cor_104	a_comp_cor_105	a_comp_cor_106	a_comp_cor_107	a_comp_cor_108	a_comp_cor_109	a_comp_cor_110	a_comp_cor_111	a_comp_cor_112	a_comp_cor_113	a_comp_cor_114	a_comp_cor_115	a_comp_cor_116	a_comp_cor_117	a_comp_cor_118	a_comp_cor_119	a_comp_cor_120	a_comp_cor_121	a_comp_cor_122	a_comp_cor_123	a_comp_cor_124	a_comp_cor_125	a_comp_cor_126	a_comp_cor_127	a_comp_cor_128	a_comp_cor_129	a_comp_cor_130	a_comp_cor_131	a_comp_cor_132	a_comp_cor_133	a_comp_cor_134	a_comp_cor_135	a_comp_cor_136	a_comp_cor_137	a_comp_cor_138	a_comp_cor_139	a_comp_cor_140	a_comp_cor_141	a_comp_cor_142	a_comp_cor_143	a_comp_cor_144	a_comp_cor_145	a_comp_cor_146	a_comp_cor_147	a_comp_cor_148	a_comp_cor_149	a_comp_cor_150	a_comp_cor_151	a_comp_cor_152	a_comp_cor_153	a_comp_cor_154	a_comp_cor_155	a_comp_cor_156	a_comp_cor_157	a_comp_cor_158	a_comp_cor_159	a_comp_cor_160	a_comp_cor_161	a_comp_cor_162	a_comp_cor_163	a_comp_cor_164	a_comp_cor_165	a_comp_cor_166	a_comp_cor_167	a_comp_cor_168	a_comp_cor_169	a_comp_cor_170	a_comp_cor_171	a_comp_cor_172	a_comp_cor_173	a_comp_cor_174	a_comp_cor_175	a_comp_cor_176	a_comp_cor_177	a_comp_cor_178	a_comp_cor_179	a_comp_cor_180	a_comp_cor_181	a_comp_cor_182	a_comp_cor_183	a_comp_cor_184	a_comp_cor_185	a_comp_cor_186	a_comp_cor_187	a_comp_cor_188	a_comp_cor_189	a_comp_cor_190	a_comp_cor_191	a_comp_cor_192	a_comp_cor_193	a_comp_cor_194	a_comp_cor_195	a_comp_cor_196	a_comp_cor_197	a_comp_cor_198	a_comp_cor_199	a_comp_cor_200	a_comp_cor_201	a_comp_cor_202	a_comp_cor_203	a_comp_cor_204	a_comp_cor_205	a_comp_cor_206	a_comp_cor_207	a_comp_cor_208	a_comp_cor_209	a_comp_cor_210	a_comp_cor_211	a_comp_cor_212	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2
8638.31461582729	n/a	74620479.40201539	n/a	10664.984659775611	n/a	n/a	113741897.79324912	6155.973350917408	n/a	n/a	37896007.89720531	6812.405918606035	10602.886034362582	n/a	n/a	n/a	n/a	-0.053306416399999994	0.10943248800000001	-0.026882994700000003	0.1098515741	-0.0091656503	0.8310489549	-0.0539224328	0.07621199	-0.0729566132	0.0813256753	-0.0098518114	0.036847607000000004	-0.0784480957	0.0581627996	-0.0813370371	0.0052976667	-0.1381723094	0.0205326238	-0.0041677005	0.0574928439	-0.0360548417	0.025355302799999997	-0.07431493980000001	0.07405662980000001	-0.07582847570000001	-0.026330946400000003	0.017097170800000002	-0.0314203346	0.0759641779	-0.06982202480000001	0.0159113703	-0.037193111099999995	0.0624709614	-0.1055645168	0.0054788566	-0.0538152765	0.0005266001	-0.0179440589	0.0635923989	-0.023972860699999998	2.68821e-05	0.032034238799999996	-0.0729298868	0.0342213123	-0.0020453118	-0.0953944469	0.0316025026	-0.012354038500000001	-0.0378999738	0.0198858172	-0.0303796377	0.0410512736	0.0661564375	-0.0635454352	0.0319502317	-0.0175849501	0.0846059271	-0.061868267699999986	-0.062140377999999996	0.0348096845	-0.16059004529999998	0.0730645578	-0.015462191	0.033932453599999995	-0.1460131047	0.031147222599999996	0.0022562112	-0.0758062394	0.057348599800000004	-0.0340221533	0.1062810553	-0.039864689700000004	0.054165095700000006	-0.0662520867	0.07848253179999999	-0.0571899754	0.0183548166	-0.1418153522	0.1096247279	-0.022984211299999998	0.091195445	-0.021385727200000003	0.0529080568	-0.025403959	0.0971910162	-0.0463530179	-0.0137255037	0.0730693449	0.1336908085	-0.0300883524	-0.05220269860000002	0.0556302754	-0.026644728399999998	-0.037111870400000004	0.0156376931	0.0325085242	-0.0974675172	-0.0091620253	-0.010701238500000002	0.020807439	0.0361544323	0.0724949117	-0.10658488210000001	-0.029444076200000002	-0.1049265569	0.0210108947	0.1435883188	-0.07220514139999999	-0.0048551007	-0.0698665327	0.0439745659	0.0495090412	0.0674752438	-0.0782769972	-0.028258998100000002	-0.0747065541	0.0952931759	0.0723304759	-0.0444469272	-0.013083533500000001	-0.0443991884	0.0884976612	0.0595679712	0.1718899229	-0.0346443012	-0.0008881528	-0.1441273357	0.0353813313	0.0337189402	0.014418210700000001	0.1662802289	-0.1066299303	-0.0623480733	0.0800175904	0.0399218524	0.0027582895000000003	-0.3966199845	0.6316403982	-0.22482921620000001	0.1285718959	-0.023972654399999998	0.2467234693	-0.09064849470000001	0.0612612041	-0.0187941131	0.0649326401	0.0513680609	-0.0069934801	0.0732185314	-0.024475036800000002	0.0137395746	-0.0358013754	0.1337130804	-0.0366130979	0.0410911647	-0.0200063495	-0.0386671912	0.0123630102	-0.0589767375	0.0276105577	-0.0726553759	0.0592031379	-0.0135572275	0.0391713856	-0.0345522671	0.0241612712	-0.0208759902	0.0070191351	-0.016474801	0.0289437965	-0.0417736987	0.0724753966	-0.030222498700000006	0.0354069002	0.023172493	-0.0040267981	-0.020625435	0.029353973399999997	0.0013240539999999999	0.0291105178	-0.0037944990000000002	-0.0086464136	-0.0187940654	0.0296111572	0.0142583474	0.0378902422	-0.0182138369	0.028124039500000003	0.0430458446	0.05980656400000001	-0.0026171577	-0.030693048900000002	-0.0155652111	0.0115650875	0.05875683440000001	-0.039889078	-0.023528467400000003	-0.0168682528	0.12136941970000001	0.005714231899999999	0.0454046163	-0.0027365031	-0.0388129353	-0.0755186185	0.0475669381	0.0094227784	0.049829393099999994	-0.010301612	-0.022682547400000003	-0.030145024700000002	-0.0244197498	0.06440190059999999	0.0430275075	-0.0194080841	-0.005682480500000001	-0.0091824539	-0.0226442252	-0.0085966027	0.0980552714	0.098046883	0.098032903	0.034664999999999994	n/a	n/a	0.0012016622249999994	-0.0461372	n/a	n/a	0.00212864122384	0.020594900000000003	n/a	n/a	0.00042414990601000017	0.000540498	n/a	2.9213808800400003e-07	n/a	-0.000565148	n/a	n/a	3.1939226190400004e-07	0.000994587	n/a	n/a	9.892033005689998e-07
8636.612124508398	-1.7024913188924984	74591068.98920546	2.8984766909043187	10347.990673311911	-316.99398646369985	100485.18745414836	107080910.97495031	6160.596691425597	4.6233405081884476	21.37527745465622	37952951.59440401	6758.1517396919335	10735.1932801454	1.1306	42.00708	0.08532025	0.045650800000000005	-0.0375738023	0.0361564779	-0.0544879594	0.0709060259	0.035156648	0.4045552368	-0.012069611200000002	-0.025723489900000004	-0.0707911041	-0.1216454216	-0.0322138621	-0.0195538585	0.08638506900000001	-0.0949506218	0.1355728342	-0.0486444946	0.18174966260000008	0.0442600668	0.0621186612	-0.0631964933	0.0456676439	-0.0580528936	0.0309454587	-0.12362653679999999	0.09718616599999999	-0.0189375405	0.0033714281	0.0003461729	-0.0959825638	0.0492502746	0.0273864977	0.0508515118	-0.0472929796	0.137353791	0.0641010967	0.0458249756	0.0142616919	-0.0126538574	-0.0822322273	0.056849486799999994	-0.0201083373	-0.0791184763	0.1172932681	-0.0717037625	0.0632605786	0.1850643093	-0.0673934776	0.0077945167	0.047105206	0.0283411944	-0.0103386841	-0.0750845583	0.0304838936	-0.019365969099999998	0.08536413050000001	-0.040744228199999996	-0.0224890034	-0.0812924613	-0.0232230468	0.1308318744	-0.0465111811	0.0880364356	0.031204948	0.0349729212	0.0553465844	0.0286278804	-0.0177374975	-0.12648397890000002	0.1231285768	-0.0247392492	-0.02753793	0.0218268776	-0.011361360800000001	-0.1238202298	0.07927778070000001	0.1094569517	-0.0027910577000000002	-0.0636381112	0.0390907081	0.038845448399999996	-0.0099542933	0.0472125991	0.032487957000000005	-0.025894884700000002	-0.044420624900000004	-0.0760082478	0.0032754845	0.0231755679	0.055961310199999996	0.0360549709	0.0048356690999999995	0.0306135105	0.0068560568	0.0048631694	0.07066891019999999	-0.0268097987	-0.0972971663	0.0325680176	-0.043632765899999995	-0.0943035423	-0.0516322774	-0.12157524060000001	-0.0724877086	-0.0275055148	-0.0745482175	-0.0035791803999999997	0.029526619599999998	-0.0196774963	0.0192733993	-0.0156872031	-0.047859111600000004	-0.108905313	-0.069696135	-0.07458091019999999	-0.0355393761	0.0341921795	0.0079787902	0.0319046405	0.0411730633	0.062184280599999996	0.1430375111	0.0706666037	-0.045872458600000006	-0.1343925847	-0.01312892	0.0431425456	-0.0680996011	-0.0526305779	0.0216503965	-0.0466324466	-0.0482312647	-0.0674562224	-0.0281506763	0.0096671907	-0.0916640798	0.0399746796	-0.1756952704	0.30586215769999997	-0.0489095381	0.0729502264	-0.0039774852	0.2001897113	0.0269423789	0.0236279362	-0.0335829755	-0.083239066	-0.0139003524	0.0554856122	-0.12075280220000001	-0.0460704654	-0.0570569335	0.060838342699999985	-0.12107033789999999	0.0134527178	-0.0116601206	-0.0048936587	0.0592817206	-0.0189730125	0.0378336021	0.0019067281	0.0670385623	-0.053679543200000006	-0.0633561117	-0.049832194	0.06695840480000001	0.018391545800000002	0.0320132058	0.0019391342000000002	-0.0026473848	-0.0343388579	-0.0852663159	-0.006438845699999999	0.0533920228	-0.0443012342	-0.0206988837	0.0272799245	0.0234827525	-0.021479171600000003	-0.0401585235	-0.0151636125	0.0649713514	-0.0514500366	0.023862289199999998	-0.017532389199999998	-0.0457651954	-0.07661188440000001	0.0932232091	-0.0286259872	-0.0554483297	-0.04428811690000002	0.0038880815000000004	0.0433285941	0.0286234289	-0.0459027012	-0.0072106075	0.0308988357	-0.0055486802	-0.0051516653	-0.23686959649999997	-0.0699024472	-0.0861454116	0.0038460883	0.0866310984	0.0596370288	-0.0348953032	-0.049000129100000005	-0.09322078630000001	0.0317123798	0.08299848809999999	0.0746584038	0.0635303648	-0.11453406599999999	-0.0200086208	0.0389310409	0.0313258986	0.02592413	0.033719955600000004	0.026049895400000002	0.098032903	0.09795742199999999	0.0978316635	0.0232126	-0.011452399999999998	0.00013115746575999995	0.0005388247987599998	-0.0104834	0.0356538	0.00127119345444	0.00010990167556	0.0206521	5.719999999999684e-05	3.2718399999996387e-09	0.00042650923441	0.000310149	-0.00023034900000000005	9.6192402201e-08	5.306066180100001e-08	-0.000477854	8.729400000000002e-05	7.620242436000003e-09	2.2834444531599998e-07	0.0005490930000000001	-0.0004454939999999998	1.9846490403599985e-07	3.0150312264900013e-07
8610.280162068557	-26.331962439840932	74136924.46931133	693.3722459331938	10177.46313327015	-170.5275400417613	29079.641912694507	103580755.82907306	6167.791094364266	7.194402938669556	51.75943364393712	38041646.98371916	6742.619312068738	10869.376728226334	1.070171	39.761841	0.04936755	0.0219694	-0.0385382047	-0.0196025425	-0.0731412226	0.0941012527	0.0028476156	0.1633200169	-0.0956020641	0.0474642944	0.12846184830000001	-0.08877765900000001	-0.0582061863	-0.0237994129	0.0528346015	-0.052340953600000004	0.14929041699999998	0.0231737516	0.1370554377	-0.1374675195	-0.07151855389999999	-0.0400215637	0.0984780856	0.0146391922	0.0837659456	-0.0555979014	0.08437807160000001	0.0243381905	-0.1296452005	0.10669236619999999	-0.0162202067	0.12215358220000001	-0.035551015	0.0037305309000000004	-0.022568254700000002	0.0721546293	-0.0329789858	0.060000688899999995	-0.0233916048	0.0779277261	-0.083055162	-0.0536805562	-0.0028919604	-0.04306804	0.08559423990000001	0.061652887	-0.1087435907	-0.0283982181	0.0395382348	-0.0399404028	0.0038548497	-0.119370528	0.0913670567	0.046013086200000004	0.0393979547	-0.0019048126999999999	-0.0223482863	0.0579765647	-0.0313265555	0.0442774607	-0.1038852199	0.0123823122	0.0378385635	-0.0835749491	-0.0091748303	0.0534559375	-0.0629569496	0.046722099	-0.0272251994	0.0257060027	-0.062060769	0.0028483596	-0.0449999411	0.0448288267	-0.0586068522	-0.2514655508	-0.0288941184	0.1361960078	0.0162583239	0.04675648650000001	0.0833736665	-0.11806938119999999	-0.0920815595	-0.11840118109999999	0.046688689699999994	0.1119541574	0.1290301866	-0.0073837125	-0.1123416431	0.01041092	0.025608623900000002	-0.06884842070000001	-0.0499371746	-0.0145073261	-0.1024718377	-0.040884537	0.0053479138	-0.037464394500000005	0.06999247480000001	-0.026024562200000004	-0.0715475113	0.051179347400000005	0.0435979788	0.026940580800000002	0.06543876309999999	-0.0798781182	-0.0213146183	-0.0585923138	0.08543285560000001	-0.0668162733	0.0071115970999999995	0.10285064140000001	-0.1841127082	-0.0672910053	0.0393330642	-0.0006521468	-0.1188445498	0.07246331269999999	-0.008922825	-0.1462966008	0.0009765783	0.0124913997	-0.0341472925	-0.0225214949	-0.0208158644	0.0830371206	-0.078830811	-0.11037977369999999	-0.06580347190000001	-0.0238922893	0.0653385219	-0.007879255600000001	0.06323644219999999	0.010045886	0.0275350918	-0.0014261165	0.0554895191	-0.033523203700000004	-0.10819595550000001	0.1007773565	-0.0451965971	0.130204599	0.0119428848	0.022893740099999997	-0.07281163410000001	-0.0491847324	-0.13983381890000002	-0.0379696704	-0.1020377035	-0.0123872734	0.0159987537	0.08502501400000001	0.0184200034	0.0735871437	-0.0810917327	0.0414545028	-0.1328199572	0.0634324929	-0.003560936500000001	-0.0184860713	0.098265701	-0.09301674480000001	0.10058046949999999	-0.0660230547	0.07569062389999999	-0.0623085043	0.018177814	-0.12691942109999999	-0.0897089436	-0.0356209824	-0.0503544789	-0.084978295	0.1929817925	-0.1521823084	-0.030003035	0.0945210499	-0.1397236899	0.0416809444	0.0347265969	0.0176082703	0.041096316	-0.0810955597	-0.1292104665	-0.0225677507	0.0378086708	-0.0189596413	-0.0059906987	-0.007802861199999999	-0.098489176	-0.0127726947	-0.05152008809999999	-0.027921178999999997	0.06072850480000001	0.0037312696999999995	-0.001420929	0.0315831815	-0.19041686559999998	0.0961273443	0.0029273192	0.05298978	0.0075567138	0.0763811862	0.0536267304	-0.052099027	0.0018539568	0.1164662848	-0.0458170305	0.0575678509	-0.0335001495	-0.0330545609	-0.053310242300000005	-0.061159850099999996	0.012952411	0.0063804335	-0.08682662740000001	0.0105727279	-0.0122411864	-0.015241281499999999	0.09513272789999999	-0.0707574985	0.09798817119999999	0.0977785816	0.0974295977	0.016013699999999995	-0.007198900000000001	5.182416121000002e-05	0.00025643858768999985	-0.0190538	-0.008570399999999999	7.345175615999997e-05	0.00036304729444	0.0116576	-0.008994499999999999	8.090103024999998e-05	0.00013589963775999998	0.000606364	0.00029621499999999995	3.67677300496e-07	8.774332622499998e-08	-0.000386179	9.1675e-05	8.404305624999999e-09	1.4913422004100002e-07	0.000444908	-0.00010418500000000002	1.0854514225000005e-08	1.9794312846400004e-07
8566.583466820503	-43.69669524805431	73386352.29400238	1909.4011756013322	10067.67166705878	-109.79146621137079	12054.166052842571	101358012.79569809	6161.9296187786695	-5.861475585596963	34.356896040549266	37969376.62678184	6731.261512143153	10834.428304176376	1.015378	37.726048	0.0173835	0.00988679	-0.044610190999999993	-0.0102925281	-0.0723627304	0.1387903834	-0.0316281203	0.026358741800000002	-0.15640815660000001	0.056297420599999995	0.013676625	0.060098400999999996	0.0532074637	-0.0241203868	0.012164259299999999	-0.115654866	-0.055484987	-0.0003458887	0.1578245807	0.048700513	0.0083000092	-0.0463420627	0.1252407076	0.0810689822	0.1683758404	-0.10394938449999999	0.0215056274	0.0647199928	-0.0372488661	0.08068357849999999	-0.0639309371	-0.027992694300000003	0.041102454	0.0216395042	-0.1030954956	0.0224643294	-0.0672100379	-0.0369166691	-0.050767310999999996	0.09487524300000001	-0.0735269105	-0.0194905513	0.0949604902	0.0726304238	0.0165634295	-0.11470556359999999	-0.0351518346	0.023047292900000002	-0.0227177837	0.0444431758	-0.0316576465	-0.043202101799999997	-0.002169762	-0.001273903	0.0667152447	-0.0575898119	-0.0441970509	0.0505048824	0.0541401251	0.046842945	-0.1721921756	0.019241171100000003	-0.021357647400000002	-0.16959551109999998	0.0170749413	0.06791948240000001	0.0814866049	0.1060205189	-0.040329679	-0.0508661241	-0.0347073117	-0.0949966268	0.032664023199999996	0.0597016777	-0.0230397465	-0.156883501	0.0629784107	-0.0528118307	-0.037067630899999995	-0.0400248084	-0.0684462652	-0.0472986987	0.0395525799	-0.0001013726	0.0348594821	-0.06884320370000001	-0.0731221846	0.1001273744	-0.059236852699999995	-0.0393323411	0.0819672934	-0.0252684042	-0.0632307797	-0.0213273533	-0.0476709933	0.0265914192	0.001849653	0.07887616	0.09594947699999999	0.1088797228	0.0402624268	0.030970184300000002	0.057214169	-0.0240698706	-0.054651844299999995	-0.02326348	0.026521723599999998	-0.020744851	-0.050454434699999995	0.0609671392	0.0386249883	0.032743121800000004	-0.05385508309999999	-0.0690762451	0.0502939855	-0.0608136528	0.08865112439999999	-0.0140210076	-0.055645702000000005	0.0249688173	0.1002975081	0.0113277594	0.0340691367	0.0325001473	0.0161894547	0.0517829615	0.0238493213	-0.1167905763	0.061427535899999997	-0.0445878005	0.0081140585	-0.10543705800000001	-0.1107670173	0.027816297799999997	0.0666584184	0.13166145699999998	-0.0349568618	0.00018855169999999999	-0.1207653566	0.018121174	-0.0936166567	0.0263450767	0.0077154347	-0.1482181802	-0.0487082313	-0.1136670797	-0.0649304518	-0.0097516588	-0.0485586313	-0.031713645299999996	-0.1259994383	0.026555735299999998	0.1251591527	0.0039851759	-0.1517762012	0.0574780041	-0.0980421453	0.0263253507	-0.054747790899999996	-0.0356458323	0.0185891267	0.0055495737	-0.0557098404	-0.08626443369999999	0.07390793450000001	-0.012329048899999999	0.0079103625	-0.0323593812	0.04722516349999999	0.0596599443	0.05291627	0.10119572130000001	0.114404535	-0.0697890553	0.0107003321	-0.1047392866	0.0486585023	-0.0221859314	-0.0348680913	-0.0854565266	0.0904862303	0.022594235299999998	-0.0196640596	0.0590929064	0.0045126653000000004	-0.0380256346	0.07224471360000001	-0.044542056	-0.0193933991	0.0905426887	0.0311424851	-0.08061573	-0.0068497344	0.0653270101	0.030387228999999998	0.0176001204	-0.0248710673	-0.0671200998	0.0629988221	-0.0935874759	-0.0263266041	0.0643910568	-0.0417030019	0.0317866026	-0.0706294294	0.042875677800000005	-0.0250447309	-0.008855079699999999	-0.053131192699999996	-0.046780965300000005	0.0501856663	0.0749085449	-0.0996900564	0.0631089777	0.006072081899999999	-0.0104022207	-0.0985309817	0.0705289974	-0.0070006323	0.0981105564	0.0979210862	0.097510525	0.0968275308	0.016004	-9.699999999994437e-06	9.408999999989205e-11	0.00025612801600000004	-0.0253389	-0.006285100000000003	3.950248201000001e-05	0.0006420598532100001	0.0157746	0.004116999999999999	1.6949688999999995e-05	0.00024883800516	0.000606364	0.0	3.67677300496e-07	0.0	-0.000261312	0.00012486700000000002	1.5591767689000005e-08	6.828396134400001e-08	0.000430341	-1.4567000000000052e-05	2.1219748900000154e-10	1.85193376281e-07
8530.552247516007	-36.031219304495615	72770321.6476004	1298.2487645686572	10037.23991345922	-30.43175359955967	926.0916271443131	100746185.08033884	6154.780400253576	-7.149218525093604	51.11132551954154	37881321.77534557	6720.26691164765	10690.701814329324	0.988369	36.722519	0.02514295	0.012059299999999998	-0.0485328487	0.045123518099999996	-0.0482146106	0.1537045819	0.05241403730000002	-0.0058206285	-0.1377810176	-0.0711223428	-0.005783293100000001	0.1292872558	0.08873761179999999	-0.0620717101	0.020602641	-0.005590415	0.0678721069	0.0377652815	0.0777287448	0.0334320356	-0.1665649247	-0.0166909068	0.0288441623	0.0206620782	0.0905378572	-0.0039504598	-0.0590868617	0.0496262247	0.06605844599999999	-0.012624120800000001	-0.0220533526	-0.036536269100000004	-0.0605231046	-0.016480631699999998	-0.0580727466	0.0594521999	-0.0622842507	-0.0706608611	-0.0824275246	0.010983755900000001	0.007850603000000001	0.0406150293	-0.0707855239	0.0240243493	0.0466954889	-0.1444151344	-0.0647860201	-0.0016656776000000002	0.0001465451	0.0468767271	-0.0370275276	-0.0198451149	-0.0434073225	-0.012055350900000001	0.06321661860000001	-0.0456056654	0.015620379299999999	0.019986146899999998	0.149635729	0.07657717	-0.0562519525	0.019011088	0.0068008525	-0.2091798262	-0.0128498806	0.0729646854	0.0126602079	-0.0640660196	0.0643355919	-0.049586033200000004	0.0435044826	-0.1396658918	-0.0436968207	-0.0809818113	0.1233169686	-0.0059446835	-0.06948221190000001	-0.0809905468	-0.0291917647	0.0195833454	-0.053172217199999997	0.0641499322	-0.0445337087	0.0920206177	0.0121475626	0.0280455185	-0.054485953899999995	0.0248582891	-0.0373069014	-0.022480997000000003	-0.0099887825	-0.0926115366	0.08961891220000001	0.0305709992	0.0104986025	-0.0537755675	-0.1109541705	-0.0788164007	0.06809077200000001	0.0050933602	-0.0144236222	0.0868006364	0.06071718490000001	0.14098670060000001	0.0833076143	-0.0196920272	-0.10657997779999999	0.0200877871	-0.14211107039999998	-0.0050259894	0.009197500899999999	0.0202069748	-0.0081386639	0.0650074269	0.0125988482	-0.050363276299999996	-0.0179375422	-0.015275362800000001	-0.1068405202	-0.0741484424	0.0464872113	0.0421935387	-0.0360846451	0.030689869300000002	0.0115541158	-0.0588599367	-0.0616721448	0.0875096347	0.1236131695	0.023526892799999997	-0.0665694611	0.014237747	0.111340248	0.0462554695	-0.053867020099999996	-0.0046332733	-0.1512661382	-0.0326536189	-0.1238020026	0.0120002132	-0.0046238004	-0.0746145275	-0.0178405605	-0.18788068800000002	-0.0773963681	-0.025192538900000002	-0.0006886269999999999	-0.0438261692	-0.0854797434	-0.1395836714	-0.0228215832	0.0485116085	-0.0476321443	-0.124185978	-0.08923597189999999	0.0453809467	-0.0543917225	0.0214422807	0.0252619331	0.044819163499999995	-0.11093584029999999	0.0356086264	0.0206674636	0.0412146846	0.0156505686	0.0144813674	-0.031204947400000002	0.0683781564	0.0087884542	0.0316015886	0.0715110943	0.041975339800000004	0.0998708893	0.057037643799999996	0.0654822991	0.0316210505	0.0665608567	-0.028968114500000006	0.0933973109	0.0161632853	0.018116921	0.0524542108	-0.06499055620000001	-0.0031813362	0.0157329875	0.0527769005	0.0055681767	-0.0553562856	-0.0412842556	-0.049241174900000004	-0.11653122490000001	-0.10510543300000001	-0.0896256465	0.0208466999	0.0158989693	0.20462113269999999	0.0302485529	-0.08560775179999999	-0.0297502929	0.1338674312	0.051899395300000005	-0.14361000470000002	0.0383811972	-0.1074122282	-0.010068449	0.0148812579	-0.0559768	0.028779753300000002	0.0799114426	-0.0318009313	-0.0501706214	0.006266680699999999	0.0519172348	-0.0645345435	0.06781677280000001	0.0134818459	-0.0359774087	-0.0791048229	-0.1526961486	-0.0575312059	0.0978316635	0.0971534967	0.09602669890000001	0.013236500000000002	-0.0027674999999999987	7.659056249999994e-06	0.00017520493225000005	-0.0275817	-0.0022428	5.030151839999999e-06	0.0007607501748900001	0.0220894	0.006314800000000002	3.987669904000003e-05	0.0004879415923600001	0.000773331	0.00016696700000000007	5.98040835561e-07	2.787797908900002e-08	-0.000367672	-0.00010636	1.1312449600000002e-08	1.35182699584e-07	0.000433371	3.030000000000003e-06	9.18090000000002e-12	1.87810423641e-07
