global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	a_comp_cor_85	a_comp_cor_86	a_comp_cor_87	a_comp_cor_88	a_comp_cor_89	a_comp_cor_90	a_comp_cor_91	a_comp_cor_92	a_comp_cor_93	a_comp_cor_94	a_comp_cor_95	a_comp_cor_96	a_comp_cor_97	a_comp_cor_98	a_comp_cor_99	a_comp_cor_100	a_comp_cor_101	a_comp_cor_102	a_comp_cor_103	a_comp_cor_104	a_comp_cor_105	a_comp_cor_106	a_comp_cor_107	a_comp_cor_108	a_comp_cor_109	a_comp_cor_110	a_comp_cor_111	a_comp_cor_112	a_comp_cor_113	a_comp_cor_114	a_comp_cor_115	a_comp_cor_116	a_comp_cor_117	a_comp_cor_118	a_comp_cor_119	a_comp_cor_120	a_comp_cor_121	a_comp_cor_122	a_comp_cor_123	a_comp_cor_124	a_comp_cor_125	a_comp_cor_126	a_comp_cor_127	a_comp_cor_128	a_comp_cor_129	a_comp_cor_130	a_comp_cor_131	a_comp_cor_132	a_comp_cor_133	a_comp_cor_134	a_comp_cor_135	a_comp_cor_136	a_comp_cor_137	a_comp_cor_138	a_comp_cor_139	a_comp_cor_140	a_comp_cor_141	a_comp_cor_142	a_comp_cor_143	a_comp_cor_144	a_comp_cor_145	a_comp_cor_146	a_comp_cor_147	a_comp_cor_148	a_comp_cor_149	a_comp_cor_150	a_comp_cor_151	a_comp_cor_152	a_comp_cor_153	a_comp_cor_154	a_comp_cor_155	a_comp_cor_156	a_comp_cor_157	a_comp_cor_158	a_comp_cor_159	a_comp_cor_160	a_comp_cor_161	a_comp_cor_162	a_comp_cor_163	a_comp_cor_164	a_comp_cor_165	a_comp_cor_166	a_comp_cor_167	a_comp_cor_168	a_comp_cor_169	a_comp_cor_170	a_comp_cor_171	a_comp_cor_172	a_comp_cor_173	a_comp_cor_174	a_comp_cor_175	a_comp_cor_176	a_comp_cor_177	a_comp_cor_178	a_comp_cor_179	a_comp_cor_180	a_comp_cor_181	a_comp_cor_182	a_comp_cor_183	a_comp_cor_184	a_comp_cor_185	a_comp_cor_186	a_comp_cor_187	a_comp_cor_188	a_comp_cor_189	a_comp_cor_190	a_comp_cor_191	a_comp_cor_192	a_comp_cor_193	a_comp_cor_194	a_comp_cor_195	a_comp_cor_196	a_comp_cor_197	a_comp_cor_198	a_comp_cor_199	a_comp_cor_200	a_comp_cor_201	a_comp_cor_202	a_comp_cor_203	a_comp_cor_204	a_comp_cor_205	a_comp_cor_206	a_comp_cor_207	a_comp_cor_208	a_comp_cor_209	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05
8838.53987250192	n/a	n/a	78119787.07780626	9494.25596443992	n/a	n/a	90140896.318303	6445.371495279504	n/a	n/a	41542813.71216156	6752.3929493735595	11753.701815426492	n/a	n/a	n/a	n/a	-0.0348119941	0.071712818	-0.7830944523000001	0.18862913879999998	-0.0400850346	0.0632295284	-0.1332075898	0.0082595124	-0.0395842692	-0.0062214748	0.081227672	-0.014255001399999996	0.026126962099999998	-0.0846195814	0.0042164954999999995	-0.0501660232	0.0489395235	-0.0024238317000000002	0.012315813500000002	-0.043638714800000006	0.10115461099999999	-0.0621637384	0.0168659151	-0.036016166	0.003562577100000001	-0.012410920700000001	0.028695390299999998	-0.048922361100000006	0.0237313361	-0.08405555869999999	0.0041355718	-0.0517941204	0.0156252104	-0.0325311287	0.013505773600000002	-0.0027795777000000003	0.0511445396	-0.0585163879	0.03489415	-0.0016017263	-0.0813539649	0.024274074500000003	-0.0203756127	-0.06740707900000001	0.08606867650000001	-0.0472765713	-0.0013201912	0.073744669	0.079443992	-0.0906824386	0.040168527	-0.0755636516	0.0537899268	-0.0483025782	0.0184680549	0.002859884	-0.1088772735	0.06852910849999999	-0.0641646359	0.0709470021	-0.0010326729	0.053631974699999994	-0.0005120839	0.06173130950000001	-0.021950203999999997	0.0296514778	-0.0995044982	0.035923840299999996	-0.112639352	0.0114499872	-0.028742640299999997	0.0446720165	-0.0387766991	0.0801034551	-0.08398582	0.0147279345	-0.0102179299	0.0701924782	0.0562124766	-0.0157670168	-0.09094302539999999	0.071526302	0.0899896738	-0.1345328907	0.0624606526	0.0228767754	-0.047162038499999996	0.035072332000000005	0.0250162412	0.0496635846	-0.1375316608	-0.0701919785	0.14733848230000002	0.0480667329	-0.1005074541	-0.14557188640000002	0.050217581	0.0056591251	-0.0916856537	-0.1444667322	-0.09865733480000001	0.0226434621	0.12335113810000001	-0.0015356239000000002	-0.0063386284	-0.0618496058	-0.1159089752	0.12346569449999999	0.047323752000000004	0.020003319199999998	0.0196369421	-0.0616715445	-0.0724630857	0.1429590499	0.08890238660000001	-0.037537635	-0.1325715731	-0.0060833675	-0.0006715279	0.1642373647	0.0386330715	-0.0812903379	-0.0568081476	-0.0293463986	-0.0073406396999999984	-0.044736606500000005	0.0235621352	0.0916101651	0.005647379399999999	-0.1589381777	0.014982421299999996	-0.0360613609	0.2952978859	-0.022309907400000002	0.524687129	-0.2520185693	0.36169908	-0.0681484938	0.0127963865	-0.3549777995	-0.0922291217	0.08701597650000001	-0.1056959996	0.0228885094	-0.0266745383	0.057119053499999996	-0.0263302348	0.0738047428	-0.029842084300000002	0.0387093142	-0.0092810012	-0.04221903230000002	0.0375391816	-0.0230308976	0.0130471258	-0.0043709158	0.0491197542	-0.0488969038	0.021287139700000002	-0.0129695095	0.0118278754	-0.0293834628	0.0092954174	-0.0115910138	-0.0044202218	0.0713870992	-0.0135847392	-0.0320695364	0.014619671200000003	-0.00038352330000000003	-0.0240001606	0.0386975627	0.0048827987	0.0404542677	-0.0173607019	-0.0103767131	0.0512154368	0.031042470899999997	-0.0030836778000000002	-0.0571726283	0.0222347915	0.10791650650000001	-0.0636895876	-0.0070633052	-0.0656240694	0.0150183285	0.0223958654	0.0334250877	-0.029603001	-0.049415481500000004	0.0036883821	0.0038526623	0.030545222	-0.0153283254	-0.0544366204	0.0227142821	0.0322361219	0.0465319326	0.0074420178000000016	0.0346868626	-0.0495657026	-0.0134903425	-0.0190964944	0.0393602237	0.0449109588	-0.0197539593	-0.0081891026	-0.0381450342	0.0024876387	0.0293543635	0.0006784686	0.0980552714	0.098046883	0.098032903	0.0	n/a	n/a	0.0	0.0	n/a	0.0	n/a	0.0507799	n/a	n/a	0.00257859824401	0.0	n/a	n/a	0.0	-0.0	n/a	0.0	n/a	0.0	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8759.758953156246	-78.78091934567419	6206.433252949621	76733376.91740102	9250.548055955962	-243.70790848395882	59393.544657625636	85572639.33555062	6444.441256781684	-0.9302384978200279	0.8653436628264622	41530823.11210989	6720.079325196212	11358.624391188576	1.125469	56.732418	0.2222932	0.153771	-0.1254410251	0.13501318	-0.37378476850000003	0.046605038099999996	0.0715143462	0.024087270299999998	-0.026141303900000003	-0.0254876273	0.07954948519999999	0.0031938418	-0.0278392225	-0.0898744966	-0.0483794084	0.0608638229	-0.035455194	0.0837078941	-0.08512009779999999	0.034725036800000005	-0.11188302650000001	0.0486096097	-0.0921640997	0.077787675	-0.0816857755	-0.0099979037	0.053729877300000006	-0.040805999	-0.1190685502	0.056531624	-0.021542324300000002	-0.0303020861	0.0255481452	0.0788879423	-0.06271144690000001	0.1650752087	0.0830737498	0.0228930289	-0.0287886636	0.0481211276	0.032202673700000004	0.023173015800000002	0.1236872074	-0.0300892392	-0.026315525899999997	0.0779417642	-0.09035928609999999	0.028713406400000002	-0.1040363106	0.0968342594	-0.013663241000000001	-0.0370340887	0.1942532302	-0.0673255083	0.0078935086	-0.1337164168	-0.0782064359	0.1055155084	-0.0978527815	-0.0478559196	-0.0034532357	0.0317466733	0.055971135	-0.0029535232	0.0507702576	-0.022077277000000003	0.043447535700000005	-0.0746137072	0.038369344900000005	0.0458432692	-0.0954562822	0.1179122436	0.0420813186	0.0648411008	-0.0018883611	-0.0696577267	-0.0076005119999999985	-0.0334043057	-0.0247282538	-0.053937018899999994	0.005482839200000001	-0.048479791200000004	-0.1082713484	-0.0730086223	-0.0144059883	-0.028038278700000002	0.0944452496	-0.061445222800000004	-0.0385145968	-0.0395061082	0.0306804465	0.0042886823	0.032420967	0.028522782599999998	0.0081753724	-0.0178104699	0.1028023402	-0.0557542112	0.012120798600000001	0.10592484769999999	0.0211932834	0.0136532204	-0.1574483623	-0.0430034783	0.1149314738	-0.004374092800000001	-0.0145665247	-0.0454527328	-0.0869989176	-0.0179975979	0.0345477893	-0.0477282978	0.031018616000000002	0.10136133630000001	-0.0569688542	-0.029973759	-0.17892045550000002	-0.0221789358	-0.0662039314	-0.0041770722	-0.0232498327	-0.032385439700000004	0.074218333	0.0473350947	0.046651674299999994	-0.0152152321	-0.056696929699999996	0.0621002347	0.0034709331	-0.030260469900000007	-0.1430141577	0.165292351	0.1126832483	-0.1124070101	0.1604808934	0.008332575699999999	0.3231331295	-0.0282043912	0.1492086314	-0.057468269599999997	0.040139024700000005	-0.024646629700000002	0.0342481218	0.016659071	0.062416676	0.08311445099999999	-0.0492486964	-0.055302919299999996	0.0466838517	-0.1254146802	0.0685036246	-0.011173348999999999	0.006624554	-0.0035118656	-0.0343417377	-0.0994570675	-0.015580519499999999	-0.0044782429	-0.0363786964	0.0813610199	-0.004960922800000001	-0.0131193203	-0.0069803449	0.0398021461	-0.0732541392	0.0096159213	0.013946431799999999	-0.07070728280000001	-0.020719956	-0.0396979796	-0.0200244278	0.0159826592	0.0327541601	-0.0913464415	-0.0206918988	-0.10454279710000004	0.022610384100000002	-0.0187137681	-0.0037187257000000002	-0.056053582000000005	0.027213140099999998	0.0663735408	-0.107701058	-0.1132209965	-0.010140877900000001	-0.0199295354	0.13397376460000002	0.1052014308	0.0027353234999999997	-0.025859914700000004	0.06694357620000001	0.021855385499999998	-0.0281161873	-0.036633670099999995	-0.008391548	0.0812902091	0.0900624575	-0.0263139493	-0.0203885062	-0.1274045518	-0.1031759773	-0.13036006560000002	0.1398237005	0.0386859715	-0.044718084400000004	-0.0529940267	-0.0594946369	0.0373404139	0.027505334700000002	-0.0084131375	-0.026796146200000003	0.0027531179999999997	-0.0082266193	0.098032903	0.09795742199999999	0.0978316635	0.0	0.0	0.0	0.0	-0.144603	-0.144603	0.020910027609000004	0.020910027609000004	0.0988266	0.04804670000000001	0.0023084853808900013	0.009766696867560005	0.00059287	0.00059287	3.5149483690000003e-07	3.5149483690000003e-07	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8702.865563199795	-56.893389956450854	3236.8578207367823	75739869.01112889	9102.780401351378	-147.7676546045841	21835.279747339664	82860611.03522675	6427.975837833297	-16.465418948387196	271.1100211459081	41318873.37176868	6689.302444593059	11298.790513183672	1.260293	63.52859100000001	0.19708156	0.143083	-0.0143595042	0.0260401719	-0.1876526536	0.046203607599999995	-0.1179650028	-0.1024167846	0.0958937417	-0.039489559300000004	0.0706309287	0.1549271457	0.1334017309	-0.0374849486	-0.1772449638	0.061825096600000004	-0.021083379300000003	-0.010182535500000001	0.009268189	-0.0865422156	0.0221362676	-0.068686296	-0.024201470699999998	0.0604597297	0.0860659406	0.0626601755	-0.0304004809	0.10499234869999999	0.060441477599999995	0.07812765719999999	-0.0262114565	0.105543723	-0.0335655049	0.0173374745	0.018129421200000002	-0.1451171328	-0.0581455071	0.0251505833	-0.1277059684	0.0044340853000000005	-0.19078683219999998	0.023517119500000003	0.047611756500000005	0.0271570027	0.09700602189999999	0.07448114780000001	-0.044870201	0.1193251042	-0.029776283799999997	-0.0671942871	0.10424297310000001	-0.0587944648	0.1627088152	-0.1865614344	0.0796245474	0.10347426929999999	0.0217991026	-0.054692574800000004	0.1583950327	-0.043752548200000005	0.0062167822	-0.010615314099999999	0.027748854	-0.0239841331	-0.0865617816	-0.0317207501	0.0281801525	0.0502373236	-0.0083518837	-0.08195745269999999	-0.10639060289999999	-0.0094833599	-0.0249567098	-0.144180145	0.0309920419	-0.060890398	-0.00042003440000000004	-0.1318703075	0.1386403678	0.0837815338	0.0418733033	0.0104673288	0.0609518518	-0.0623961665	0.0414446824	-0.029369593	-0.0714587084	0.0017108125	0.0419730533	-0.062171586699999996	0.17246636489999995	0.034542094	0.0327279344	-0.1561509427	-0.0380920285	-0.1089821772	0.0265743162	-0.09570360509999999	0.000755472	0.0443373927	0.1308321093	-0.0478133024	0.1086581933	-0.0126951849	-0.0348897047	-0.0322618634	0.060098880099999995	0.08007923900000001	-0.0458519894	-0.055434268099999996	-0.0663954742	-0.0467908326	0.029963395	-0.053164665800000004	0.07653947280000001	0.018653169299999998	0.0197302701	0.066923753	-0.0771677682	-0.0633735251	0.0017855559	0.1490345825	-0.0772086015	-0.020864585300000002	0.050370444	0.0600455053	0.0188618726	-0.0147872633	-0.025178664500000003	-0.0897986142	-0.12230676189999999	0.11420168619999999	0.025866322400000002	0.09720473730000001	0.1737159216	0.0246230666	0.1914045436	-0.0430524547	-0.1143690085	0.0230602648	-0.12303375720000001	0.0173009772	-0.15871574859999998	0.06510429400000001	-0.029005347799999998	0.0349542161	-0.10958212369999999	-0.0178666517	0.0036584094	-0.049144926	-0.0944113477	-0.0325722	0.0408791856	0.1071572313	-0.017116878500000002	0.12211050970000001	0.0318754961	0.0971768471	-0.016205058799999998	-0.0729516503	-0.0040661615	-0.1257703	-0.0315934302	0.020347727700000002	0.0558186292	-0.0022362627	-0.0010303907	-0.1498180601	0.1422470224	0.0858649525	-0.0757775423	-0.0948292511	-0.0134554898	0.0400045397	-0.024971279	-0.049403747000000005	1.89468e-05	0.0381828796	-0.1921433384	0.057126770199999996	0.035129888399999996	-0.0280158068	0.0707463301	-0.059983536500000004	0.0910452911	0.1030731616	-0.04470918	-0.15072209	-0.013602191100000001	-0.030316658700000002	0.0184590853	0.1209401951	-0.0166623588	-0.0429158556	-0.0661901583	-0.056704855599999986	-0.0483310791	-0.0522642746	-0.09954007279999999	-0.016248358	0.056577124699999995	0.0521794254	-0.0884613573	-0.0190350206	0.08090125990000001	-0.1466941475	-0.0709268679	-0.0015917801000000001	-0.030350253799999997	0.0171364642	-0.06252675690000001	0.0030181448	-0.0602467945	0.09798817119999999	0.0977785816	0.0974295977	0.00216439	0.00216439	4.6845840721e-06	4.6845840721e-06	-0.00477411	0.13982889	2.27921262921e-05	0.019552118478632103	0.0770793	-0.02174730000000001	0.0004729450572900005	0.005941218488490001	1.86271e-05	-0.0005742429	3.2975490820040997e-07	3.4696885441e-10	9.25767e-05	9.25767e-05	8.570445382889999e-09	8.570445382889999e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8717.96691743245	15.101354232654558	228.05089966011369	76002947.17344666	9008.269966019574	-94.51043533180382	8932.22238660707	81148927.7806903	6423.690934031819	-4.284903801478322	18.360400587923365	41263805.21596258	6671.851822941975	11400.60122201232	1.21906	61.45015	0.27201089119373995	0.19233	0.0936593166	-0.0993876762	-0.0910095836	0.0651688654	0.07336048190000001	-0.1440858776	0.1131927569	-0.1787983265	0.005750254399999999	0.0406401165	-0.013793048	0.0899262717	0.184013851	0.006820869	0.0498773475	-0.1510505435	-0.0989695481	0.030891789399999998	-0.0670137985	0.1293341966	-0.0569762657	-0.0702825786	0.024969205	0.08793027560000001	-0.1720906656	0.0760170479	0.0649620488	0.1168578845	0.0757482965	0.11829079560000001	-0.07173102860000001	-0.0270509457	0.0813204242	0.0064239739	-0.0790499605	0.0735548717	0.0545843976	0.0928381558	0.0440680297	-0.026115407799999997	0.0821554914	-0.0375625282	-0.0446559291	0.0053310199	-0.0010466689	0.006088823	0.12297417990000001	0.0451459501	0.046128200999999994	0.052038708200000006	0.1383380349	-0.0756340876	0.0813642928	0.12815076890000002	-0.0616438259	-0.06905444849999999	-0.1795990699	0.0803515216	0.0330467088	0.0026855069	-0.0634375875	0.0361773157	0.0874591656	0.0732859315	0.048245729400000006	0.026233599399999998	-0.0280647069	-0.0122886496	0.0394940239	-0.1262346571	-0.051596127199999994	-0.0234812178	0.15907324	-0.1554812246	-0.0060233503	-0.0216628101	-0.0330828189	-0.0821662851	-0.0308877126	-0.0866941407	0.0042888145	0.009304843	-0.0019906314000000002	0.049307505999999994	0.05791379820000001	0.0205571834	-0.0487253328	-0.0691834579	0.01209583	-0.0771664593	-0.0703244021	-0.021299479500000003	-0.0245779564	-0.0201624005	-0.0655693524	0.08163700780000001	-0.0360322775	-0.0060846185	-0.051885086100000005	0.0090754599	-0.0885454833	0.017466193	-0.011181937900000001	0.059016005499999996	-0.0098531901	-0.0404962855	-0.0684146929	0.0113733162	0.0030047968	0.0451499487	-0.0175943979	-0.032070549	0.098430873	-0.1356323435	0.13578633	0.1485162743	0.0980453057	0.0281455028	0.022610288399999998	-0.0075514176	0.0812302578	0.1275124391	-0.0570683629	0.0441841886	-0.1532599502	0.1032348858	0.0500797812	-0.0759454067	0.0332257175	0.1312975565	-0.11053358699999999	-0.0453082388	0.09789912419999999	0.10094502720000001	0.1027474515	0.0483640447	-0.0892404441	0.1275766016	-0.0830713629	-0.0565697434	0.1380566524	-0.12737066449999998	-0.0489925696	-0.0778708941	0.0317984544	0.07341051030000001	-0.0407155596	0.0474552351	0.0906885341	0.0448140592	0.0343661486	0.12178387539999999	-0.0254147064	0.040786854500000004	-0.0228092787	-0.1073276701	-0.0356579554	-0.0049133755	-0.0895666557	0.0454535637	0.0175816944	0.07918512330000001	0.08854619359999999	-0.0570939588	0.0698854778	-0.0800519477	-0.1014059478	0.0205856651	0.0649542559	0.1368177293	-0.0696168027	0.0437031667	0.0375017015	0.0213255868	-0.022598406	0.0637262837	0.1102394398	-0.010637401299999998	-0.0591187315	0.028922827999999998	-0.0444404266	-0.119953498	0.0755963274	-0.0245772725	-0.0164694204	-0.0160786518	-0.1458046718	0.027299839	-0.035302658	0.10526104619999999	0.0419640154	-0.04640941639999999	-0.0770257116	0.022514362599999997	0.0752265052	0.1098248469	-0.014592571499999997	0.0429293601	0.0539027829	-0.0100095412	-0.0043803691	-0.0643312029	0.10148988880000001	0.0379309305	-0.0793470512	0.054471173600000006	-0.0369716015	0.034964560299999996	-0.0884416689	-0.0822083747	0.09229801189999999	0.0979210862	0.097510525	0.0968275308	-1.19374e-09	-0.0021643911937399996	4.6845892395392614e-06	1.4250151875999996e-18	0.180361	0.18513511	0.032530090320999995	0.0342750089547121	0.052483100000000005	-0.024596200000000002	0.0006049730544399999	0.0027544757856100004	-0.0010911	-0.0011097271	1.23149423647441e-06	1.19049921e-06	-0.0	-9.25767e-05	0.0	8.570445382889999e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8747.751435756236	29.784518323785964	887.1175317799416	76523155.18177529	8990.533850621801	-17.736115397772664	314.56978940310864	80829698.91917647	6435.252359071478	11.561425039659298	133.666548947661	41412472.92493503	6679.635519904998	11352.794107337357	1.270374	64.036766	0.320714400360813	0.215931	-0.0545541867	0.0408555156	0.029715778199999997	0.0824551355	0.1031426669	-0.070377824	0.0838471626	-0.0646796572	-0.09723341699999999	-0.10284986859999999	0.0813877471	0.0208295133	0.0446232882	0.027109471200000002	0.060994729299999995	-0.0393526514	0.15114033	-0.0231474517	0.0932062635	0.0100281363	0.010297340600000001	0.0932497818	0.1287721997	0.0918795257	-0.0471320999	-0.0789027455	-0.019244477	-0.031498539900000004	0.0362979391	0.1080109481	-0.037333756600000004	0.0059551224	-0.06896235839999999	-0.0684624496	0.0103706618	-0.0360859321	0.005397299300000001	0.039179601200000004	-0.0005314924	-0.0072088173	0.0161809601	0.0363160758	-0.011187096899999999	0.0345734879	-0.055076315	0.062467875	-0.0396183025	0.052130921100000005	-0.0371717664	0.1178956382	0.1317899924	-0.0439287797	0.11041534720000001	-0.046675279900000005	0.053958822000000004	-0.0200624345	-0.0492099474	-0.0497911221	0.1068553274	-0.061389054400000004	0.0029689559999999996	-0.0671158941	0.061588677	0.0772944238	0.0321689506	-0.0138335383	-0.0018631943	0.0029808893	0.006364256899999999	-0.0126471069	0.0051328997	0.0222812372	-0.0360863429	-0.0325214515	-0.0411879697	0.0256496786	-0.1178002477	-0.056128552699999994	-0.0118354284	0.0308522413	-0.0595188482	0.0373776182	-0.010698706200000001	-0.1278415695	0.0204684811	-0.0130504923	-0.0436510528	-0.0790629372	0.0555851847	-0.1750927405	0.031605330699999996	0.0325946476	-0.0188313327	-0.0142944463	-0.0030343279999999998	-0.0938093482	-0.025366193500000002	0.0471996363	-0.0335242724	-0.036420769	0.1132136386	-0.0278386283	-0.0507427136	0.10018316960000001	0.0668748936	0.025162509	0.0625550245	-0.0036156975	-0.034925657	0.0236332555	0.09640656619999999	0.0897202566	0.023895248799999998	0.0095046435	0.0361591696	-0.1633985086	-0.0388205323	0.0019970507	-0.034975493999999996	-0.0587664049	0.0533587376	-0.0887910208	-0.0678848505	-0.046535777199999996	0.066487185	0.042213691799999994	-0.1442540594	0.0171130608	0.1066915445	0.0350782125	0.0424988884	-0.06930812730000001	-0.005959603199999999	0.1255299199	0.0548632354	0.06185652320000001	-0.1000484288	0.11767623890000001	0.1110573515	-0.0151338516	0.0615257293	-0.0448539809	0.0614078225	0.0425720505	-0.0740246185	0.0271920865	0.0035980852	0.0884380308	0.023267638900000002	-0.091972852	-0.030167826600000006	-0.030729310299999996	0.0318397853	-0.0039409464	0.012674811299999998	-0.11652366089999999	-0.1182462099	0.044692803899999994	-0.06551119650000001	-0.0359500799	0.0577372707	0.0038262289	-0.0557956558	-0.027588896499999998	-0.010199583199999999	0.0325071212	-0.0137705458	0.0361031596	-0.0254573294	0.0401516496	0.08602738439999999	0.10380765119999999	0.1107011955	-0.0037702613	0.046584706600000005	0.0576593138	-0.0809411755	0.0355269635	0.0977882523	0.0024041796	0.0951033984	0.1134610689	0.0041695814000000005	-0.1083966813	0.1170824847	-0.0119245887	0.024143892799999997	-0.0135153271	-0.0163623953	0.0279116505	-0.011312973899999999	0.0561381568	0.08204586009999999	0.0365029434	0.0649224613	-0.030734897	-0.0834025204	-0.007915885899999999	0.0075491069	0.0616865888	-0.0126676668	0.0373438926	-0.0554900949	0.0378507862	-0.039850946	0.0241696182	0.08151601900000001	0.0716141762	0.0911878864	-0.0058490201	0.08796235880000003	0.0978316635	0.0971534967	0.09602669890000001	-8.32927e-10	3.6081299999999984e-10	1.3018602096899988e-19	6.937673873290001e-19	-0.0195743	-0.1999353	0.00038315322049	0.03997412418608999	0.0915232	0.0390401	0.0015241294080099994	0.00837649613824	0.00054368	0.0016347800000000002	2.6725056484000007e-06	2.9558794240000005e-07	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
