global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	a_comp_cor_85	a_comp_cor_86	a_comp_cor_87	a_comp_cor_88	a_comp_cor_89	a_comp_cor_90	a_comp_cor_91	a_comp_cor_92	a_comp_cor_93	a_comp_cor_94	a_comp_cor_95	a_comp_cor_96	a_comp_cor_97	a_comp_cor_98	a_comp_cor_99	a_comp_cor_100	a_comp_cor_101	a_comp_cor_102	a_comp_cor_103	a_comp_cor_104	a_comp_cor_105	a_comp_cor_106	a_comp_cor_107	a_comp_cor_108	a_comp_cor_109	a_comp_cor_110	a_comp_cor_111	a_comp_cor_112	a_comp_cor_113	a_comp_cor_114	a_comp_cor_115	a_comp_cor_116	a_comp_cor_117	a_comp_cor_118	a_comp_cor_119	a_comp_cor_120	a_comp_cor_121	a_comp_cor_122	a_comp_cor_123	a_comp_cor_124	a_comp_cor_125	a_comp_cor_126	a_comp_cor_127	a_comp_cor_128	a_comp_cor_129	a_comp_cor_130	a_comp_cor_131	a_comp_cor_132	a_comp_cor_133	a_comp_cor_134	a_comp_cor_135	a_comp_cor_136	a_comp_cor_137	a_comp_cor_138	a_comp_cor_139	a_comp_cor_140	a_comp_cor_141	a_comp_cor_142	a_comp_cor_143	a_comp_cor_144	a_comp_cor_145	a_comp_cor_146	a_comp_cor_147	a_comp_cor_148	a_comp_cor_149	a_comp_cor_150	a_comp_cor_151	a_comp_cor_152	a_comp_cor_153	a_comp_cor_154	a_comp_cor_155	a_comp_cor_156	a_comp_cor_157	a_comp_cor_158	a_comp_cor_159	a_comp_cor_160	a_comp_cor_161	a_comp_cor_162	a_comp_cor_163	a_comp_cor_164	a_comp_cor_165	a_comp_cor_166	a_comp_cor_167	a_comp_cor_168	a_comp_cor_169	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03
8542.737935452822	n/a	72978371.43382475	n/a	11082.261549086035	n/a	n/a	122816521.0423508	6286.321226759145	n/a	39517834.56600261	n/a	6371.327992054019	9343.268899478704	n/a	n/a	n/a	n/a	-0.0312707288	-0.0732676654	0.007447003299999999	0.0251143688	-0.1410254519	-0.3646556821	0.12270748669999999	0.5762729063	0.3036999989	-0.0638388168	0.097389062	-0.0805256436	0.0560231971	-0.0042968078	0.08110133110000001	-0.1095803583	0.075217941	-0.0708341769	0.0882973366	-0.0067581811	0.0649223053	-0.039017747799999995	0.1236513178	-0.0905543258	0.0600969041	-0.036544121299999996	0.0065748123	-0.0831216578	0.22395924809999998	-0.0673672568	0.04696384309999999	-0.12846818640000002	0.0047357769000000004	-0.1751119225	0.023617493399999998	-0.0754136728	0.0393684577	-0.07263640889999999	0.0569787014	-0.0180066685	0.0381901915	-0.0565448365	0.1288258709	-0.0107906005	0.0034944651	-0.0004662356	0.0711945703	-0.030890181099999997	0.0792674713	-0.110965469	0.1484665563	-0.09480649990000001	0.010153919300000001	0.0728852227	-0.0958894392	0.023099192799999998	0.12447790369999999	-0.0668360618	-0.0585395712	0.17083079350000002	0.1432487653	-0.09427016490000001	0.0761249451	0.0415074786	0.041342162599999996	-0.0898768252	-0.0042890835	0.0054290172	0.0069782666000000005	0.0250087775	0.0426547833	-0.0772404018	-0.058016904	0.025094408999999998	0.012622189499999999	0.0371234583	-0.0632501335	-0.0048896111	-0.0481412941	0.132763884	0.0753263221	0.0424239606	-0.0579634837	-0.0260138172	-0.017185863	-0.1602214079	0.08534359130000001	0.0470702001	-0.05688835110000001	-0.0883146034	-0.021549913599999998	0.0925263668	0.080065052	0.0402209096	-0.008348805400000001	-0.0512374519	-0.0769988408	0.0580369892	0.0031732819	0.12162850830000001	-0.0448338492	-0.11484500380000001	0.0687664349	-0.1104224292	0.2786571338	-0.4305226196	0.0799570903	-0.11517920960000001	0.18822620980000002	-0.0796541971	0.1685395423	-0.0354879346	0.0585117499	-0.1555243586	0.15389419099999999	-0.07691723339999999	-0.0068147043	0.0855455067	-0.0162159971	0.0803227657	-0.0313997122	0.0803803929	-0.0892715698	0.1842274424	-0.047731523600000006	0.137628538	-0.0493308201	0.0638455956	-0.0089924251	0.09183101369999999	-0.0637160303	-0.0041449443	0.1201237226	-0.0166293074	-0.0130723504	-0.0803885171	0.0163809946	-0.0280747721	-0.0990247221	0.0562650677	-0.0484680766	-0.024815874100000003	-0.023786329	0.0034382052000000002	0.0047728687	0.0095932203	0.0314566913	-0.0485609923	-0.1033035354	0.0178716498	0.0155060992	0.0039912917	-0.0857361698	-0.007739581800000002	-0.0394623289	0.016620505600000002	0.041556973	-0.0234793484	-0.0118957919	-0.06787319259999999	0.0347777205	0.0742655975	0.05466806019999999	0.0667918119	0.0586053296	-0.1429667058	0.043496393	0.0644919079	-0.1314480479	-0.0088669057	-0.0048580886	-0.0081688653	-0.0329515903	-0.0093390856	0.0337098979	0.104253408	0.104242011	0.10422301699999999	0.0	n/a	0.0	n/a	0.0	n/a	n/a	0.0	0.0275606	n/a	0.0007595866723600001	n/a	0.0	n/a	n/a	0.0	-0.0	n/a	0.0	n/a	0.0	n/a	0.0	n/a	0.0	0.0	0.0	0.0
8517.015102202857	-25.72283324996533	72539546.25115153	661.6641504055223	10788.581524485564	-293.68002460047137	86247.95684933348	116393491.31047124	6287.0405061233	0.7192793641543176	39526878.32563511	0.5173628036982394	6357.25142342717	9395.813882635965	0.994685	36.974262	0.01885060762	0.013766999999999998	0.0012697092999999998	-0.0713589616	0.024668002	-0.023617285499999998	-0.18224671969999998	-0.1772373009	0.0381464734	0.3265211882	0.1156238049	-0.0770692385	-0.0052113163	-0.0914610066	-0.0439957699	-0.11102271960000001	0.0203391126	0.09704708	0.0607873492	-0.0321553578	-0.0034126468	-0.0078987681	0.0699894771	0.0203310886	-0.153509002	0.10284332210000001	-0.04733708230000001	-0.010516441100000001	-0.0045387822	-0.1015500775	0.1276066343	-0.0870870277	-0.0526528375	-0.1534417666	0.1049724059	-0.1591597119	-0.0305791002	-0.10073430119999999	0.09212640130000001	0.035027428900000004	0.1962805513	0.0407734619	0.06625241230000001	-0.10746681720000001	0.0355625367	0.0085557977	-0.0097574161	-0.0046387293	-0.0389673787	-0.111947474	0.0049995593	-0.0807953585	0.058765873499999996	0.067456536	-0.0262430785	0.0056774364	0.0069507727	-0.0334741089	0.0125561327	-0.1592213438	-0.005619464100000001	-0.0766281474	0.059063925999999996	0.0706835799	0.0492834575	0.0590557699	0.0414198195	-0.036056539	0.0536311756	0.025356537999999998	0.005465130899999999	0.1027273091	0.0518548682	-0.0564624524	-0.0083619174	-0.1546109903	-0.1487950434	-0.0312288019	0.0060769	0.0375192223	0.09124997439999999	-0.021789895099999998	-0.0827976701	0.0761834557	-0.060889888899999994	0.0773412021	-0.0638106768	0.0267988082	0.0058981202	-0.1509577204	0.0065417932	0.0879742052	0.09555184039999999	-0.0994242359	-0.0189390067	-0.040432940099999995	-0.054916725300000004	0.0204233856	-0.0398171274	0.0059395321	0.09099774050000001	-0.0136938029	-0.0472475645	-0.0486200991	0.0380300161	-0.11442607769999999	0.10792135130000001	-0.2715658143	3.0512e-06	-0.0922472637	0.1044791032	-0.2011650754	0.1213568179	-0.0850749918	0.0258942085	-0.0496988954	0.12208957320000001	0.0385554991	0.0107795446	-0.0179093972	0.09266200050000001	-0.046660768	-0.0366983475	-0.0062900689	0.0247078905	0.0323467195	0.0574881561	-0.0673886413	0.0824749102	-0.0168815477	-0.0292982571	-0.0495629624	0.0448253375	0.0345037819	0.0299184284	0.0492863659	0.0643390306	0.0204151073	-0.0455695069	-0.0244450856	-0.0226135929	0.057799154400000004	0.06802470599999999	0.0574937696	0.0921447356	0.09353785199999999	-0.045891893499999996	-0.0615483913	-0.069602409	-0.0024187151	-0.0082512211	-0.04917191940000002	0.1412944953	-0.07341010419999999	0.0664459171	-0.015376086399999999	0.0267670279	0.0264688752	-0.1295443203	-0.08325861849999999	-0.0309803383	0.050877992000000004	0.044936446500000005	-0.04594085	-0.0492872781	-0.06592085019999999	-0.0211271908	0.1189969897	0.0359248848	-0.09898497390000001	0.0644037581	0.0695512242	0.037654362000000004	0.008381500699999999	0.0829830545	-0.014066273300000001	-0.0386588851	0.10422301699999999	0.10412046949999999	0.1039496317	0.0	0.0	0.0	0.0	-2.45762e-06	-2.45762e-06	6.0398960644e-12	6.0398960644e-12	0.015568299999999997	-0.011992300000000004	0.00024237196488999994	0.00014381525929000005	0.000137117	0.000137117	1.8801071689e-08	1.8801071689e-08	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8496.712436327	-20.302665875857198	72194122.22563389	412.19824166669645	10657.43008496223	-131.1514395233335	17200.700089042595	113580816.01585804	6290.740691718247	3.7001855949474702	39573418.45043977	13.691373437056766	6356.203820113021	9404.367617893136	0.980646	36.452412	0.011930304029999995	0.00885001	-0.024557540699999998	-0.1038679124	0.0412870096	-0.030658152799999998	-0.1278534734	-0.0995991342	0.0091057794	0.20313334	0.0066107089	-0.0428657988	0.0759796947	-0.0296716016	0.024090025	-0.074489083	-0.0682216542	0.0091313173	-0.051020467800000004	0.0551955876	-0.1168850758	-0.0568327862	-0.02999272	0.0136371245	-0.0845290718	-0.0485739908	-0.0362276255	-0.0308451731	0.0239488285	-0.0981898305	0.16467451589999998	-0.059811585999999986	0.0613387269	-0.16590745070000001	0.0525140687	-0.09512800240000001	0.1465781031	0.0726201713	-0.0003445703	0.1259234548	0.0905912793	0.0053734336	0.1683608454	-0.017803078899999998	0.0658421783	0.014600924199999999	0.0583197909	0.027058909500000002	-0.0807289356	-0.051503713099999994	-0.007664582	0.0237728289	0.1056899043	0.0189753572	-0.019768043	-0.07491658820000001	-0.0424813518	0.0042507433	0.0352096957	0.07167056299999999	-0.1539004014	-0.064274893	-0.0242083486	0.053908188899999994	0.1836045987	-0.0167731791	0.0002627143	0.0081047027	-0.0941319328	-0.0370783216	-0.054138712	-0.0517376512	-0.0100915407	-0.0480089477	0.031211892400000007	-0.005452139399999999	0.0510727496	-0.0081057111	-0.0826796157	0.1560551248	-0.0061159744999999995	-0.0362854648	0.0162995864	0.005777443399999999	0.0611359697	0.0222582108	0.0820964623	-0.0396746054	-0.0851285907	0.09998196279999999	0.0731111379	-0.1617420044	-0.1117141309	-0.080153029	0.0700083385	-0.0452784103	-0.0195640243	-0.0710152132	0.022698619700000002	0.0328681341	-0.10485176140000001	0.0298818697	0.0754572928	-0.061421654299999996	0.045996544400000006	-0.11172257039999996	0.1135802488	-0.2272422044	0.088116345	-0.0514894169	0.0333728016	-0.0616367619	-0.032328024500000004	-0.020436071200000003	-0.0208955379	-0.1228255889	-0.0704730239	-0.0590736394	-0.1059872124	0.054666711900000005	0.0292349476	-0.13828083060000002	-0.0697963284	0.025731956	0.0071349171	-0.0651408762	-0.0419751784	-0.1097248649	0.09698475890000001	0.034782605099999996	0.0133045122	0.0182586345	0.019100344499999998	0.10678127720000001	-0.0934225607	-0.028934933	-0.0461598155	-0.0575880902	0.0637087683	0.0640920544	0.008585187099999999	0.0313210599	0.037640039199999996	-0.10809011859999999	0.0092722	-0.04492765519999999	0.0007521182	-0.0889419918	0.0819451866	0.0019887737	0.1746337598	0.11007805119999996	0.0773201416	-0.0863312697	0.1197564522	-0.0832708124	0.049734422300000004	-0.0433617302	0.0254237535	0.0961306782	0.0304910357	0.0215139284	-0.00039308860000000003	0.0212125263	0.114428319	0.0760044019	0.0705635616	-0.039212611200000004	-0.1040928008	0.055663317999999996	0.0368328262	-0.1380074673	-0.0195005116	0.0707555508	-0.0152716559	0.0911742302	0.0222988489	0.1041622441	0.1038775282	0.10340357800000001	0.0	0.0	0.0	0.0	-2.8216500000000008e-06	-3.640300000000002e-07	1.3251784090000016e-13	7.961708722500003e-12	0.00790969	-0.007658609999999999	6.25631958961e-05	5.8654307132099976e-05	5.16904e-05	-8.542659999999999e-05	7.2977039875599995e-09	2.67189745216e-09	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8454.353183124624	-42.35925320237585	71476087.74500945	1794.306331862988	10540.300445185125	-117.1296397771057	13719.352514314542	111097933.47476974	6287.792561987537	-2.9481297307102072	39536335.3025858	8.691468909097436	6349.32853498088	9266.351735044957	1.025944	38.13619600000001	0.052660778350000007	0.0435957	0.0032880526000000003	-0.0850455643	-0.0445309239	-0.049840233	-0.08586285199999999	-0.0877760855	-0.051087284000000004	0.08539028859999999	-0.012045792900000001	-0.0193852232	0.033913644	-0.0869434359	-0.0046001884	0.0463426176	0.06743116519999999	0.0656608842	0.0192692634	0.0586622498	-0.08659438119999999	0.06837601410000001	0.0450755613	-0.009383064699999999	-0.159306269	0.13403409119999998	0.0356488075	-0.0093735449	0.093575769	-0.03639099	0.1330966051	-0.0916916511	0.1116052765	0.0159297572	0.0199634004	0.023511513300000002	0.1149799764	-0.1048637941	0.10031370490000001	-0.0674037042	0.0089605967	0.0418721914	0.12109109529999999	-0.0549568936	0.0173492413	0.0224244857	0.092585995	0.0777429476	0.0062212951	-0.0151944477	0.0158093269	-0.0583500479	-0.07831920049999999	-0.0021101211	0.1221894599	-0.0860567316	0.0295679292	0.1606597995	0.0014696094000000001	0.0088860766	0.0918380409	0.0787673157	-0.1478161815	0.153455189	-0.0379081993	0.0240050066	-0.0662687691	0.0261655453	0.08816947359999999	-0.0285997869	0.0473286297	0.049365884900000004	-0.11290596609999999	0.08271260450000001	0.0033461198999999997	-0.0338086461	0.0186675806	-0.0138385186	-0.017836343799999998	-0.09464478130000001	-0.1684081148	-0.041450688900000004	-0.0703541377	-0.01980933	0.07869486519999999	0.11228051119999999	-0.0315092832	0.1536340619	-0.016281433	-0.0738461289	0.044261832599999995	-0.0272560501	0.0039308306	0.0283691127	-0.029677570099999998	0.0642473933	-0.032326406099999996	-0.0257291346	-0.0779856478	0.1776895716	-0.0197019961	0.0241294446	0.029580409199999998	-0.0252552525	0.0784939592	-0.0595789616	0.08703994570000001	-0.093071487	-0.0308834923	-0.1547647584	-0.0335631915	0.0441870394	-0.0438146337	-0.1081870011	0.0600548911	-0.0173028782	-0.015753567	0.08026082030000001	-0.0053623198	-0.0443575328	-0.0808664314	-0.0314798105	0.0129096271	0.0821559135	-0.0325675502	-0.0370394898	0.04360035	-0.0676880732	-0.093592718	-0.16820425670000005	0.1040960978	0.0408344607	0.001739857	0.005278606700000001	-0.1622009853	-0.0804102577	-0.0048797111	0.1790530929	0.0551580346	0.030621954	0.09246841410000001	0.012719879199999999	0.0594955744	0.0039447640999999995	0.021024498	0.0304802551	0.0166375249	0.057077151799999996	-0.1506634636	0.0744184566	0.0352090133	0.028584376800000002	-0.0325807122	0.064042075	-0.0193561337	0.1101436586	-0.0401757448	-0.0010068419	0.0998584549	-0.036471402	0.0013004191	-0.0794647145	0.0755537403	-0.2214056473	-0.0103529381	0.017635643200000002	0.0316487445	0.056338169199999996	0.0069548513	-0.07422635429999999	0.1140166201	-0.0282167772	-0.0020633781	-0.0093375303	0.107939558	-0.0197813952	0.057600702699999985	0.1040711067	0.1035134703	0.1025862884	0.0	0.0	0.0	0.0	-0.00258171	-0.00257888835	6.6506651217657226e-06	6.6652265241e-06	0.0506995	0.04278981	0.00257043930025	0.0018309678398361	0.000197532	0.0001458416	2.126977229056e-08	3.9018891024000005e-08	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8445.70431513897	-8.648867985653851	71329921.37875701	74.80291743326809	10488.416810208857	-51.88363497626778	2691.911578350598	110006887.18467171	6287.352659675452	-0.4399023120849961	39530803.46712798	0.1935140441777253	6348.300548308474	9044.32259593875	1.0001719999999998	37.178196	0.032463768899999995	0.0268734	-0.0160270755	-0.0605220271	-0.0887355967	0.0477319075	-0.0186861623	-0.0733311941	-0.0398306662	5.6647299999999995e-05	-0.0325320911	-0.004967692100000001	0.11831106359999999	0.0019539991	-0.0697425853	0.092136919	0.09830645810000001	-0.0937605619	-0.040562147	0.1343108907	-0.0422047892	-0.021442479900000002	-0.10098716029999999	-0.0004652277	0.0180663177	0.0126685598	0.0325578063	1.2236300000000005e-05	0.0915742365	0.025451778300000002	0.1558247679	-0.0220702175	0.0808606441	-0.0483534004	-0.0135766772	-0.0357986771	0.148853286	0.05346611230000002	-0.0432117093	0.0392950282	-0.11761016310000001	-0.0068779002	-0.1063135061	0.0120622224	0.039716312999999996	0.1030681215	-0.039020594	0.0109576352	-0.012940296899999999	-0.1082662838	0.17967562280000002	0.0282633094	-0.1246376691	0.024742376400000002	-0.0461123017	0.0371119274	-0.1637881905	0.0530910694	0.0336812546	0.038794348900000004	0.10155178869999999	-0.0074804716	0.0061020185	-0.0069575294	0.015328576100000001	-0.15590742529999999	0.015906416899999998	-0.0028100987	0.0404781922	0.059969281900000004	-0.09289622800000001	-0.0107021872	0.028465424500000006	0.0428031896	-0.0830790221	0.0671658749	0.0641191721	0.08665016710000001	0.07075023059999999	-0.1028000592	-0.0100862135	-0.0514052969	0.058918535999999994	-0.0232438493	-0.11086617859999999	-0.0603997691	-0.0788685556	0.0643037892	-0.0733326872	-0.0779532438	-0.021310166499999998	-0.012593225	0.023158848399999998	-0.0063815791000000005	0.1099035126	0.0720224121	0.0385748378	0.1252218651	0.0170779689	-0.1035410105	0.057729048	-0.1713502968	-0.0230810384	-0.0120394428	0.0857392223	-0.0028839432	0.11085348910000001	-0.0795062914	0.08416607599999999	0.0093531187	-0.0170691865	0.1061722601	-0.1346936403	0.0398635566	0.0545892988	-0.0115204026	-0.1227049408	-0.0517403096	-0.0015234827999999999	0.1022914316	-0.0131759152	0.0670373387	0.22371049350000002	-0.1244982096	-0.0706147407	0.013324163799999999	0.0114613786	-0.0708654798	0.0152023082	-0.0469040439	0.042976828099999996	-0.076293796	0.06487593929999999	-0.008410153	0.0191834473	-0.1937752613	-0.08440278699999999	0.0731515898	-0.0412002018	-0.0859700835	0.06272912110000001	-0.005972079399999999	-0.0648915846	0.028924544700000002	-0.04715721900000002	-0.0164433082	-0.0329041741	0.0397796759	0.052358426	0.0284944182	-0.05690220980000001	-0.0553220838	-0.057504803	0.061266886	-0.0156112467	-0.0641455919	-0.0065265428	0.0007752575	-0.010533158700000001	-0.0605369276	0.0279544388	-0.0020771317	-0.1765296734	-0.0689357177	0.0329891531	-0.0184357433	-0.076889706	0.0586233859	-0.015165085200000001	-0.034307493599999996	-0.0285684398	0.020606891000000002	-0.1358023067	0.0026909462	-0.0233732164	0.0341035052	-0.0711529866	0.1039496317	0.10302872029999999	0.1014999067	0.0	0.0	0.0	0.0	-2.96411e-05	0.0025520689	6.51305567034721e-06	8.7859480921e-10	0.0772959	0.0265964	0.005974656156810001	0.00070736849296	0.000131226	-6.630600000000003e-05	4.396485636000003e-09	1.7220263075999997e-08	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8474.84458565173	29.14027051276025	71822990.75095044	849.1553655568448	10465.440958172789	-22.97585203606832	527.8897767833047	109525454.44900058	6292.504037428586	5.151377753134511	39595607.06105506	26.536692755489174	6348.3539451522765	9032.10307019201	1.065113	39.592186	0.0007101431999999951	0.000498325	0.0151975983	-0.0242305894	-0.11265858289999996	-0.0054597537	-0.039507659199999996	-0.0583756038	-0.0576517594	-0.0373907098	-0.0269420047	0.0661699453	0.011897713300000001	-0.0488414379	-0.09984591429999999	0.19746436039999998	0.1296886634	0.0664724582	0.0184932098	0.0150671177	0.0818769729	-0.0277357736	-0.1906819058	0.0414121381	-0.0911187026	0.0610482228	-0.07813995650000001	0.0190127241	0.0983292508	0.0636709737	0.0822517133	-0.088121777	0.1248813772	0.07386176030000001	0.0086934686	0.0351924798	0.0307796355	-0.204455096	-0.058686933	0.0700729522	0.0209759151	-0.1107757114	-0.1343517461	-0.0251959667	0.0430176308	-0.0692068057	-0.0717904451	0.041430848799999996	-0.0787684764	-0.055733084599999996	0.067650407	0.0725284556	-0.0912286525	0.1120787173	0.0386077254	0.07386895240000001	0.1139321317	-0.1253252991	-0.1357182042	0.0251008435	0.11118239810000001	0.051664702800000004	-0.0579699565	0.06429790099999999	0.025944984700000003	0.0085151956	0.0126643569	0.0086821388	0.0193470359	0.0162422289	0.0548517763	0.1206639498	-0.0728387797	0.0672826349	-0.013503544199999998	-0.05174472559999999	-0.0514549886	-0.09356193480000001	-0.1308488771	0.0166054769	0.014829241399999997	0.10607523220000001	0.025143873599999998	-0.0573918803	0.0407335143	-0.011144311200000001	0.04546916610000002	-0.0762202843	0.1844829683	0.029796732200000002	-0.036992749	0.0144631472	-0.1461283981	0.0286308279	0.0025467848999999997	-0.08098926599999999	0.0107652079	0.0737137368	-0.10341036960000001	-0.1342719681	-0.1321911629	-0.0463599328	-0.0490425549	0.0273748485	0.08694804699999999	0.0472937701	0.0264947631	-0.006921359100000001	-0.0337025861	-0.1503468846	-0.1166945775	0.09237506289999999	-0.0529063351	0.0373429269	0.1353515414	0.1754757741	0.0695875615	0.0139676051	0.0052877015	0.0774461392	0.05734075280000001	0.07378160730000001	0.0019135087	-0.17915705920000002	-0.0028534852000000003	-0.0250466471	0.017456297	-0.08512874710000001	-0.016018694	-0.0657793877	0.0954799641	-0.0163665081	-0.0112274625	-0.08614795310000001	0.0338225188	0.04275416730000002	0.0908266249	0.014748935500000001	0.0195267286	-0.0587806674	0.1199989476	0.08479806289999997	0.0209415642	0.0309745037	0.1103511389	0.039960833700000004	-0.054984230700000004	-0.02611104	-0.0385096446	0.0346737847	0.0789442791	-0.053716842599999995	0.0602486645	0.022349180099999998	-0.0344002193	0.0693162729	-0.091609391	-0.11977702	0.0359277151	0.0811010024	0.014894545700000001	-0.12229675599999999	0.15359405369999998	0.1875793697	-0.07370782599999999	-0.0215942462	-0.0728330777	0.044618715	0.040450852200000005	-0.0414535351	-0.19748088760000002	-0.038272327099999996	0.10596344220000001	-0.0007136765	-0.043067969500000004	-0.0644304975	-0.0188555546	0.1037978542	0.1024238435	0.1001472826	0.0	0.0	0.0	0.0	-3.53843e-05	-5.7432e-06	3.298434623999999e-11	1.25204868649e-09	0.07767169999999997	0.0003757999999999678	0.006032892980889996	1.4122563999997582e-07	0.000124654	-6.5719999999999915e-06	4.319118399999988e-11	1.5538619716e-08	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
