global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	a_comp_cor_85	a_comp_cor_86	a_comp_cor_87	a_comp_cor_88	a_comp_cor_89	a_comp_cor_90	a_comp_cor_91	a_comp_cor_92	a_comp_cor_93	a_comp_cor_94	a_comp_cor_95	a_comp_cor_96	a_comp_cor_97	a_comp_cor_98	a_comp_cor_99	a_comp_cor_100	a_comp_cor_101	a_comp_cor_102	a_comp_cor_103	a_comp_cor_104	a_comp_cor_105	a_comp_cor_106	a_comp_cor_107	a_comp_cor_108	a_comp_cor_109	a_comp_cor_110	a_comp_cor_111	a_comp_cor_112	a_comp_cor_113	a_comp_cor_114	a_comp_cor_115	a_comp_cor_116	a_comp_cor_117	a_comp_cor_118	a_comp_cor_119	a_comp_cor_120	a_comp_cor_121	a_comp_cor_122	a_comp_cor_123	a_comp_cor_124	a_comp_cor_125	a_comp_cor_126	a_comp_cor_127	a_comp_cor_128	a_comp_cor_129	a_comp_cor_130	a_comp_cor_131	a_comp_cor_132	a_comp_cor_133	a_comp_cor_134	a_comp_cor_135	a_comp_cor_136	a_comp_cor_137	a_comp_cor_138	a_comp_cor_139	a_comp_cor_140	a_comp_cor_141	a_comp_cor_142	a_comp_cor_143	a_comp_cor_144	a_comp_cor_145	a_comp_cor_146	a_comp_cor_147	a_comp_cor_148	a_comp_cor_149	a_comp_cor_150	a_comp_cor_151	a_comp_cor_152	a_comp_cor_153	a_comp_cor_154	a_comp_cor_155	a_comp_cor_156	a_comp_cor_157	a_comp_cor_158	a_comp_cor_159	a_comp_cor_160	a_comp_cor_161	a_comp_cor_162	a_comp_cor_163	a_comp_cor_164	a_comp_cor_165	a_comp_cor_166	a_comp_cor_167	a_comp_cor_168	a_comp_cor_169	a_comp_cor_170	a_comp_cor_171	a_comp_cor_172	a_comp_cor_173	a_comp_cor_174	a_comp_cor_175	a_comp_cor_176	a_comp_cor_177	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02
8637.51118788282	n/a	74606599.52080087	n/a	10363.314798027459	n/a	107398293.60301492	n/a	6374.274606258114	n/a	n/a	40631376.75598703	6909.094939967429	12086.162489750282	n/a	n/a	n/a	n/a	-0.026284281	-0.0097513994	-0.0853766869	0.0031847969	-0.6723478453	0.43085037200000004	-0.17038069760000002	0.065455212	-0.10217444199999999	0.0096832099	-0.1944546118	0.012866601299999999	-0.0181122469	0.0155900191	-0.0543330981	0.0819197413	-0.0073890749	0.012537331399999999	-0.0283540061	0.042896205	-0.0237328434	0.013365724399999999	-0.0256481549	0.0360808115	-0.0647051493	0.0432040169	0.06915732969999999	-0.024384155600000002	0.0077758233	-0.1052248812	0.022359882	-0.0032709179	7.543e-07	-0.0592036984	0.0881468545	-0.011717170800000001	0.0552304746	-0.0035400031	0.10813182060000001	-0.045965616699999996	0.049776697599999996	-0.0080850775	-0.048202383700000004	-0.0078039530000000015	0.0802068333	-0.0537876721	0.0734015108	-0.030647213399999998	0.0073270702	-0.049242721399999995	0.007352990699999998	-0.0506395634	0.0757313283	-0.10067157199999999	0.0456499719	-0.017624878700000002	0.055027749	-0.0104468862	0.0049951798	-0.0480093849	0.1442047003	-0.0016992562	0.08401380480000001	-0.009445379399999999	0.0995455643	-0.0360796939	0.103937739	-0.0728571225	0.0571341412	-0.09596800470000001	0.13525557970000002	-0.0523724114	0.021526529500000002	0.1036765892	-0.0594363263	0.0178661386	0.0534167196	-0.0779631783	0.028017565699999997	0.07780889099999999	-0.0697633691	0.1332100383	0.0212411766	0.0848610565	-0.0893051208	0.0725592942	0.021089475400000002	0.0163969902	-0.0631318882	-0.0123692748	-0.049038942599999996	0.0865303682	0.0604969921	0.0461573238	-0.0609813623	-0.0268800699	0.14585388529999999	0.0846042555	-0.055230221600000004	-0.0391987567	-0.0368877624	0.054315382599999996	0.034851836000000004	0.0538828133	-0.0501162786	-0.0016207095	-0.0060464867	-0.18599573239999997	0.013305333999999999	0.0630564309	0.0783516974	-0.0340869288	-0.11272386460000001	-0.0079278426	-0.034296334500000004	-0.07444956309999999	0.1553126514	-0.4856097878	0.0948987352	-0.4804474712	0.23035095579999998	-0.1474526574	0.1119419458	-0.20289131940000002	-0.048030869000000004	0.0878443765	-0.0879969522	0.07277144519999999	-0.0829206527	0.05593952730000002	-0.0060744488	0.0390751732	-0.137551234	0.0862358145	-0.0192311841	-0.0953027106	0.0441644282	-0.0209475984	0.021959705299999997	-0.0080606843	0.0103454606	-0.0178337174	0.028918062400000007	-0.0039508715000000005	0.0566319405	-0.035542759199999996	0.05731602650000001	-0.0544230227	0.042390717300000005	-0.0187613653	-0.0841341515	0.033692383799999996	-0.1639105178	0.037877926400000005	0.043441035499999996	-0.0098917474	-0.040640741	0.0416444937	0.008215270600000001	0.018574978500000002	-0.0130957877	-0.0106740867	-0.031975679	0.08497339970000001	-0.0626825762	-0.0006709088000000001	0.009508435899999999	0.012104978899999999	0.0326009846	0.0321836181	-0.022347655	-0.034578305	0.041933896899999996	0.015600156799999999	0.022643554399999998	0.026248122599999996	-0.0202263151	-0.0086988206	-0.0299044308	0.0288546725	0.0150408743	0.0435368087	0.104253408	0.104242011	0.10422301699999999	0.0	n/a	0.0	n/a	0.0	n/a	0.0	n/a	0.0	n/a	n/a	0.0	0.0	n/a	0.0	n/a	-0.0	n/a	0.0	n/a	0.0	n/a	n/a	0.0	0.0	0.0	0.0
8577.38540823317	-60.125779649648386	73571540.44137132	3615.1093784780733	10031.636353185611	-331.6784448418475	100633727.92255512	110010.59077270649	6361.79805419175	-12.476552066363185	155.66435146467143	40472474.48231794	6850.248201129025	11841.291736435871	0.949263	40.357147	0.0	0.0	-0.0121801357	0.005658621	-0.067797072	-0.0531622955	-0.29200293120000004	0.152800409	-0.061984156900000004	0.0100649069	-0.10268725390000001	0.0069157088	-0.0309932939	-0.0418983756	0.0390287073	0.0770182219	-0.0169582944	-0.057315729	-0.033341032	0.027593228799999998	0.0764317878	0.0002865263	0.0655448676	-0.0772764888	0.0502440867	-0.0179055886	0.075055648	0.061899400300000004	-0.0544538425	0.0460371133	-0.0166061824	0.08503429929999999	-0.0296014456	-0.0552333425	-0.0558296417	0.039906879900000004	-0.1043061942	0.0765564025	-0.1595980253	-0.0011748054	-0.12257446699999999	0.023307775699999998	-0.0230837285	0.0431903909	-0.0189722327	0.041929167	0.0100206149	-0.0407515852	0.00045968519999999995	-0.0351699472	0.055962321100000004	-0.0626356105	0.0015453531	-0.0747790183	-0.0327836326	-0.0499997197	0.053999729100000005	0.0298947289	-0.0185920274	0.1080822421	0.1033028916	-0.1061145973	0.0136977946	0.0334744373	0.1647303282	0.011295707299999999	-0.0065535665	0.0262549167	-0.010643886299999999	-0.1215233265	0.0180728018	-0.117161717	-0.0020831463000000002	0.0617036454	0.0768719961	0.0490966655	-0.05040264059999999	0.0054536420999999995	0.0443589825	-0.062507438	0.0791725278	-0.070528874	-0.0489061121	-0.09757722560000001	0.0512311566	0.0780633822	0.043180168399999996	-0.0699173646	0.047916683200000004	0.0207865293	-0.0485231688	0.0991585834	-0.0700304305	-0.0762893626	-0.0861823926	-0.013112018000000001	-0.0546217118	-0.14770441609999999	-0.0265204044	-0.0037237758	0.029347664	-0.053509513	-0.09426018609999999	0.0775217656	-0.0262472479	0.10975685519999999	-0.0752252162	0.0029028471	-0.0491231927	0.0092430525	-0.1464179001	-0.0295167938	0.1249433943	-0.0371084645	0.07299914240000001	-0.049849102400000005	-0.0312888355	-0.0398001984	0.0237694154	-0.2205748512	0.041304552	-0.2682786612	0.0958372296	0.0085239748	0.0305141954	-0.10933291210000001	-0.029763983100000002	0.0345562192	-0.050167312199999994	-0.0810712483	0.0434295302	-0.0029133060999999997	0.0918460387	0.0644858996	0.0412170501	-0.0540187824	0.0625067033	0.0765189211	-0.1103612738	0.0163811324	-0.0161645084	0.0701480861	0.013726198600000001	-0.0196232442	-0.0266710244	-0.022916986400000002	0.0427882981	-0.0024700674	0.0469522685	0.018000891	-0.0740074357	0.0728018767	0.0302385579	-0.0700368763	0.0894322261	-0.0736269182	-0.0693492644	-0.06443233599999999	0.009345496600000001	0.0015711222	0.0127034776	-0.028817742400000002	-0.0146085927	-0.0366163057	-0.0130339323	-0.124741426	0.0204864399	-0.0558668911	-0.0178014027	-0.0755673747	0.005949003100000001	-0.0085586242	0.0378252065	0.0833363986	0.0708790492	-0.0605809783	-0.10254816480000001	-0.0423689071	0.0105543053	0.10133572960000001	0.09121334390000001	-0.0589964852	-0.019396393799999998	-0.055739015700000005	0.10422301699999999	0.10412046949999999	0.1039496317	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8571.455324372779	-5.930083860392188	73469846.37771846	35.16589459128391	9883.640817269734	-147.99553591587758	97686355.80480032	21902.678651027803	6365.962314532101	4.1642603403506655	17.34106418221744	40525476.190042906	6834.633668203981	11837.464708730608	0.9870080000000002	41.961823	0.0486028	0.0486028	0.0024873244	0.0168875652	-0.0128057917	-0.0649204566	-0.18344922519999998	-0.0580043887	-0.0317464879	-0.0057746148	-0.0995926218	0.0377192518	0.0308299473	-0.06625773559999999	0.040034750699999996	0.0999164068	0.09210969150000001	-0.0568198833	-0.0486514837	-0.016827416499999998	0.012549070700000001	0.0188329746	0.0330904424	-0.0269751075	0.0163545467	-0.0018645101999999998	0.1636651676	-0.0095201962	-0.039770795299999995	0.1294268684	0.0980110717	0.049459779800000006	0.0043242639	-0.0317022406	0.0703012743	0.053443365	-0.0429474434	0.059607366900000014	-0.0384640958	-0.0093773581	-0.1209309016	0.045059740099999995	-0.0467360579	-0.06587446870000001	0.0720981191	0.11038008630000001	-0.061913999299999994	-0.009394141	-0.0125154442	-0.0478885395	0.0710491708	-0.0404894868	-0.0134815896	-0.0516939325	-0.015997083999999998	-0.0077066856000000015	0.1000921465	0.011785163700000002	-0.006808355	0.09303402029999999	0.0836961532	-0.10205514199999999	0.0684955854	-0.1102382191	0.058267056	0.0555561417	0.0265382062	-0.0135577889	-0.0395057497	-0.0486218201	0.08542152230000001	-0.0798652478	-0.0310725348	-0.008777049399999999	0.1484093463	-0.1015882758	0.0854475588	0.0581579315	0.057464901900000004	-0.09625691189999999	0.0173402087	-0.029958645699999998	0.12783080019999998	0.0507481861	-0.09668859789999999	0.1608795564	-0.0224605313	-0.026867472599999997	0.0543045033	-0.0326062531	0.0303314511	0.1083762122	0.0197943335	0.0178655914	-0.027260374100000002	-0.044253461699999996	0.05447806400000002	-0.10106748550000001	0.0992910396	-0.05870679650000001	0.0026546442	0.16605349560000002	-0.0940824975	-0.033041336	0.0092297734	-0.032683880299999996	-0.0622183945	0.0464997007	0.0578923218	0.09942904640000001	-0.1070208084	0.032965237599999996	-0.018216525900000002	0.052367656	-0.0319985479	0.1273008823	-0.11923751	-0.0032983755	-0.0835554532	-0.08740217019999999	-0.021183476099999998	-0.1828557856	0.0283821109	0.0255089888	0.0001464485	-0.056490624800000014	-0.021852911800000003	0.0425951683	-0.0225777005	-0.0895347037	0.0834442261	-0.050413472300000005	0.08718248710000001	-0.013664913	0.0681963047	-0.0756048348	-0.00620867	0.0053780658999999995	0.016370137	0.007385409399999998	-0.0745614641	0.1583745929	-0.0667599515	0.031863385	-0.0428041218	-0.0600159254	-0.0186065405	-0.0592037429	-0.0842474229	0.0856995363	-0.0045080516	0.0861980767	0.0300021296	0.0158815273	0.2179997659	0.0326853162	-0.07868003650000001	0.029732055099999998	0.0976097116	-0.041067087599999996	-0.0299631992	-0.0365499236	0.0388575087	-0.029632068799999998	0.0341906864	0.0159010209	0.024873905	0.0143276447	0.0714822492	0.0167849141	-0.0365067472	0.0332902209	0.010677126399999999	0.0358587482	-0.1092993229	-0.0415750965	0.0557525677	0.0290595746	-0.0123283231	0.032037755	-0.0557585438	0.0575818395	-0.0074030822	-0.0675559449	0.1041622441	0.1038775282	0.10340357800000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0486028	0.0486028	0.0023622321678400003	0.0023622321678400003	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8593.229973628057	21.77464925527784	73843601.37965965	474.1353501903717	9827.808268609859	-55.832548659875094	96585815.36455631	3117.2734898573212	6382.119363453533	16.157048921431848	261.0502298495422	40731447.56936853	6835.8224375002355	11720.918702015377	1.172298	49.839298	0.014304720000000003	0.0101124	-0.052292728600000005	0.0435928627	-0.0240447429	0.0324759963	-0.0926019726	0.0325053098	-0.0156635059	-0.07814319730000001	-0.009747845	0.0633593931	0.1117155814	0.0512810158	0.0777017428	-0.044125661399999995	-0.0033737868	-0.1082167448	-0.0832547706	-0.1112672115	0.0242153012	0.0744837299	0.014155096899999999	0.06288811400000001	0.0182130371	0.0036407122999999996	0.0719342543	-0.08426709869999999	-0.1862889295	0.0593989611	-0.010848626799999999	0.1428185618	0.0682428622	-0.028573079700000007	0.0022303785	-0.010293910699999999	-0.0882177284	-0.044086384400000005	0.0167352685	-0.1469424676	-0.0893178617	0.1052587375	-0.0670003644	0.0362648162	0.054011392199999994	-0.0134635352	0.0047179221	0.0407213534	-0.032651805	-0.0760663964	0.002160319	-0.0760359249	-0.0649272999	-0.0680733023	0.0712041514	0.0332324385	0.13057537119999998	0.009443786800000001	0.0791063144	0.0928639186	0.06834375179999999	-0.056683484900000004	0.1405518211	0.0327080074	-0.0555982834	0.0522476549	0.0152642904	0.0429759388	0.011251303999999998	0.0652631506	0.20863494079999997	-0.0520622192	-0.0485417261	0.0724248804	0.0142438177	-0.0934476611	-0.056450976500000014	0.1227190266	0.039415062599999995	0.13818365789999998	-0.047431111100000006	0.0398075985	-0.007449303399999998	0.04472479	-0.0791168345	0.0973730424	0.0071636311	-0.0793452619	0.0237354717	-0.0013969333999999999	0.0648012081	0.0271623615	-0.0560665297	-0.1527450253	0.0394451169	0.0390445019	0.10614162960000001	0.0138220521	0.12087629289999999	0.0521514737	0.10344045140000001	-0.0075641428000000005	0.0125332303	-0.095067724	0.0692602284	0.1464386323	0.1255432859	-0.0527439281	0.0142637494	0.0745836846	0.035147314	0.012949570700000001	-0.0128539691	-0.022782558199999997	0.0313995205	0.013781634199999998	-0.028141342200000002	0.0074989322	0.0608171557	-0.034765285	-0.0516366296	-0.1314007889	-0.0380755296	-0.0060578666000000005	0.0268349714	-0.0323414012	0.010973763999999999	0.0589931423	0.11121826480000001	0.0268617414	0.0516264654	-0.06800953950000001	0.0266529902	-0.1477666305	0.1409122922	-0.1726248109	-0.052779209900000006	-0.0634462329	0.008037881	-0.0373654565	-0.0009664776	-0.0633911397	0.044342698	-0.0014302967000000002	0.0187747682	0.0428712604	-0.112425666	0.0660727409	-0.0626920157	0.16581823310000002	0.08418253140000001	0.0386210654	0.0745812226	-0.015590687399999999	0.21035449679999998	-0.0123030529	0.0251755052	-0.0456250654	0.0744328764	0.032293874	0.042401804	-0.0578192762	0.0006858586999999999	0.0243580804	0.013582786599999999	-0.053509310899999996	0.1177099515	0.1420692318	0.026187971299999998	0.0944668776	-0.0015721291	-0.09794487130000001	0.0693598816	0.015890323999999997	-0.176319421	0.0482114555	-0.0798550306	-0.0570455234	-0.0627188404	-0.1237513674	-0.0007277964999999999	-0.0376171798	0.0166401581	-0.014006444199999999	0.1040711067	0.1035134703	0.1025862884	0.0	0.0	0.0	0.0	0.00843517	0.00843517	7.115209292890001e-05	7.115209292890001e-05	0.0485872	-1.5600000000004503e-05	2.433600000001404e-10	0.00236071600384	-0.000117079	-0.000117079	1.3707492240999999e-08	1.3707492240999999e-08	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8604.402451067039	11.172477438982241	74035741.53992847	124.82425212456718	9784.652661012158	-43.15560759770051	95739427.69665232	1862.4064671267056	6389.72704124679	7.6076777932566975	57.87676140601111	40828611.66164045	6833.7797546910315	11746.314678248364	1.139201	48.432205	0.20957663	0.158627	-0.0561833834	0.046519125099999996	-0.10033492210000004	0.075892454	0.0209275322	0.10060233699999999	0.034670639100000004	-0.1344937623	-0.0393636821	0.0775499155	0.0927136544	-0.0180390755	-0.0969572884	0.0855173543	0.050557938600000005	-0.06672757530000001	-0.1110761965	-0.1454198957	0.0524624059	-0.0998007386	-0.06157303820000001	0.0703807675	-0.0229670838	-0.0048932026	0.0103114264	0.0585862796	0.0068193807	-0.1053342395	0.0562891503	0.163645328	-0.0752631718	0.0767617084	0.057089145599999995	0.145050438	0.0556546763	-0.2357425398	0.0019131585999999999	-0.009459375	-0.0866998177	-0.1043282349	-0.1191628501	0.0375364133	-0.00020518400000000002	-0.1240137508	0.08534922060000001	0.0128914615	0.0379982383	-0.0521959267	0.0562472322	-0.042299361699999996	-0.0753616173	0.0056355017	0.0341550867	0.0786686405	0.0520839922	0.0553383481	0.0566945612	0.08960947359999999	0.1522834304	-0.09193250539999999	0.026664288900000003	0.1667874496	-0.027117826499999997	0.0426578596	-0.1139737881	-0.0574924733	-0.0147209053	0.0559339774	0.114853759	-0.045900883499999996	0.0308864952	0.1365218158	-0.0640385429	0.0382009145	0.042269886	-0.16748924210000002	0.014647704099999999	0.1082796733	-0.040482984	0.1725956488	0.0225609198	0.013100523300000002	-0.09147809109999999	-0.1217389417	-0.1079585619	-0.022114505899999998	0.0656486271	0.15169433470000002	0.15725539189999999	-0.1293536525	0.0012842535000000001	-0.0579728306	0.0488795536	0.0161209291	-0.08747413300000001	0.0250533444	-0.0826217825	-0.0759246752	-0.0073509831000000015	0.0484732545	-0.0109074347	-0.0065943682	-0.028299199900000002	-0.0412503727	-0.0249781079	0.050091618	-0.09237994029999999	-0.0764238419	-0.000425158	-0.0019752132	-0.0251887604	-0.0934535164	-0.033283734	-0.0370942605	0.041630230899999995	0.0096865348	0.147056714	0.0100808811	-0.0094459038	-0.0469234383	-0.029978332799999997	0.06560009650000001	-0.0977838877	0.0512916508	-0.0502119846	0.10964775130000001	0.0326038644	0.0324850971	0.043868544	-0.0618011761	0.13586666890000001	-0.0903336751	0.1839127611	-0.0277659058	0.0967824237	-0.0505184368	0.010690496599999998	0.0327648969	0.06147842360000001	-0.08554893359999999	0.0878660241	0.1119611859	-0.0225962906	0.09011641849999999	-0.0928237606	0.07541297940000001	-0.15070369349999999	-0.10498722279999999	-0.09320212119999999	-0.197252464	-0.0259067411	-0.028386731600000006	0.0064997823	-0.1509916703	0.1310502341	0.0273418674	0.0199337638	-0.0951488115	-0.0293347402	0.0739956705	0.0933752605	0.0646915497	-0.002716137	0.1560176883	0.0707328898	0.1222242214	-0.0022319338	-0.028072124	0.0755933001	0.043061623099999995	-0.1096328125	0.042959106399999995	0.027626417900000002	-0.081386883	0.0359809563	-0.0693605842	0.0775805161	-0.0247982256	-0.008534154300000001	-0.0319495808	0.0715182143	0.0371662818	0.1039496317	0.10302872029999999	0.1014999067	0.0	0.0	0.0	0.0	0.161249	0.15281383	0.026001240000999997	0.023352066639268903	0.0061011	-0.0424861	0.00180506869321	3.7223421210000004e-05	-0.000402613	-0.00028553400000000005	1.62097227769e-07	8.152966515600004e-08	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8580.919963649767	-23.482487417271837	73632187.42256312	551.4272153023303	9754.535997335617	-30.116663676541066	95150972.52331635	907.013431005888	6373.104291610397	-16.622749636392655	276.31580547419213	40616458.31174286	6820.1812307797045	11900.289624182107	0.9528700000000002	40.510479	0.08367282	0.0788079	-0.023420704900000002	0.0305696411	-0.10677677640000001	0.0509228925	0.0712569254	0.0403625155	0.0358410035	-0.0099374261	-0.0662305074	0.0141185827	-0.0012977218	0.076179205	-0.1202012471	0.0089388199	0.0248350111	0.0696949632	-0.1043979614	-0.0252903694	0.0988298128	0.0013433466	-0.0113655078	0.044896339900000005	0.042395082699999996	-0.1110543995	0.0695709179	-0.13772033919999999	-0.0330373721	-0.0723265205	0.0554470442	0.034806835099999996	0.0108767052	0.11122770039999999	0.0847507483	0.1137743287	0.0678187941	-0.16808132010000001	0.1273548393	0.06516759999999999	-0.0811966287	-0.0699620245	0.0901876838	-0.13346595449999998	-0.0382509156	-0.0743386449	0.0672627232	2.4407e-05	0.043340401699999996	-0.0029490892	0.02349744	-0.0212731677	-0.0393108795	0.0466490133	0.0192968275	-0.006549369300000001	-0.0237676008	0.09060263560000001	0.0189041568	-0.06745165730000001	0.0873800032	-0.057016031399999986	0.0115268449	0.07136213400000001	-0.0410201855	-0.102090473	-0.0862169222	-0.039980134	-0.1237630575	-0.016706490900000003	-0.0631379117	0.110386204	0.0628287357	-0.0121463949	-0.16734434210000002	-0.005877595699999999	-0.029668986499999998	-0.0017193824	-0.0105448354	0.0172243339	0.0033178290000000004	0.1223138469	0.026274207	0.045616038899999996	0.1537400133	0.0378000785	-0.0089164566	-0.063373346	0.049381128499999996	-0.0166656298	-0.023556267000000002	-0.0205115988	0.1635248832	0.0538346718	0.0704050737	0.0399742133	0.1368630234	0.0174626852	-0.1205188372	0.082649447	0.09224682	0.0280553751	-0.0425535029	0.061109467800000004	0.09013165710000001	0.021969203599999997	0.0756180135	-0.1488661452	0.0490339404	0.024385821600000003	-0.0679138432	-0.12012732	-0.034511990299999996	-0.1597749777	0.0496233225	0.001632988	0.052097976	-0.0169830937	0.08209937440000001	-0.0285201258	0.0295440164	0.0678012643	0.0130269868	0.0213504335	-0.0383252335	0.09765356130000001	0.0391898097	0.037409329399999997	0.027284697099999998	0.023567042000000003	-0.0368642956	-0.0098162402	0.0744829896	-0.001846345	0.028227186499999998	-0.0626121262	0.10318274029999999	-0.0038557796999999995	-0.0113811337	0.1253530611	0.0125071724	-0.0073315111	0.0755788837	0.0517779689	-0.0887138866	0.0448485312	0.0301610903	0.1086303101	-0.0171423628	-0.1034316169	0.0782925867	-0.1206610819	-0.10314674789999999	0.1220717759	-0.0906678926	0.1481279013	0.0812353353	0.1411779324	0.0165970179	0.058908098799999996	-0.075818475	0.0465478876	0.1201936131	0.011384901000000001	-0.034257557200000004	-0.0284483272	-0.0214404485	-0.0273455077	0.0022119577	0.0718631164	-0.021263297	-0.0427609467	-0.048992052300000005	-0.0077203162	0.0327456634	0.1215534548	-0.034492997000000004	-0.035342602599999995	0.0803830842	-0.0116947342	0.20221743550000001	-0.0040850233	0.005853758000000001	0.09682030650000001	0.1037978542	0.1024238435	0.1001472826	0.0	0.0	0.0	0.0	0.0824096	-0.07883939999999999	0.00679134217216	0.006215650992359999	0.00384358	-0.00225752	5.096396550399998e-06	1.47731072164e-05	-0.000351095	5.151800000000002e-05	1.23267699025e-07	2.6541043240000022e-09	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
